PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
TN,f,1960-1969,0,0.02351,0.02303,0.12,100000,2303,97971,7345372,73.45
TN,f,1960-1969,1,0.00174,0.00174,0.5,97697,170,97612,7247402,74.18
TN,f,1960-1969,2,0.00098,0.00098,0.5,97527,96,97479,7149790,73.31
TN,f,1960-1969,3,0.00067,0.00067,0.5,97431,65,97399,7052310,72.38
TN,f,1960-1969,4,0.00053,0.00053,0.5,97366,52,97340,6954912,71.43
TN,f,1960-1969,5,0.00051,0.00051,0.5,97314,49,97289,6857572,70.47
TN,f,1960-1969,6,0.00045,0.00045,0.5,97265,43,97243,6760282,69.50
TN,f,1960-1969,7,0.00042,0.00042,0.5,97221,41,97201,6663039,68.53
TN,f,1960-1969,8,0.00036,0.00036,0.5,97180,35,97163,6565839,67.56
TN,f,1960-1969,9,0.00034,0.00034,0.5,97145,33,97129,6468676,66.59
TN,f,1960-1969,10,0.00031,0.00031,0.5,97112,30,97097,6371547,65.61
TN,f,1960-1969,11,0.00032,0.00032,0.5,97082,31,97067,6274450,64.63
TN,f,1960-1969,12,0.00034,0.00034,0.5,97052,33,97035,6177383,63.65
TN,f,1960-1969,13,0.00035,0.00035,0.5,97019,34,97002,6080348,62.67
TN,f,1960-1969,14,0.00043,0.00043,0.5,96985,42,96964,5983346,61.69
TN,f,1960-1969,15,0.00044,0.00044,0.5,96943,43,96922,5886382,60.72
TN,f,1960-1969,16,0.00049,0.00049,0.5,96900,47,96877,5789461,59.75
TN,f,1960-1969,17,0.00067,0.00067,0.5,96853,65,96821,5692584,58.78
TN,f,1960-1969,18,0.00066,0.00066,0.5,96788,64,96756,5595763,57.81
TN,f,1960-1969,19,0.00073,0.00073,0.5,96724,70,96689,5499007,56.85
TN,f,1960-1969,20,0.00076,0.00076,0.5,96654,74,96617,5402318,55.89
TN,f,1960-1969,21,0.00083,0.00083,0.5,96580,80,96540,5305701,54.94
TN,f,1960-1969,22,0.00080,0.00079,0.5,96500,77,96462,5209161,53.98
TN,f,1960-1969,23,0.00072,0.00072,0.5,96423,70,96389,5112699,53.02
TN,f,1960-1969,24,0.00079,0.00079,0.5,96354,76,96315,5016311,52.06
TN,f,1960-1969,25,0.00090,0.00090,0.5,96277,86,96234,4919995,51.10
TN,f,1960-1969,26,0.00081,0.00081,0.5,96191,78,96152,4823761,50.15
TN,f,1960-1969,27,0.00097,0.00097,0.5,96113,93,96066,4727610,49.19
TN,f,1960-1969,28,0.00103,0.00103,0.5,96020,98,95970,4631543,48.24
TN,f,1960-1969,29,0.00116,0.00116,0.5,95921,111,95866,4535573,47.28
TN,f,1960-1969,30,0.00109,0.00109,0.5,95810,104,95758,4439707,46.34
TN,f,1960-1969,31,0.00102,0.00102,0.5,95706,97,95657,4343950,45.39
TN,f,1960-1969,32,0.00146,0.00146,0.5,95608,140,95538,4248293,44.43
TN,f,1960-1969,33,0.00154,0.00154,0.5,95468,147,95395,4152754,43.50
TN,f,1960-1969,34,0.00142,0.00142,0.5,95321,135,95254,4057360,42.57
TN,f,1960-1969,35,0.00162,0.00162,0.5,95186,154,95109,3962106,41.62
TN,f,1960-1969,36,0.00180,0.00180,0.5,95032,171,94947,3866997,40.69
TN,f,1960-1969,37,0.00192,0.00192,0.5,94861,182,94771,3772050,39.76
TN,f,1960-1969,38,0.00203,0.00203,0.5,94680,192,94584,3677279,38.84
TN,f,1960-1969,39,0.00222,0.00222,0.5,94488,210,94383,3582696,37.92
TN,f,1960-1969,40,0.00254,0.00253,0.5,94278,239,94159,3488313,37.00
TN,f,1960-1969,41,0.00263,0.00263,0.5,94039,247,93915,3394154,36.09
TN,f,1960-1969,42,0.00312,0.00312,0.5,93792,292,93646,3300239,35.19
TN,f,1960-1969,43,0.00313,0.00313,0.5,93499,292,93353,3206593,34.30
TN,f,1960-1969,44,0.00336,0.00336,0.5,93207,313,93051,3113240,33.40
TN,f,1960-1969,45,0.00352,0.00351,0.5,92894,326,92731,3020189,32.51
TN,f,1960-1969,46,0.00391,0.00390,0.5,92568,361,92387,2927458,31.62
TN,f,1960-1969,47,0.00441,0.00440,0.5,92207,406,92004,2835071,30.75
TN,f,1960-1969,48,0.00468,0.00467,0.5,91801,429,91586,2743067,29.88
TN,f,1960-1969,49,0.00518,0.00516,0.5,91372,472,91136,2651481,29.02
TN,f,1960-1969,50,0.00543,0.00541,0.5,90900,492,90654,2560345,28.17
TN,f,1960-1969,51,0.00573,0.00572,0.5,90408,517,90150,2469690,27.32
TN,f,1960-1969,52,0.00627,0.00625,0.5,89891,562,89610,2379541,26.47
TN,f,1960-1969,53,0.00653,0.00651,0.5,89329,581,89039,2289930,25.63
TN,f,1960-1969,54,0.00714,0.00711,0.5,88748,631,88433,2200892,24.80
TN,f,1960-1969,55,0.00798,0.00795,0.5,88117,700,87767,2112459,23.97
TN,f,1960-1969,56,0.00840,0.00837,0.5,87416,731,87051,2024692,23.16
TN,f,1960-1969,57,0.00936,0.00931,0.5,86685,807,86281,1937642,22.35
TN,f,1960-1969,58,0.01029,0.01024,0.5,85878,879,85438,1851360,21.56
TN,f,1960-1969,59,0.01057,0.01051,0.5,84998,894,84552,1765922,20.78
TN,f,1960-1969,60,0.01202,0.01195,0.5,84105,1005,83602,1681371,19.99
TN,f,1960-1969,61,0.01238,0.01231,0.5,83100,1023,82588,1597768,19.23
TN,f,1960-1969,62,0.01433,0.01423,0.5,82077,1168,81493,1515180,18.46
TN,f,1960-1969,63,0.01535,0.01523,0.5,80909,1232,80293,1433687,17.72
TN,f,1960-1969,64,0.01608,0.01595,0.5,79677,1271,79041,1353394,16.99
TN,f,1960-1969,65,0.01850,0.01833,0.5,78406,1437,77687,1274353,16.25
TN,f,1960-1969,66,0.01952,0.01933,0.5,76968,1488,76224,1196666,15.55
TN,f,1960-1969,67,0.02195,0.02172,0.5,75480,1639,74661,1120441,14.84
TN,f,1960-1969,68,0.02401,0.02373,0.5,73841,1752,72965,1045780,14.16
TN,f,1960-1969,69,0.02628,0.02594,0.5,72089,1870,71154,972815,13.49
TN,f,1960-1969,70,0.02884,0.02843,0.5,70220,1996,69221,901661,12.84
TN,f,1960-1969,71,0.02970,0.02927,0.5,68223,1997,67225,832439,12.20
TN,f,1960-1969,72,0.03558,0.03496,0.5,66227,2315,65069,765214,11.55
TN,f,1960-1969,73,0.03896,0.03822,0.5,63911,2442,62690,700145,10.95
TN,f,1960-1969,74,0.04255,0.04167,0.5,61469,2561,60188,637455,10.37
TN,f,1960-1969,75,0.04782,0.04671,0.5,58908,2751,57532,577267,9.80
TN,f,1960-1969,76,0.05359,0.05219,0.5,56156,2931,54691,519735,9.26
TN,f,1960-1969,77,0.05601,0.05448,0.5,53226,2900,51776,465044,8.74
TN,f,1960-1969,78,0.06454,0.06252,0.5,50326,3146,48753,413268,8.21
TN,f,1960-1969,79,0.07035,0.06796,0.5,47179,3206,45576,364515,7.73
TN,f,1960-1969,80,0.08054,0.07742,0.5,43973,3404,42271,318939,7.25
TN,f,1960-1969,81,0.08440,0.08098,0.5,40568,3285,38926,276669,6.82
TN,f,1960-1969,82,0.09664,0.09219,0.5,37283,3437,35565,237743,6.38
TN,f,1960-1969,83,0.10895,0.10332,0.5,33846,3497,32098,202178,5.97
TN,f,1960-1969,84,0.12446,0.11717,0.5,30349,3556,28571,170080,5.60
TN,f,1960-1969,85,0.13158,0.12346,0.5,26793,3308,25139,141509,5.28
TN,f,1960-1969,86,0.14793,0.13774,0.5,23485,3235,21868,116370,4.95
TN,f,1960-1969,87,0.15846,0.14683,0.5,20250,2973,18764,94502,4.67
TN,f,1960-1969,88,0.17820,0.16362,0.5,17277,2827,15864,75738,4.38
TN,f,1960-1969,89,0.19035,0.17381,0.5,14450,2512,13194,59874,4.14
TN,f,1960-1969,90,0.20686,0.18747,0.5,11939,2238,10820,46680,3.91
TN,f,1960-1969,91,0.21775,0.19637,0.5,9701,1905,8748,35860,3.70
TN,f,1960-1969,92,0.23584,0.21097,0.5,7796,1645,6973,27112,3.48
TN,f,1960-1969,93,0.25495,0.22613,0.5,6151,1391,5456,20139,3.27
TN,f,1960-1969,94,0.27505,0.24180,0.5,4760,1151,4185,14683,3.08
TN,f,1960-1969,95,0.29611,0.25792,0.5,3609,931,3144,10499,2.91
TN,f,1960-1969,96,0.31807,0.27442,0.5,2678,735,2311,7355,2.75
TN,f,1960-1969,97,0.34087,0.29123,0.5,1943,566,1660,5044,2.60
TN,f,1960-1969,98,0.36443,0.30826,0.5,1377,425,1165,3384,2.46
