TX: Texas, Lifetables (period 5x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03163	0.03078	0.13	100000	3078	97322	6700876	67.01
1960-1964	1-4	0.00127	0.00508	1.53	96922	492	386471	6603554	68.13
1960-1964	5-9	0.00055	0.00272	2.36	96430	263	481454	6217083	64.47
1960-1964	10-14	0.00058	0.00289	2.78	96167	277	480220	5735629	59.64
1960-1964	15-19	0.00140	0.00698	2.79	95890	669	477972	5255409	54.81
1960-1964	20-24	0.00192	0.00956	2.52	95220	910	473848	4777438	50.17
1960-1964	25-29	0.00183	0.00912	2.5	94310	860	469400	4303590	45.63
1960-1964	30-34	0.00219	0.01088	2.6	93450	1017	464815	3834190	41.03
1960-1964	35-39	0.00309	0.01533	2.66	92433	1417	458855	3369375	36.45
1960-1964	40-44	0.00450	0.02224	2.66	91016	2024	450349	2910521	31.98
1960-1964	45-49	0.00716	0.03524	2.68	88992	3136	437695	2460171	27.64
1960-1964	50-54	0.01144	0.05573	2.66	85856	4784	418086	2022476	23.56
1960-1964	55-59	0.01742	0.08362	2.61	81072	6779	389168	1604390	19.79
1960-1964	60-64	0.02649	0.12457	2.61	74292	9254	349322	1215222	16.36
1960-1964	65-69	0.03951	0.18003	2.54	65038	11709	296338	865899	13.31
1960-1964	70-74	0.05637	0.24755	2.54	53329	13202	234202	569561	10.68
1960-1964	75-79	0.07868	0.32807	2.47	40128	13164	167309	335359	8.36
1960-1964	80-84	0.12438	0.47058	2.41	26963	12688	102013	168050	6.23
1960-1964	85-89	0.19005	0.62695	2.29	14275	8949	47090	66037	4.63
1960-1964	90-94	0.25966	0.74203	2.11	5325	3952	15218	18947	3.56
1960-1964	95-99	0.35454	0.84566	1.91	1374	1162	3277	3729	2.71
1960-1964	100-104	0.46103	0.91409	1.7	212	194	420	452	2.13
1960-1964	105-109	0.57157	0.95347	1.51	18	17	30	32	1.74
1960-1964	110+	0.65982	1.00000	1.52	1	1	1	1	1.52
1965-1969	0	0.02714	0.02650	0.12	100000	2650	97662	6689790	66.90
1965-1969	1-4	0.00114	0.00455	1.65	97350	443	388358	6592128	67.72
1965-1969	5-9	0.00054	0.00270	2.33	96907	261	483837	6203770	64.02
1965-1969	10-14	0.00055	0.00273	2.78	96646	264	482641	5719933	59.18
1965-1969	15-19	0.00161	0.00803	2.85	96381	774	480242	5237292	54.34
1965-1969	20-24	0.00217	0.01079	2.44	95607	1032	475394	4757050	49.76
