UT: Utah, Lifetables (period 1x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.01983	0.01948	0.1	100000	1948	98253	7187859	71.88
1960-1964	1	0.00149	0.00149	0.5	98052	146	97979	7089606	72.30
1960-1964	2	0.00094	0.00094	0.5	97906	92	97860	6991627	71.41
1960-1964	3	0.00082	0.00082	0.5	97814	80	97774	6893767	70.48
1960-1964	4	0.00069	0.00069	0.5	97733	68	97700	6795994	69.54
1960-1964	5	0.00069	0.00069	0.5	97666	68	97632	6698294	68.58
1960-1964	6	0.00063	0.00063	0.5	97598	61	97567	6600662	67.63
1960-1964	7	0.00046	0.00046	0.5	97537	44	97515	6503095	66.67
1960-1964	8	0.00031	0.00031	0.5	97492	30	97477	6405580	65.70
1960-1964	9	0.00047	0.00047	0.5	97462	46	97439	6308103	64.72
1960-1964	10	0.00042	0.00042	0.5	97416	41	97395	6210664	63.75
1960-1964	11	0.00041	0.00041	0.5	97375	40	97355	6113269	62.78
1960-1964	12	0.00041	0.00041	0.5	97335	40	97315	6015914	61.81
1960-1964	13	0.00036	0.00036	0.5	97295	35	97277	5918599	60.83
1960-1964	14	0.00051	0.00051	0.5	97260	49	97236	5821322	59.85
1960-1964	15	0.00083	0.00083	0.5	97211	80	97171	5724086	58.88
1960-1964	16	0.00090	0.00089	0.5	97131	87	97087	5626916	57.93
1960-1964	17	0.00103	0.00103	0.5	97044	100	96994	5529829	56.98
1960-1964	18	0.00118	0.00118	0.5	96944	114	96887	5432835	56.04
1960-1964	19	0.00107	0.00107	0.5	96830	103	96779	5335948	55.11
1960-1964	20	0.00121	0.00121	0.5	96727	117	96668	5239169	54.16
1960-1964	21	0.00112	0.00112	0.5	96610	108	96556	5142501	53.23
1960-1964	22	0.00137	0.00137	0.5	96502	132	96436	5045944	52.29
1960-1964	23	0.00133	0.00133	0.5	96370	128	96306	4949508	51.36
1960-1964	24	0.00124	0.00124	0.5	96242	119	96182	4853202	50.43
1960-1964	25	0.00138	0.00138	0.5	96123	133	96056	4757020	49.49
1960-1964	26	0.00108	0.00108	0.5	95990	103	95938	4660963	48.56
1960-1964	27	0.00127	0.00127	0.5	95887	122	95826	4565025	47.61
1960-1964	28	0.00122	0.00122	0.5	95765	117	95706	4469199	46.67
1960-1964	29	0.00124	0.00124	0.5	95648	119	95589	4373493	45.72
1960-1964	30	0.00113	0.00112	0.5	95529	107	95475	4277905	44.78
1960-1964	31	0.00118	0.00118	0.5	95422	113	95365	4182429	43.83
1960-1964	32	0.00147	0.00147	0.5	95309	140	95239	4087064	42.88
1960-1964	33	0.00192	0.00192	0.5	95169	183	95078	3991825	41.94
1960-1964	34	0.00150	0.00150	0.5	94987	142	94916	3896747	41.02
1960-1964	35	0.00190	0.00190	0.5	94845	180	94755	3801831	40.08
1960-1964	36	0.00197	0.00197	0.5	94665	187	94571	3707077	39.16
1960-1964	37	0.00237	0.00237	0.5	94478	224	94366	3612505	38.24
1960-1964	38	0.00226	0.00226	0.5	94254	213	94148	3518140	37.33
1960-1964	39	0.00218	0.00218	0.5	94041	205	93939	3423992	36.41
1960-1964	40	0.00246	0.00246	0.5	93837	231	93721	3330053	35.49
1960-1964	41	0.00228	0.00228	0.5	93606	213	93499	3236332	34.57
1960-1964	42	0.00322	0.00322	0.5	93392	300	93242	3142832	33.65
1960-1964	43	0.00320	0.00320	0.5	93092	298	92943	3049590	32.76
1960-1964	44	0.00340	0.00340	0.5	92794	315	92637	2956647	31.86
1960-1964	45	0.00421	0.00420	0.5	92479	389	92285	2864010	30.97
1960-1964	46	0.00418	0.00417	0.5	92090	384	91899	2771726	30.10
1960-1964	47	0.00536	0.00534	0.5	91707	490	91462	2679827	29.22
1960-1964	48	0.00474	0.00473	0.5	91217	432	91001	2588365	28.38
1960-1964	49	0.00643	0.00641	0.5	90785	582	90494	2497364	27.51
1960-1964	50	0.00639	0.00637	0.5	90203	575	89916	2406870	26.68
1960-1964	51	0.00739	0.00736	0.5	89628	660	89298	2316955	25.85
1960-1964	52	0.00770	0.00767	0.5	88968	683	88627	2227657	25.04
1960-1964	53	0.00837	0.00834	0.5	88285	736	87917	2139030	24.23
1960-1964	54	0.00856	0.00853	0.5	87549	747	87176	2051113	23.43
1960-1964	55	0.00882	0.00879	0.5	86803	763	86422	1963937	22.63
1960-1964	56	0.01034	0.01029	0.5	86040	885	85598	1877515	21.82
1960-1964	57	0.01103	0.01097	0.5	85155	934	84688	1791917	21.04
1960-1964	58	0.01232	0.01224	0.5	84221	1031	83706	1707229	20.27
1960-1964	59	0.01197	0.01190	0.5	83190	990	82695	1623523	19.52
1960-1964	60	0.01407	0.01398	0.5	82200	1149	81626	1540828	18.74
1960-1964	61	0.01579	0.01566	0.5	81051	1270	80417	1459202	18.00
1960-1964	62	0.01537	0.01526	0.5	79782	1217	79173	1378786	17.28
1960-1964	63	0.01882	0.01864	0.5	78565	1465	77832	1299613	16.54
1960-1964	64	0.02122	0.02099	0.5	77100	1619	76291	1221780	15.85
1960-1964	65	0.02332	0.02305	0.5	75481	1740	74611	1145489	15.18
1960-1964	66	0.02381	0.02353	0.5	73741	1735	72874	1070878	14.52
1960-1964	67	0.02644	0.02609	0.5	72007	1879	71067	998004	13.86
1960-1964	68	0.03045	0.02999	0.5	70128	2103	69076	926937	13.22
1960-1964	69	0.02947	0.02904	0.5	68025	1976	67037	857861	12.61
1960-1964	70	0.03400	0.03343	0.5	66049	2208	64945	790824	11.97
1960-1964	71	0.03594	0.03531	0.5	63841	2254	62714	725879	11.37
1960-1964	72	0.04164	0.04079	0.5	61587	2512	60331	663166	10.77
1960-1964	73	0.04432	0.04336	0.5	59075	2561	57794	602835	10.20
1960-1964	74	0.05036	0.04912	0.5	56514	2776	55126	545040	9.64
1960-1964	75	0.05327	0.05189	0.5	53738	2788	52343	489915	9.12
1960-1964	76	0.06236	0.06047	0.5	50949	3081	49409	437571	8.59
1960-1964	77	0.06271	0.06081	0.5	47868	2911	46413	388163	8.11
1960-1964	78	0.07279	0.07024	0.5	44958	3158	43379	341750	7.60
1960-1964	79	0.08067	0.07754	0.5	41800	3241	40179	298371	7.14
1960-1964	80	0.08920	0.08539	0.5	38559	3293	36912	258191	6.70
1960-1964	81	0.09891	0.09425	0.5	35266	3324	33604	221279	6.27
1960-1964	82	0.10956	0.10387	0.5	31942	3318	30283	187675	5.88
1960-1964	83	0.12119	0.11427	0.5	28624	3271	26989	157392	5.50
1960-1964	84	0.13387	0.12547	0.5	25354	3181	23763	130403	5.14
1960-1964	85	0.14766	0.13751	0.5	22172	3049	20648	106640	4.81
1960-1964	86	0.16260	0.15037	0.5	19124	2876	17686	85991	4.50
1960-1964	87	0.17874	0.16407	0.5	16248	2666	14915	68306	4.20
1960-1964	88	0.19610	0.17859	0.5	13582	2426	12369	53391	3.93
1960-1964	89	0.21471	0.19390	0.5	11156	2163	10075	41022	3.68
1960-1964	90	0.23457	0.20995	0.5	8993	1888	8049	30947	3.44
1960-1964	91	0.25568	0.22670	0.5	7105	1611	6300	22898	3.22
1960-1964	92	0.27800	0.24407	0.5	5494	1341	4824	16598	3.02
1960-1964	93	0.30148	0.26199	0.5	4153	1088	3609	11774	2.83
1960-1964	94	0.32605	0.28035	0.5	3065	859	2636	8165	2.66
1960-1964	95	0.35163	0.29905	0.5	2206	660	1876	5529	2.51
1960-1964	96	0.37809	0.31798	0.5	1546	492	1300	3653	2.36
1960-1964	97	0.40531	0.33701	0.5	1055	355	877	2353	2.23
1960-1964	98	0.43313	0.35603	0.5	699	249	575	1476	2.11
