PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
UT,b,1960-1969,0,0.01884,0.01853,0.1,100000,1853,98334,7216763,72.17
UT,b,1960-1969,1-4,0.00098,0.00392,1.67,98147,385,391694,7118429,72.53
UT,b,1960-1969,5-9,0.00049,0.00243,2.17,97763,238,488142,6726734,68.81
UT,b,1960-1969,10-14,0.00044,0.00218,2.63,97525,212,487122,6238593,63.97
UT,b,1960-1969,15-19,0.00095,0.00476,2.71,97313,463,485503,5751470,59.10
UT,b,1960-1969,20-24,0.00122,0.00609,2.55,96850,590,482807,5265968,54.37
UT,b,1960-1969,25-29,0.00123,0.00615,2.43,96260,592,479780,4783161,49.69
UT,b,1960-1969,30-34,0.00141,0.00703,2.54,95668,672,476685,4303381,44.98
UT,b,1960-1969,35-39,0.00201,0.01000,2.61,94995,950,472707,3826696,40.28
UT,b,1960-1969,40-44,0.00289,0.01436,2.68,94046,1350,467097,3353989,35.66
UT,b,1960-1969,45-49,0.00464,0.02298,2.72,92695,2130,458612,2886892,31.14
UT,b,1960-1969,50-54,0.00744,0.03657,2.64,90565,3312,445005,2428280,26.81
UT,b,1960-1969,55-59,0.01114,0.05426,2.62,87254,4734,425000,1983275,22.73
UT,b,1960-1969,60-64,0.01695,0.08150,2.63,82519,6725,396652,1558275,18.88
UT,b,1960-1969,65-69,0.02578,0.12134,2.58,75794,9197,356739,1161622,15.33
UT,b,1960-1969,70-74,0.04069,0.18543,2.61,66597,12349,303532,804884,12.09
UT,b,1960-1969,75-79,0.06407,0.27708,2.56,54248,15031,234620,501352,9.24
UT,b,1960-1969,80-84,0.10561,0.41732,2.49,39217,16366,154970,266732,6.80
UT,b,1960-1969,85-89,0.17014,0.58568,2.34,22851,13383,78661,111762,4.89
UT,b,1960-1969,90-94,0.26182,0.74769,2.13,9468,7079,27037,33101,3.50
UT,b,1960-1969,95-99,0.37984,0.86857,1.88,2389,2075,5462,6064,2.54
UT,b,1960-1969,100-104,0.51475,0.93816,1.61,314,295,572,602,1.92
UT,b,1960-1969,105-109,0.64932,0.97086,1.39,19,19,29,30,1.53
UT,b,1960-1969,110+,0.75097,1.00000,1.33,1,1,1,1,1.33
UT,b,1970-1979,0,0.01270,0.01255,0.08,100000,1255,98850,7422435,74.22
UT,b,1970-1979,1-4,0.00075,0.00300,1.56,98745,296,394257,7323585,74.17
UT,b,1970-1979,5-9,0.00036,0.00179,2.34,98449,176,491774,6929328,70.39
UT,b,1970-1979,10-14,0.00037,0.00185,2.73,98272,182,490949,6437554,65.51
UT,b,1970-1979,15-19,0.00099,0.00496,2.8,98090,487,489383,5946605,60.62
UT,b,1970-1979,20-24,0.00111,0.00555,2.5,97604,542,486662,5457222,55.91
UT,b,1970-1979,25-29,0.00114,0.00567,2.54,97062,550,483955,4970560,51.21
UT,b,1970-1979,30-34,0.00126,0.00627,2.57,96512,605,481087,4486605,46.49
UT,b,1970-1979,35-39,0.00172,0.00856,2.59,95907,821,477558,4005519,41.76
UT,b,1970-1979,40-44,0.00254,0.01260,2.64,95086,1198,472600,3527961,37.10
UT,b,1970-1979,45-49,0.00405,0.02004,2.69,93887,1882,465095,3055361,32.54
UT,b,1970-1979,50-54,0.00617,0.03043,2.68,92006,2800,453524,2590266,28.15
UT,b,1970-1979,55-59,0.00998,0.04874,2.64,89205,4348,435745,2136742,23.95
UT,b,1970-1979,60-64,0.01538,0.07418,2.63,84858,6295,409377,1700996,20.05
UT,b,1970-1979,65-69,0.02320,0.10992,2.61,78563,8636,372157,1291620,16.44
UT,b,1970-1979,70-74,0.03487,0.16101,2.62,69927,11259,322859,919463,13.15
UT,b,1970-1979,75-79,0.05543,0.24441,2.58,58668,14339,258672,596604,10.17
UT,b,1970-1979,80-84,0.08819,0.36198,2.53,44329,16046,181950,337932,7.62
UT,b,1970-1979,85-89,0.14383,0.52347,2.4,28283,14805,102935,155983,5.52
UT,b,1970-1979,90-94,0.22588,0.69324,2.21,13478,9343,41364,53047,3.94
UT,b,1970-1979,95-99,0.33636,0.83287,1.97,4134,3443,10237,11684,2.83
UT,b,1970-1979,100-104,0.46889,0.92023,1.7,691,636,1356,1446,2.09
UT,b,1970-1979,105-109,0.60759,0.96330,1.46,55,53,87,90,1.64
UT,b,1970-1979,110+,0.71575,1.00000,1.4,2,2,3,3,1.40
UT,b,1980-1989,0,0.00920,0.00912,0.07,100000,912,99155,7662979,76.63
UT,b,1980-1989,1-4,0.00052,0.00208,1.6,99088,206,395856,7563824,76.33
UT,b,1980-1989,5-9,0.00025,0.00122,2.29,98881,121,494079,7167968,72.49
