UT: Utah, Lifetables (period 5x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.01758	0.01730	0.1	100000	1730	98447	7486525	74.87
1959	1-4	0.00097	0.00388	1.31	98270	381	392052	7388079	75.18
1959	5-9	0.00044	0.00220	2.28	97888	215	488856	6996027	71.47
1959	10-14	0.00063	0.00316	2.53	97673	308	487604	6507171	66.62
1959	15-19	0.00065	0.00325	2.62	97365	317	486070	6019567	61.82
1959	20-24	0.00098	0.00489	2.24	97048	474	483932	5533497	57.02
1959	25-29	0.00099	0.00496	2.18	96574	479	481519	5049565	52.29
1959	30-34	0.00104	0.00520	2.58	96095	500	479261	4568046	47.54
1959	35-39	0.00112	0.00558	3.11	95594	533	476963	4088785	42.77
1959	40-44	0.00182	0.00906	2.19	95061	861	472882	3611822	37.99
1959	45-49	0.00311	0.01544	2.53	94200	1454	467403	3138940	33.32
1959	50-54	0.00525	0.02596	2.69	92746	2408	458169	2671537	28.81
1959	55-59	0.00782	0.03845	2.77	90338	3473	443937	2213368	24.50
1959	60-64	0.01330	0.06444	2.59	86865	5598	420833	1769430	20.37
1959	65-69	0.01952	0.09345	2.72	81267	7595	389037	1348597	16.59
1959	70-74	0.03107	0.14486	2.66	73672	10672	343425	959560	13.02
1959	75-79	0.05377	0.23907	2.68	63000	15062	280111	616135	9.78
1959	80-84	0.10241	0.40715	2.48	47939	19519	190599	336024	7.01
1959	85-89	0.16143	0.56532	2.35	28420	16067	99528	145424	5.12
1959	90-94	0.24417	0.72121	2.16	12354	8910	36489	45896	3.72
1959	95-99	0.35056	0.84430	1.93	3444	2908	8295	9407	2.73
1959	100-104	0.47392	0.92148	1.68	536	494	1043	1112	2.07
1959	105-109	0.60123	0.96140	1.46	42	40	67	70	1.65
1959	110+	0.70092	1.00000	1.43	2	2	2	2	1.43
1960	0	0.01689	0.01663	0.1	100000	1663	98504	7556082	75.56
1960	1-4	0.00093	0.00372	1.8	98337	365	392542	7457579	75.84
1960	5-9	0.00038	0.00192	1.91	97971	188	489275	7065037	72.11
1960	10-14	0.00055	0.00275	2.41	97783	269	488218	6575763	67.25
1960	15-19	0.00059	0.00295	2.46	97514	288	486838	6087544	62.43
1960	20-24	0.00061	0.00306	2.4	97226	298	485356	5600706	57.60
1960	25-29	0.00071	0.00357	3.46	96929	346	484109	5115350	52.77
1960	30-34	0.00079	0.00396	2.62	96583	383	482001	4631241	47.95
1960	35-39	0.00158	0.00787	2.64	96200	757	479212	4149240	43.13
1960	40-44	0.00196	0.00974	2.54	95443	930	474932	3670028	38.45
1960	45-49	0.00316	0.01567	2.46	94513	1481	468806	3195096	33.81
1960	50-54	0.00557	0.02752	2.78	93032	2560	459484	2726290	29.30
1960	55-59	0.00646	0.03178	2.56	90472	2875	445350	2266806	25.06
1960	60-64	0.01083	0.05292	2.86	87597	4635	428047	1821456	20.79
1960	65-69	0.01753	0.08405	2.55	82962	6973	397704	1393409	16.80
1960	70-74	0.03194	0.14879	2.71	75989	11307	354032	995705	13.10
1960	75-79	0.05681	0.24885	2.51	64682	16096	283344	641673	9.92
1960	80-84	0.09739	0.39094	2.48	48586	18994	195027	358329	7.38
1960	85-89	0.14789	0.53206	2.36	29592	15745	106465	163302	5.52
1960	90-94	0.21755	0.67675	2.21	13847	9371	43076	56837	4.10
1960	95-99	0.30739	0.80111	2.01	4476	3586	11666	13762	3.07
1960	100-104	0.41419	0.88933	1.79	890	792	1912	2096	2.35
1960	105-109	0.52988	0.94173	1.58	99	93	175	184	1.87
1960	110+	0.62424	1.00000	1.6	6	6	9	9	1.60
1961	0	0.01960	0.01926	0.11	100000	1926	98281	7505489	75.05
1961	1-4	0.00058	0.00232	1.33	98074	228	391687	7407208	75.53
1961	5-9	0.00045	0.00222	1.98	97846	218	488571	7015521	71.70
1961	10-14	0.00044	0.00221	2.72	97628	216	487650	6526950	66.86
1961	15-19	0.00051	0.00256	3.04	97412	249	486572	6039300	62.00
1961	20-24	0.00045	0.00225	2.69	97163	219	485309	5552728	57.15
1961	25-29	0.00098	0.00490	2.54	96944	475	483555	5067419	52.27
1961	30-34	0.00100	0.00501	2.72	96469	483	481247	4583863	47.52
1961	35-39	0.00169	0.00840	2.59	95986	806	477990	4102616	42.74
1961	40-44	0.00215	0.01071	2.65	95180	1020	473503	3624626	38.08
1961	45-49	0.00297	0.01476	2.72	94160	1390	467630	3151123	33.47
1961	50-54	0.00513	0.02532	2.54	92770	2349	458076	2683493	28.93
1961	55-59	0.00839	0.04113	2.56	90422	3719	443018	2225418	24.61
1961	60-64	0.01241	0.06030	2.63	86703	5228	421135	1782400	20.56
1961	65-69	0.01692	0.08140	2.68	81475	6632	391979	1361264	16.71
1961	70-74	0.03478	0.16079	2.66	74843	12034	346025	969285	12.95
1961	75-79	0.05357	0.23891	2.74	62810	15006	280110	623261	9.92
1961	80-84	0.09338	0.37978	2.54	47804	18155	194420	343151	7.18
1961	85-89	0.16136	0.56735	2.38	29649	16821	104246	148731	5.02
1961	90-94	0.26258	0.75074	2.15	12828	9630	36675	44485	3.47
1961	95-99	0.39564	0.88130	1.85	3197	2818	7122	7809	2.44
1961	100-104	0.54641	0.94911	1.56	380	360	659	687	1.81
1961	105-109	0.69079	0.97727	1.33	19	19	27	28	1.44
1961	110+	0.79422	1.00000	1.26	0	0	1	1	1.26
1962	0	0.01571	0.01549	0.1	100000	1549	98601	7527639	75.28
1962	1-4	0.00110	0.00440	1.92	98451	434	392902	7429038	75.46
1962	5-9	0.00047	0.00235	2.15	98017	230	489430	7036135	71.78
1962	10-14	0.00030	0.00150	1.86	97787	147	488472	6546706	66.95
1962	15-19	0.00054	0.00269	2.53	97640	263	487551	6058234	62.05
1962	20-24	0.00067	0.00334	2.74	97377	325	486152	5570683	57.21
1962	25-29	0.00076	0.00378	2.42	97052	367	484315	5084531	52.39
1962	30-34	0.00122	0.00608	2.58	96685	588	482001	4600216	47.58
1962	35-39	0.00197	0.00980	2.59	96097	942	478212	4118215	42.85
1962	40-44	0.00183	0.00913	2.65	95155	869	473736	3640003	38.25
1962	45-49	0.00381	0.01889	2.5	94286	1781	466987	3166267	33.58
