PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
UT,f,1960-1969,0,0.01577,0.01555,0.1,100000,1555,98596,7572209,75.72
UT,f,1960-1969,1-4,0.00089,0.00354,1.68,98445,349,392971,7473613,75.92
UT,f,1960-1969,5-9,0.00039,0.00196,2.05,98096,193,489914,7080642,72.18
UT,f,1960-1969,10-14,0.00038,0.00191,2.53,97904,187,489058,6590728,67.32
UT,f,1960-1969,15-19,0.00054,0.00271,2.71,97717,265,487978,6101671,62.44
UT,f,1960-1969,20-24,0.00070,0.00350,2.53,97452,341,486419,5613692,57.60
UT,f,1960-1969,25-29,0.00078,0.00390,2.64,97111,379,484662,5127273,52.80
UT,f,1960-1969,30-34,0.00098,0.00489,2.52,96733,473,482488,4642612,47.99
UT,f,1960-1969,35-39,0.00142,0.00708,2.66,96260,681,479702,4160123,43.22
UT,f,1960-1969,40-44,0.00208,0.01033,2.72,95578,987,475644,3680421,38.51
UT,f,1960-1969,45-49,0.00315,0.01562,2.7,94591,1478,469550,3204777,33.88
UT,f,1960-1969,50-54,0.00495,0.02449,2.62,93113,2280,460148,2735227,29.38
UT,f,1960-1969,55-59,0.00712,0.03498,2.58,90833,3178,446469,2275079,25.05
UT,f,1960-1969,60-64,0.01123,0.05474,2.68,87656,4799,427140,1828610,20.86
UT,f,1960-1969,65-69,0.01765,0.08470,2.63,82857,7018,397640,1401469,16.91
UT,f,1960-1969,70-74,0.03057,0.14275,2.69,75839,10826,354159,1003830,13.24
UT,f,1960-1969,75-79,0.05307,0.23615,2.67,65013,15353,289290,649671,9.99
UT,f,1960-1969,80-84,0.09394,0.38112,2.53,49661,18927,201474,360381,7.26
UT,f,1960-1969,85-89,0.15648,0.55496,2.38,30734,17056,109002,158908,5.17
UT,f,1960-1969,90-94,0.24779,0.72831,2.17,13678,9962,40202,49906,3.65
UT,f,1960-1969,95-99,0.36772,0.85998,1.91,3716,3196,8691,9704,2.61
UT,f,1960-1969,100-104,0.50642,0.93553,1.63,520,487,961,1013,1.95
UT,f,1960-1969,105-109,0.64531,0.97034,1.4,34,33,50,52,1.54
UT,f,1960-1969,110+,0.74993,1.00000,1.33,1,1,1,1,1.33
UT,f,1970-1979,0,0.01092,0.01081,0.08,100000,1081,99010,7785212,77.85
UT,f,1970-1979,1-4,0.00064,0.00254,1.54,98919,251,395059,7686202,77.70
UT,f,1970-1979,5-9,0.00029,0.00145,2.21,98668,143,492944,7291143,73.90
UT,f,1970-1979,10-14,0.00026,0.00130,2.72,98526,128,492337,6798199,69.00
UT,f,1970-1979,15-19,0.00056,0.00277,2.75,98398,273,491373,6305863,64.09
