UT: Utah, Lifetables (period 5x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02216	0.02173	0.1	100000	2173	98054	6869448	68.69
1959	1-4	0.00130	0.00518	1.71	97827	507	390147	6771394	69.22
1959	5-9	0.00064	0.00318	1.93	97320	309	485650	6381247	65.57
1959	10-14	0.00054	0.00269	2.89	97011	261	484504	5895597	60.77
1959	15-19	0.00207	0.01029	2.85	96750	996	481609	5411094	55.93
1959	20-24	0.00175	0.00869	2.52	95755	832	476708	4929485	51.48
1959	25-29	0.00154	0.00766	2.23	94923	727	472600	4452777	46.91
1959	30-34	0.00114	0.00571	2.66	94195	538	469719	3980177	42.25
1959	35-39	0.00200	0.00994	2.2	93658	931	465686	3510459	37.48
1959	40-44	0.00404	0.02003	2.72	92727	1857	459405	3044772	32.84
1959	45-49	0.00591	0.02918	2.83	90870	2652	448594	2585367	28.45
1959	50-54	0.01032	0.05041	2.68	88219	4447	430777	2136773	24.22
1959	55-59	0.01491	0.07215	2.75	83772	6044	405255	1705996	20.36
1959	60-64	0.02427	0.11480	2.65	77728	8923	367668	1300741	16.73
1959	65-69	0.03916	0.17908	2.61	68805	12321	314615	933073	13.56
1959	70-74	0.05122	0.22716	2.51	56483	12831	250499	618458	10.95
1959	75-79	0.07988	0.33551	2.62	43652	14646	183360	367960	8.43
1959	80-84	0.12323	0.46693	2.41	29007	13544	109907	184599	6.36
1959	85-89	0.17853	0.60112	2.28	15463	9295	52063	74693	4.83
1959	90-94	0.25095	0.72879	2.12	6168	4495	17912	22629	3.67
1959	95-99	0.34001	0.83250	1.94	1673	1393	4096	4718	2.82
1959	100-104	0.44179	0.90414	1.73	280	253	573	622	2.22
1959	105-109	0.54897	0.94703	1.54	27	25	46	49	1.81
1959	110+	0.63541	1.00000	1.57	1	1	2	2	1.57
1960	0	0.02283	0.02237	0.11	100000	2237	98001	6835486	68.35
1960	1-4	0.00108	0.00432	1.63	97763	423	390048	6737485	68.92
1960	5-9	0.00070	0.00350	2.39	97340	341	485811	6347437	65.21
1960	10-14	0.00050	0.00249	2.72	96999	242	484445	5861626	60.43
1960	15-19	0.00173	0.00863	2.87	96758	835	482011	5377181	55.57
1960	20-24	0.00157	0.00784	2.17	95922	752	477487	4895170	51.03
1960	25-29	0.00172	0.00854	2.32	95171	812	473675	4417682	46.42
1960	30-34	0.00165	0.00820	2.74	94358	774	470042	3944007	41.80
1960	35-39	0.00287	0.01426	2.55	93585	1334	464660	3473966	37.12
1960	40-44	0.00466	0.02303	2.68	92250	2125	456312	3009306	32.62
1960	45-49	0.00711	0.03498	2.77	90125	3152	443585	2552993	28.33
1960	50-54	0.01055	0.05148	2.62	86973	4478	424215	2109409	24.25
