UT: Utah, Lifetables (period 5x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02178	0.02136	0.1	100000	2136	98085	6890758	68.91
1960-1969	1-4	0.00107	0.00428	1.67	97864	419	390478	6792673	69.41
1960-1969	5-9	0.00058	0.00288	2.25	97445	281	486453	6402195	65.70
1960-1969	10-14	0.00049	0.00244	2.71	97164	237	485278	5915742	60.88
1960-1969	15-19	0.00138	0.00689	2.72	96927	668	483111	5430464	56.03
1960-1969	20-24	0.00177	0.00881	2.56	96259	848	479228	4947352	51.40
1960-1969	25-29	0.00171	0.00849	2.33	95411	810	474894	4468124	46.83
1960-1969	30-34	0.00184	0.00918	2.55	94601	869	470879	3993231	42.21
1960-1969	35-39	0.00260	0.01293	2.58	93732	1212	465734	3522352	37.58
1960-1969	40-44	0.00371	0.01839	2.66	92521	1701	458616	3056618	33.04
1960-1969	45-49	0.00614	0.03027	2.72	90819	2749	447841	2598002	28.61
1960-1969	50-54	0.00991	0.04841	2.64	88070	4263	430309	2150161	24.41
1960-1969	55-59	0.01523	0.07352	2.64	83807	6162	404486	1719851	20.52
1960-1969	60-64	0.02301	0.10903	2.6	77645	8466	367935	1315365	16.94
1960-1969	65-69	0.03490	0.16079	2.55	69179	11123	318685	947430	13.70
1960-1969	70-74	0.05264	0.23324	2.56	58056	13541	257231	628745	10.83
1960-1969	75-79	0.07807	0.32594	2.47	44515	14509	185857	371514	8.35
1960-1969	80-84	0.12295	0.46764	2.44	30006	14032	114126	185657	6.19
1960-1969	85-89	0.19243	0.63178	2.28	15974	10092	52445	71531	4.48
1960-1969	90-94	0.28712	0.77964	2.07	5882	4586	15972	19086	3.24
1960-1969	95-99	0.40422	0.88455	1.82	1296	1147	2836	3114	2.40
1960-1969	100-104	0.53353	0.94383	1.58	150	141	265	277	1.85
1960-1969	105-109	0.65949	0.97219	1.37	8	8	12	13	1.51
1960-1969	110+	0.75394	1.00000	1.33	0	0	0	0	1.33
1970-1979	0	0.01439	0.01420	0.08	100000	1420	98698	7079773	70.80
1970-1979	1-4	0.00086	0.00344	1.58	98580	340	393496	6981075	70.82
1970-1979	5-9	0.00042	0.00212	2.42	98240	208	490663	6587579	67.06
1970-1979	10-14	0.00048	0.00239	2.73	98032	234	489630	6096915	62.19
1970-1979	15-19	0.00144	0.00716	2.83	97798	700	487471	5607285	57.34
1970-1979	20-24	0.00174	0.00865	2.54	97098	840	483422	5119814	52.73
1970-1979	25-29	0.00157	0.00781	2.5	96259	752	479414	4636392	48.17
1970-1979	30-34	0.00166	0.00829	2.55	95506	792	475594	4156978	43.53
1970-1979	35-39	0.00221	0.01101	2.6	94715	1043	471071	3681384	38.87
1970-1979	40-44	0.00328	0.01627	2.67	93672	1524	464808	3210313	34.27
1970-1979	45-49	0.00522	0.02578	2.72	92148	2376	455314	2745505	29.79
1970-1979	50-54	0.00815	0.03997	2.67	89773	3588	440515	2290190	25.51
1970-1979	55-59	0.01360	0.06586	2.64	86184	5676	417510	1849675	21.46
1970-1979	60-64	0.02119	0.10087	2.62	80508	8121	383232	1432165	17.79
1970-1979	65-69	0.03231	0.14991	2.6	72387	10852	335840	1048933	14.49
1970-1979	70-74	0.04705	0.21131	2.59	61536	13003	276391	713093	11.59
1970-1979	75-79	0.07200	0.30577	2.54	48533	14840	206112	436701	9.00
1970-1979	80-84	0.10744	0.42220	2.47	33693	14225	132405	230589	6.84
1970-1979	85-89	0.16568	0.57454	2.33	19468	11185	67510	98184	5.04
1970-1979	90-94	0.24588	0.72315	2.15	8283	5990	24360	30674	3.70
1970-1979	95-99	0.34782	0.84130	1.93	2293	1929	5547	6314	2.75
1970-1979	100-104	0.46563	0.91730	1.7	364	334	717	768	2.11
1970-1979	105-109	0.58795	0.95815	1.48	30	29	49	51	1.69
1970-1979	110+	0.68465	1.00000	1.46	1	1	2	2	1.46
1980-1989	0	0.01043	0.01033	0.07	100000	1033	99042	7361341	73.61
1980-1989	1-4	0.00061	0.00243	1.63	98967	241	395299	7262299	73.38
1980-1989	5-9	0.00029	0.00147	2.36	98726	145	493250	6867001	69.56
1980-1989	10-14	0.00039	0.00193	2.94	98582	191	492515	6373751	64.65
1980-1989	15-19	0.00119	0.00593	2.89	98391	583	490724	5881236	59.77
1980-1989	20-24	0.00142	0.00708	2.4	97807	693	487239	5390511	55.11
1980-1989	25-29	0.00131	0.00651	2.53	97115	632	484013	4903272	50.49
1980-1989	30-34	0.00153	0.00764	2.67	96483	737	480694	4419259	45.80
1980-1989	35-39	0.00185	0.00919	2.51	95746	880	476540	3938565	41.14
1980-1989	40-44	0.00258	0.01283	2.68	94867	1217	471509	3462025	36.49
1980-1989	45-49	0.00376	0.01863	2.68	93649	1744	464192	2990516	31.93
1980-1989	50-54	0.00598	0.02948	2.67	91905	2710	453212	2526324	27.49
1980-1989	55-59	0.00991	0.04843	2.71	89195	4320	436082	2073113	23.24
1980-1989	60-64	0.01566	0.07547	2.61	84876	6405	409094	1637031	19.29
1980-1989	65-69	0.02487	0.11747	2.65	78470	9218	370686	1227937	15.65
1980-1989	70-74	0.03998	0.18257	2.62	69253	12643	316228	857251	12.38
1980-1989	75-79	0.06410	0.27753	2.58	56609	15711	245093	541024	9.56
1980-1989	80-84	0.09594	0.38720	2.51	40899	15836	165065	295930	7.24
1980-1989	85-89	0.15567	0.55243	2.37	25063	13845	88942	130866	5.22
1980-1989	90-94	0.24143	0.71786	2.18	11217	8053	33353	41923	3.74
1980-1989	95-99	0.35342	0.84755	1.93	3165	2682	7590	8571	2.71
1980-1989	100-104	0.48389	0.92628	1.67	482	447	924	981	2.03
1980-1989	105-109	0.61746	0.96504	1.44	36	34	56	57	1.61
1980-1989	110+	0.72066	1.00000	1.39	1	1	2	2	1.39
