VA: Virginia, Lifetables (period 5x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02378	0.02330	0.12	100000	2330	97949	7310903	73.11
1960-1969	1-4	0.00091	0.00364	1.6	97670	355	389829	7212954	73.85
1960-1969	5-9	0.00037	0.00185	2.26	97315	180	486081	6823125	70.11
1960-1969	10-14	0.00031	0.00155	2.53	97135	150	485302	6337044	65.24
1960-1969	15-19	0.00053	0.00264	2.64	96984	256	484316	5851742	60.34
1960-1969	20-24	0.00069	0.00344	2.58	96728	333	482836	5367426	55.49
1960-1969	25-29	0.00086	0.00430	2.61	96396	414	480988	4884591	50.67
1960-1969	30-34	0.00131	0.00651	2.66	95981	625	478448	4403603	45.88
1960-1969	35-39	0.00196	0.00976	2.66	95357	931	474606	3925154	41.16
1960-1969	40-44	0.00305	0.01513	2.66	94426	1429	468790	3450549	36.54
1960-1969	45-49	0.00452	0.02234	2.67	92997	2078	460154	2981759	32.06
1960-1969	50-54	0.00700	0.03445	2.63	90919	3132	447180	2521605	27.73
1960-1969	55-59	0.00996	0.04865	2.62	87787	4271	428777	2074425	23.63
1960-1969	60-64	0.01539	0.07422	2.61	83516	6199	402761	1645648	19.70
1960-1969	65-69	0.02372	0.11216	2.58	77317	8672	365612	1242887	16.08
1960-1969	70-74	0.03752	0.17212	2.61	68645	11815	314943	877276	12.78
1960-1969	75-79	0.05755	0.25218	2.55	56830	14332	249025	562333	9.90
1960-1969	80-84	0.09428	0.38197	2.52	42498	16233	172186	313308	7.37
1960-1969	85-89	0.15351	0.54628	2.36	26265	14348	93468	141122	5.37
1960-1969	90-94	0.22361	0.68785	2.2	11917	8197	36659	47654	4.00
1960-1969	95-99	0.32086	0.81604	1.99	3720	3036	9461	10995	2.96
1960-1969	100-104	0.43614	0.90264	1.75	684	618	1416	1535	2.24
1960-1969	105-109	0.55913	0.95089	1.53	67	63	113	118	1.78
1960-1969	110+	0.65805	1.00000	1.52	3	3	5	5	1.52
1970-1979	0	0.01575	0.01553	0.1	100000	1553	98598	7588073	75.88
1970-1979	1-4	0.00058	0.00230	1.62	98447	227	393251	7489474	76.08
1970-1979	5-9	0.00028	0.00142	2.34	98221	139	490733	7096224	72.25
1970-1979	10-14	0.00027	0.00133	2.61	98081	131	490095	6605491	67.35
1970-1979	15-19	0.00052	0.00259	2.67	97951	254	489163	6115396	62.43
1970-1979	20-24	0.00057	0.00285	2.43	97697	278	487770	5626233	57.59
