VA: Virginia, Lifetables (period 1x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03321	0.03228	0.13	100000	3228	97205	6565159	65.65
1960-1964	1	0.00152	0.00152	0.5	96772	147	96699	6467954	66.84
1960-1964	2	0.00111	0.00111	0.5	96625	107	96572	6371255	65.94
1960-1964	3	0.00105	0.00105	0.5	96518	101	96467	6274684	65.01
1960-1964	4	0.00065	0.00065	0.5	96417	63	96385	6178216	64.08
1960-1964	5	0.00061	0.00061	0.5	96354	59	96325	6081831	63.12
1960-1964	6	0.00063	0.00063	0.5	96295	61	96265	5985506	62.16
1960-1964	7	0.00059	0.00059	0.5	96234	57	96206	5889242	61.20
1960-1964	8	0.00041	0.00041	0.5	96178	39	96158	5793036	60.23
1960-1964	9	0.00044	0.00044	0.5	96138	42	96117	5696878	59.26
1960-1964	10	0.00043	0.00043	0.5	96096	41	96075	5600761	58.28
1960-1964	11	0.00044	0.00044	0.5	96055	42	96033	5504686	57.31
1960-1964	12	0.00053	0.00053	0.5	96012	51	95987	5408653	56.33
1960-1964	13	0.00055	0.00055	0.5	95961	53	95935	5312666	55.36
1960-1964	14	0.00072	0.00072	0.5	95909	69	95874	5216731	54.39
1960-1964	15	0.00085	0.00085	0.5	95839	82	95799	5120857	53.43
1960-1964	16	0.00106	0.00106	0.5	95758	101	95707	5025059	52.48
1960-1964	17	0.00128	0.00128	0.5	95657	123	95595	4929352	51.53
1960-1964	18	0.00172	0.00172	0.5	95534	164	95452	4833756	50.60
1960-1964	19	0.00174	0.00174	0.5	95370	166	95287	4738305	49.68
1960-1964	20	0.00154	0.00154	0.5	95204	147	95130	4643018	48.77
1960-1964	21	0.00165	0.00165	0.5	95057	157	94979	4547887	47.84
1960-1964	22	0.00154	0.00154	0.5	94900	146	94827	4452909	46.92
1960-1964	23	0.00149	0.00148	0.5	94754	141	94684	4358082	45.99
1960-1964	24	0.00145	0.00145	0.5	94613	137	94545	4263398	45.06
1960-1964	25	0.00159	0.00159	0.5	94476	150	94401	4168854	44.13
1960-1964	26	0.00171	0.00171	0.5	94326	161	94245	4074453	43.20
1960-1964	27	0.00172	0.00172	0.5	94165	162	94084	3980208	42.27
1960-1964	28	0.00201	0.00201	0.5	94003	189	93908	3886124	41.34
1960-1964	29	0.00176	0.00175	0.5	93814	165	93732	3792216	40.42
1960-1964	30	0.00178	0.00178	0.5	93649	166	93566	3698484	39.49
1960-1964	31	0.00182	0.00182	0.5	93483	170	93398	3604918	38.56
1960-1964	32	0.00215	0.00215	0.5	93313	200	93213	3511520	37.63
1960-1964	33	0.00257	0.00257	0.5	93113	239	92993	3418307	36.71
1960-1964	34	0.00258	0.00258	0.5	92873	240	92753	3325314	35.80
1960-1964	35	0.00287	0.00286	0.5	92634	265	92501	3232561	34.90
1960-1964	36	0.00311	0.00310	0.5	92368	287	92225	3140060	34.00
1960-1964	37	0.00322	0.00322	0.5	92082	296	91933	3047835	33.10
