VT: Vermont, Lifetables (period 1x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02319	0.02272	0.11	100000	2272	97984	7069413	70.69
1960-1969	1	0.00144	0.00144	0.5	97728	141	97657	6971429	71.34
1960-1969	2	0.00086	0.00086	0.5	97587	84	97545	6873772	70.44
1960-1969	3	0.00075	0.00075	0.5	97503	73	97467	6776227	69.50
1960-1969	4	0.00071	0.00071	0.5	97430	69	97396	6678760	68.55
1960-1969	5	0.00050	0.00050	0.5	97362	49	97337	6581364	67.60
1960-1969	6	0.00056	0.00056	0.5	97313	54	97286	6484027	66.63
1960-1969	7	0.00041	0.00041	0.5	97258	39	97239	6386741	65.67
1960-1969	8	0.00041	0.00041	0.5	97219	40	97199	6289503	64.69
1960-1969	9	0.00030	0.00030	0.5	97179	29	97165	6192304	63.72
1960-1969	10	0.00029	0.00029	0.5	97150	28	97136	6095139	62.74
1960-1969	11	0.00037	0.00037	0.5	97122	36	97104	5998003	61.76
1960-1969	12	0.00033	0.00033	0.5	97086	32	97070	5900899	60.78
1960-1969	13	0.00038	0.00038	0.5	97054	37	97035	5803829	59.80
1960-1969	14	0.00052	0.00052	0.5	97016	50	96991	5706794	58.82
1960-1969	15	0.00061	0.00061	0.5	96966	59	96937	5609803	57.85
1960-1969	16	0.00103	0.00103	0.5	96908	100	96858	5512866	56.89
1960-1969	17	0.00111	0.00111	0.5	96808	108	96754	5416008	55.95
1960-1969	18	0.00123	0.00123	0.5	96700	118	96641	5319254	55.01
1960-1969	19	0.00135	0.00135	0.5	96581	130	96516	5222614	54.07
1960-1969	20	0.00157	0.00157	0.5	96451	151	96376	5126097	53.15
1960-1969	21	0.00127	0.00127	0.5	96300	122	96239	5029722	52.23
1960-1969	22	0.00129	0.00129	0.5	96178	124	96116	4933483	51.30
1960-1969	23	0.00118	0.00118	0.5	96054	114	95997	4837367	50.36
1960-1969	24	0.00114	0.00114	0.5	95941	109	95886	4741369	49.42
1960-1969	25	0.00120	0.00120	0.5	95831	115	95774	4645483	48.48
1960-1969	26	0.00125	0.00125	0.5	95717	119	95657	4549709	47.53
1960-1969	27	0.00102	0.00102	0.5	95597	97	95549	4454052	46.59
1960-1969	28	0.00118	0.00118	0.5	95500	113	95444	4358504	45.64
1960-1969	29	0.00133	0.00133	0.5	95387	127	95324	4263060	44.69
1960-1969	30	0.00124	0.00124	0.5	95260	118	95201	4167736	43.75
1960-1969	31	0.00120	0.00120	0.5	95142	114	95086	4072535	42.80
1960-1969	32	0.00148	0.00148	0.5	95029	141	94958	3977450	41.86
1960-1969	33	0.00147	0.00147	0.5	94888	139	94818	3882491	40.92
1960-1969	34	0.00158	0.00158	0.5	94749	150	94674	3787673	39.98
1960-1969	35	0.00150	0.00150	0.5	94599	142	94528	3692999	39.04
1960-1969	36	0.00155	0.00155	0.5	94457	146	94384	3598471	38.10
1960-1969	37	0.00228	0.00228	0.5	94311	215	94204	3504087	37.15
1960-1969	38	0.00207	0.00207	0.5	94096	195	93999	3409884	36.24
1960-1969	39	0.00235	0.00235	0.5	93901	221	93791	3315885	35.31
1960-1969	40	0.00250	0.00249	0.5	93681	234	93564	3222094	34.39
1960-1969	41	0.00325	0.00325	0.5	93447	304	93295	3128530	33.48
1960-1969	42	0.00338	0.00338	0.5	93143	315	92986	3035235	32.59
1960-1969	43	0.00323	0.00322	0.5	92829	299	92679	2942249	31.70
1960-1969	44	0.00327	0.00326	0.5	92529	302	92378	2849570	30.80
1960-1969	45	0.00396	0.00395	0.5	92227	364	92045	2757192	29.90
1960-1969	46	0.00515	0.00514	0.5	91863	472	91627	2665147	29.01
1960-1969	47	0.00532	0.00530	0.5	91391	484	91149	2573520	28.16
1960-1969	48	0.00546	0.00545	0.5	90907	495	90659	2482371	27.31
1960-1969	49	0.00681	0.00678	0.5	90411	613	90105	2391712	26.45
1960-1969	50	0.00650	0.00648	0.5	89798	582	89507	2301608	25.63
1960-1969	51	0.00752	0.00750	0.5	89216	669	88881	2212101	24.79
1960-1969	52	0.00897	0.00893	0.5	88547	791	88152	2123219	23.98
1960-1969	53	0.00882	0.00878	0.5	87756	771	87371	2035067	23.19
1960-1969	54	0.01035	0.01030	0.5	86986	896	86538	1947696	22.39
1960-1969	55	0.01116	0.01110	0.5	86090	955	85612	1861159	21.62
1960-1969	56	0.01241	0.01233	0.5	85134	1050	84609	1775547	20.86
1960-1969	57	0.01303	0.01294	0.5	84084	1088	83540	1690937	20.11
1960-1969	58	0.01417	0.01407	0.5	82996	1168	82412	1607397	19.37
1960-1969	59	0.01664	0.01651	0.5	81828	1351	81153	1524985	18.64
1960-1969	60	0.01589	0.01576	0.5	80477	1268	79843	1443832	17.94
1960-1969	61	0.01727	0.01712	0.5	79209	1356	78531	1363989	17.22
1960-1969	62	0.02028	0.02008	0.5	77853	1563	77071	1285458	16.51
1960-1969	63	0.02258	0.02232	0.5	76290	1703	75438	1208387	15.84
1960-1969	64	0.02441	0.02412	0.5	74586	1799	73687	1132949	15.19
1960-1969	65	0.02493	0.02462	0.5	72787	1792	71891	1059262	14.55
1960-1969	66	0.02561	0.02529	0.5	70995	1796	70097	987371	13.91
1960-1969	67	0.03063	0.03017	0.5	69200	2088	68156	917273	13.26
1960-1969	68	0.03383	0.03327	0.5	67112	2233	65996	849117	12.65
1960-1969	69	0.03738	0.03669	0.5	64879	2381	63689	783122	12.07
1960-1969	70	0.04060	0.03980	0.5	62499	2487	61255	719433	11.51
1960-1969	71	0.04329	0.04237	0.5	60011	2543	58740	658178	10.97
1960-1969	72	0.04802	0.04690	0.5	57469	2695	56121	599438	10.43
1960-1969	73	0.05187	0.05056	0.5	54774	2769	53389	543317	9.92
1960-1969	74	0.05567	0.05416	0.5	52004	2817	50596	489928	9.42
1960-1969	75	0.06123	0.05941	0.5	49188	2922	47727	439331	8.93
1960-1969	76	0.06646	0.06432	0.5	46265	2976	44777	391605	8.46
1960-1969	77	0.07010	0.06773	0.5	43290	2932	41824	346828	8.01
1960-1969	78	0.08080	0.07766	0.5	40358	3134	38791	305004	7.56
1960-1969	79	0.08509	0.08162	0.5	37223	3038	35704	266213	7.15
1960-1969	80	0.09183	0.08780	0.5	34185	3001	32684	230509	6.74
1960-1969	81	0.10088	0.09604	0.5	31184	2995	29686	197825	6.34
1960-1969	82	0.11073	0.10492	0.5	28189	2958	26710	168138	5.96
1960-1969	83	0.12142	0.11447	0.5	25231	2888	23787	141428	5.61
1960-1969	84	0.13301	0.12472	0.5	22343	2787	20950	117641	5.27
1960-1969	85	0.14554	0.13567	0.5	19556	2653	18230	96691	4.94
1960-1969	86	0.15906	0.14734	0.5	16903	2491	15658	78462	4.64
1960-1969	87	0.17360	0.15973	0.5	14413	2302	13262	62804	4.36
1960-1969	88	0.18919	0.17284	0.5	12110	2093	11064	49542	4.09
1960-1969	89	0.20587	0.18665	0.5	10017	1870	9082	38478	3.84
1960-1969	90	0.22364	0.20115	0.5	8148	1639	7328	29396	3.61
1960-1969	91	0.24251	0.21628	0.5	6509	1408	5805	22068	3.39
1960-1969	92	0.26247	0.23202	0.5	5101	1184	4509	16263	3.19
1960-1969	93	0.28350	0.24830	0.5	3917	973	3431	11754	3.00
1960-1969	94	0.30556	0.26506	0.5	2945	781	2554	8323	2.83
1960-1969	95	0.32859	0.28222	0.5	2164	611	1859	5768	2.67
1960-1969	96	0.35252	0.29970	0.5	1553	466	1321	3909	2.52
1960-1969	97	0.37726	0.31739	0.5	1088	345	915	2589	2.38
1960-1969	98	0.40271	0.33521	0.5	743	249	618	1674	2.25
1960-1969	99	0.42874	0.35305	0.5	494	174	407	1056	2.14
1960-1969	100	0.45521	0.37081	0.5	319	118	260	649	2.03
1960-1969	101	0.48199	0.38839	0.5	201	78	162	389	1.94
1960-1969	102	0.50892	0.40569	0.5	123	50	98	227	1.85
1960-1969	103	0.53585	0.42262	0.5	73	31	58	129	1.77
1960-1969	104	0.56261	0.43909	0.5	42	19	33	71	1.69
1960-1969	105	0.58905	0.45503	0.5	24	11	18	38	1.63
1960-1969	106	0.61503	0.47038	0.5	13	6	10	20	1.57
1960-1969	107	0.64040	0.48508	0.5	7	3	5	10	1.51
1960-1969	108	0.66505	0.49909	0.5	4	2	3	5	1.47
1960-1969	109	0.68886	0.51238	0.5	2	1	1	3	1.43
1960-1969	110+	0.71174	1.00000	1.41	1	1	1	1	1.41
1970-1979	0	0.01347	0.01330	0.09	100000	1330	98784	7329867	73.30
1970-1979	1	0.00083	0.00083	0.5	98670	82	98629	7231083	73.29
1970-1979	2	0.00059	0.00059	0.5	98588	58	98558	7132455	72.35
1970-1979	3	0.00047	0.00047	0.5	98529	47	98506	7033896	71.39
1970-1979	4	0.00039	0.00039	0.5	98483	38	98464	6935390	70.42
1970-1979	5	0.00047	0.00047	0.5	98444	46	98421	6836927	69.45
1970-1979	6	0.00043	0.00043	0.5	98398	42	98377	6738506	68.48
1970-1979	7	0.00030	0.00030	0.5	98356	29	98341	6640129	67.51
1970-1979	8	0.00030	0.00030	0.5	98326	30	98311	6541788	66.53
1970-1979	9	0.00056	0.00056	0.5	98296	55	98269	6443477	65.55
1970-1979	10	0.00030	0.00030	0.5	98241	30	98226	6345208	64.59
1970-1979	11	0.00021	0.00021	0.5	98211	21	98201	6246982	63.61
1970-1979	12	0.00022	0.00022	0.5	98191	21	98180	6148781	62.62
1970-1979	13	0.00039	0.00039	0.5	98169	39	98150	6050601	61.63
1970-1979	14	0.00045	0.00045	0.5	98131	44	98108	5952451	60.66
1970-1979	15	0.00052	0.00052	0.5	98086	51	98061	5854343	59.69
1970-1979	16	0.00098	0.00098	0.5	98036	96	97987	5756282	58.72
1970-1979	17	0.00110	0.00110	0.5	97939	108	97885	5658295	57.77
1970-1979	18	0.00139	0.00139	0.5	97831	136	97763	5560410	56.84
1970-1979	19	0.00112	0.00112	0.5	97696	109	97641	5462646	55.91
1970-1979	20	0.00105	0.00105	0.5	97587	102	97536	5365005	54.98
1970-1979	21	0.00149	0.00148	0.5	97485	145	97412	5267470	54.03
1970-1979	22	0.00113	0.00113	0.5	97340	110	97285	5170057	53.11
1970-1979	23	0.00119	0.00119	0.5	97229	116	97172	5072773	52.17
1970-1979	24	0.00108	0.00108	0.5	97114	104	97061	4975601	51.23
1970-1979	25	0.00114	0.00114	0.5	97009	110	96954	4878540	50.29
1970-1979	26	0.00096	0.00096	0.5	96899	93	96852	4781586	49.35
1970-1979	27	0.00076	0.00076	0.5	96805	74	96768	4684734	48.39
1970-1979	28	0.00106	0.00106	0.5	96731	103	96680	4587966	47.43
1970-1979	29	0.00100	0.00100	0.5	96629	97	96580	4491286	46.48
1970-1979	30	0.00097	0.00097	0.5	96532	94	96485	4394706	45.53
1970-1979	31	0.00085	0.00085	0.5	96438	82	96397	4298221	44.57
1970-1979	32	0.00101	0.00101	0.5	96356	97	96308	4201824	43.61
1970-1979	33	0.00138	0.00138	0.5	96259	133	96193	4105516	42.65
1970-1979	34	0.00125	0.00125	0.5	96126	120	96066	4009323	41.71
1970-1979	35	0.00127	0.00127	0.5	96006	122	95945	3913257	40.76
