PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
VT,b,1959,0,0.02484,0.02431,0.12,100000,2431,97854,7035985,70.36
VT,b,1959,1-4,0.00103,0.00410,1.52,97569,400,389283,6938131,71.11
VT,b,1959,5-9,0.00037,0.00184,1.93,97169,179,485295,6548849,67.40
VT,b,1959,10-14,0.00067,0.00335,2.92,96990,325,484274,6063553,62.52
VT,b,1959,15-19,0.00074,0.00368,2.94,96665,356,482593,5579279,57.72
VT,b,1959,20-24,0.00142,0.00707,2.47,96310,681,479827,5096686,52.92
VT,b,1959,25-29,0.00123,0.00611,2.17,95629,584,476488,4616859,48.28
VT,b,1959,30-34,0.00120,0.00597,2.73,95044,568,473932,4140371,43.56
VT,b,1959,35-39,0.00203,0.01008,2.22,94476,952,469729,3666439,38.81
VT,b,1959,40-44,0.00274,0.01360,2.69,93524,1272,464677,3196710,34.18
VT,b,1959,45-49,0.00481,0.02382,2.92,92252,2198,456684,2732033,29.61
VT,b,1959,50-54,0.00842,0.04129,2.73,90054,3719,441845,2275349,25.27
VT,b,1959,55-59,0.01410,0.06826,2.68,86336,5894,418015,1833504,21.24
VT,b,1959,60-64,0.02159,0.10299,2.77,80442,8285,383726,1415489,17.60
VT,b,1959,65-69,0.03179,0.14797,2.67,72157,10677,335889,1031764,14.30
VT,b,1959,70-74,0.04763,0.21428,2.66,61480,13174,276586,695875,11.32
VT,b,1959,75-79,0.07870,0.33097,2.6,48306,15988,203148,419288,8.68
VT,b,1959,80-84,0.11207,0.43571,2.45,32318,14081,125650,216140,6.69
VT,b,1959,85-89,0.16986,0.58355,2.32,18237,10642,62652,90490,4.96
VT,b,1959,90-94,0.24920,0.72781,2.14,7595,5528,22181,27838,3.67
VT,b,1959,95-99,0.35034,0.84338,1.93,2067,1743,4977,5656,2.74
VT,b,1959,100-104,0.46798,0.91841,1.69,324,297,635,680,2.10
VT,b,1959,105-109,0.59097,0.95892,1.48,26,25,43,44,1.68
VT,b,1959,110+,0.68870,1.00000,1.45,1,1,2,2,1.45
