VT: Vermont, Lifetables (period 5x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02122	0.02083	0.11	100000	2083	98151	7437671	74.38
1960-1964	1-4	0.00079	0.00315	1.71	97917	308	390964	7339519	74.96
1960-1964	5-9	0.00041	0.00205	2.27	97609	201	487498	6948555	71.19
1960-1964	10-14	0.00024	0.00121	2.65	97409	118	486767	6461057	66.33
1960-1964	15-19	0.00028	0.00138	2.41	97291	135	486106	5974291	61.41
1960-1964	20-24	0.00046	0.00230	2.37	97156	224	485193	5488184	56.49
1960-1964	25-29	0.00072	0.00357	2.53	96933	346	483810	5002991	51.61
1960-1964	30-34	0.00083	0.00415	2.53	96587	401	481944	4519181	46.79
1960-1964	35-39	0.00148	0.00735	2.55	96185	707	479196	4037237	41.97
1960-1964	40-44	0.00190	0.00946	2.69	95478	903	475307	3558041	37.27
1960-1964	45-49	0.00436	0.02158	2.68	94575	2041	468142	3082734	32.60
1960-1964	50-54	0.00588	0.02898	2.67	92534	2682	456415	2614591	28.26
1960-1964	55-59	0.00836	0.04100	2.63	89853	3684	440520	2158177	24.02
1960-1964	60-64	0.01326	0.06442	2.81	86169	5551	418693	1717657	19.93
1960-1964	65-69	0.02138	0.10164	2.59	80618	8194	383310	1298964	16.11
1960-1964	70-74	0.03751	0.17205	2.6	72424	12460	332177	915654	12.64
1960-1964	75-79	0.05982	0.26115	2.57	59964	15659	261761	583477	9.73
1960-1964	80-84	0.09652	0.38881	2.5	44304	17226	178477	321716	7.26
1960-1964	85-89	0.15385	0.54766	2.37	27079	14830	96393	143240	5.29
1960-1964	90-94	0.23531	0.70773	2.18	12249	8669	36840	46846	3.82
1960-1964	95-99	0.34136	0.83643	1.95	3580	2994	8772	10006	2.80
1960-1964	100-104	0.46571	0.91797	1.7	586	538	1154	1234	2.11
1960-1964	105-109	0.59512	0.96015	1.47	48	46	77	80	1.67
1960-1964	110+	0.69685	1.00000	1.44	2	2	3	3	1.44
1965-1969	0	0.01783	0.01755	0.1	100000	1755	98425	7490868	74.91
1965-1969	1-4	0.00096	0.00383	1.72	98245	376	392120	7392443	75.25
1965-1969	5-9	0.00036	0.00180	2.18	97869	176	488848	7000323	71.53
1965-1969	10-14	0.00022	0.00112	2.67	97693	109	488209	6511475	66.65
1965-1969	15-19	0.00056	0.00281	3.07	97583	274	487388	6023265	61.72
1965-1969	20-24	0.00055	0.00273	2.2	97309	266	485801	5535877	56.89
1965-1969	25-29	0.00070	0.00348	2.67	97043	338	484430	5050076	52.04
1965-1969	30-34	0.00091	0.00453	2.68	96705	438	482512	4565646	47.21
1965-1969	35-39	0.00127	0.00636	2.62	96267	612	479879	4083134	42.41
1965-1969	40-44	0.00235	0.01168	2.52	95655	1118	475506	3603255	37.67
1965-1969	45-49	0.00358	0.01776	2.76	94538	1679	468933	3127748	33.08
1965-1969	50-54	0.00592	0.02919	2.75	92859	2710	458206	2658816	28.63
1965-1969	55-59	0.00912	0.04462	2.6	90149	4023	441073	2200609	24.41
1965-1969	60-64	0.01258	0.06119	2.76	86126	5270	418810	1759537	20.43
1965-1969	65-69	0.02023	0.09660	2.67	80856	7811	386115	1340727	16.58
1965-1969	70-74	0.03338	0.15467	2.63	73045	11298	338446	954613	13.07
1965-1969	75-79	0.05780	0.25366	2.59	61747	15663	270981	616167	9.98
1965-1969	80-84	0.09036	0.36924	2.53	46084	17016	188322	345186	7.49
1965-1969	85-89	0.14827	0.53467	2.39	29068	15542	104820	156864	5.40
1965-1969	90-94	0.23258	0.70418	2.2	13526	9525	40954	52044	3.85
1965-1969	95-99	0.34410	0.83970	1.95	4001	3360	9764	11090	2.77
1965-1969	100-104	0.47553	0.92292	1.69	641	592	1245	1325	2.07
1965-1969	105-109	0.61128	0.96390	1.45	49	48	78	80	1.63
1965-1969	110+	0.71661	1.00000	1.4	2	2	2	2	1.40
1970-1974	0	0.01201	0.01188	0.09	100000	1188	98915	7649483	76.49
1970-1974	1-4	0.00061	0.00245	1.54	98812	242	394653	7550568	76.41
1970-1974	5-9	0.00030	0.00152	2.33	98570	150	492448	7155916	72.60
1970-1974	10-14	0.00019	0.00093	2.5	98420	91	491870	6663468	67.70
1970-1974	15-19	0.00043	0.00217	2.44	98329	213	491097	6171598	62.77
1970-1974	20-24	0.00043	0.00217	2.43	98115	213	490031	5680500	57.90
1970-1974	25-29	0.00054	0.00272	2.6	97903	266	488873	5190470	53.02
1970-1974	30-34	0.00071	0.00354	2.91	97636	346	487457	4701596	48.15
1970-1974	35-39	0.00103	0.00512	2.59	97290	499	485250	4214139	43.32
1970-1974	40-44	0.00210	0.01047	2.81	96792	1014	481734	3728889	38.52
1970-1974	45-49	0.00407	0.02016	2.67	95778	1931	474383	3247155	33.90
1970-1974	50-54	0.00512	0.02532	2.71	93847	2376	463799	2772771	29.55
1970-1974	55-59	0.00761	0.03740	2.64	91471	3421	449294	2308972	25.24
1970-1974	60-64	0.01316	0.06375	2.58	88050	5613	426671	1859678	21.12
1970-1974	65-69	0.01973	0.09434	2.69	82437	7777	394239	1433008	17.38
1970-1974	70-74	0.03019	0.14129	2.73	74660	10549	349398	1038769	13.91
1970-1974	75-79	0.05222	0.23210	2.61	64111	14880	284970	689371	10.75
1970-1974	80-84	0.07793	0.32723	2.55	49231	16110	206716	404401	8.21
1970-1974	85-89	0.12852	0.48334	2.44	33121	16009	124560	197685	5.97
1970-1974	90-94	0.20365	0.65386	2.26	17112	11189	54942	73125	4.27
1970-1974	95-99	0.30592	0.80185	2.03	5923	4750	15526	18183	3.07
1970-1974	100-104	0.43094	0.90098	1.77	1174	1057	2454	2658	2.26
1970-1974	105-109	0.56589	0.95340	1.52	116	111	196	204	1.75
1970-1974	110+	0.67410	1.00000	1.48	5	5	8	8	1.48
1975-1979	0	0.00971	0.00962	0.08	100000	962	99115	7816948	78.17
1975-1979	1-4	0.00042	0.00168	1.83	99038	166	395790	7717833	77.93
1975-1979	5-9	0.00032	0.00160	2.52	98872	158	493965	7322043	74.06
1975-1979	10-14	0.00022	0.00112	2.89	98713	111	493333	6828079	69.17
1975-1979	15-19	0.00056	0.00279	2.69	98602	275	492378	6334746	64.25
1975-1979	20-24	0.00054	0.00272	2.48	98327	267	490963	5842368	59.42
1975-1979	25-29	0.00054	0.00269	2.21	98060	264	489566	5351406	54.57
1975-1979	30-34	0.00065	0.00326	2.87	97796	319	488302	4861839	49.71
1975-1979	35-39	0.00101	0.00504	2.81	97477	491	486312	4373537	44.87
1975-1979	40-44	0.00179	0.00893	2.52	96986	866	482784	3887226	40.08
1975-1979	45-49	0.00300	0.01489	2.85	96120	1431	477530	3404442	35.42
1975-1979	50-54	0.00478	0.02361	2.61	94689	2235	468106	2926912	30.91
1975-1979	55-59	0.00706	0.03473	2.63	92454	3211	454660	2458806	26.60
1975-1979	60-64	0.01075	0.05243	2.69	89242	4679	435385	2004146	22.46
1975-1979	65-69	0.01673	0.08058	2.72	84563	6814	407311	1568761	18.55
1975-1979	70-74	0.02673	0.12594	2.7	77748	9791	366261	1161450	14.94
1975-1979	75-79	0.04358	0.19763	2.65	67957	13430	308174	795189	11.70
1975-1979	80-84	0.06619	0.28538	2.59	54527	15561	235109	487015	8.93
1975-1979	85-89	0.11279	0.43920	2.48	38966	17114	151729	251906	6.46
1975-1979	90-94	0.18466	0.61726	2.32	21852	13488	73046	100177	4.58
1975-1979	95-99	0.28598	0.77965	2.08	8364	6521	22801	27131	3.24
1975-1979	100-104	0.41357	0.89155	1.81	1843	1643	3973	4330	2.35
1975-1979	105-109	0.55428	0.95065	1.54	200	190	343	358	1.79
1975-1979	110+	0.66811	1.00000	1.5	10	10	15	15	1.50
