PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
VT,m,1960-1964,0,0.02877,0.02806,0.12,100000,2806,97537,6701157,67.01
VT,m,1960-1964,1,0.00178,0.00178,0.5,97194,173,97107,6603620,67.94
VT,m,1960-1964,2,0.00078,0.00077,0.5,97021,75,96983,6506512,67.06
VT,m,1960-1964,3,0.00073,0.00073,0.5,96946,71,96910,6409529,66.11
VT,m,1960-1964,4,0.00074,0.00074,0.5,96875,72,96839,6312619,65.16
VT,m,1960-1964,5,0.00031,0.00031,0.5,96803,30,96788,6215780,64.21
VT,m,1960-1964,6,0.00076,0.00076,0.5,96773,74,96736,6118992,63.23
VT,m,1960-1964,7,0.00032,0.00032,0.5,96699,31,96684,6022256,62.28
VT,m,1960-1964,8,0.00056,0.00056,0.5,96668,54,96641,5925572,61.30
VT,m,1960-1964,9,0.00033,0.00033,0.5,96614,32,96598,5828931,60.33
VT,m,1960-1964,10,0.00019,0.00019,0.5,96582,19,96572,5732333,59.35
VT,m,1960-1964,11,0.00054,0.00054,0.5,96563,52,96537,5635761,58.36
VT,m,1960-1964,12,0.00059,0.00059,0.5,96511,57,96483,5539224,57.39
VT,m,1960-1964,13,0.00079,0.00079,0.5,96454,77,96416,5442741,56.43
VT,m,1960-1964,14,0.00087,0.00087,0.5,96378,84,96335,5346325,55.47
VT,m,1960-1964,15,0.00086,0.00086,0.5,96293,83,96252,5249990,54.52
VT,m,1960-1964,16,0.00140,0.00140,0.5,96211,135,96143,5153738,53.57
VT,m,1960-1964,17,0.00158,0.00158,0.5,96076,152,96000,5057595,52.64
VT,m,1960-1964,18,0.00167,0.00167,0.5,95924,160,95844,4961595,51.72
VT,m,1960-1964,19,0.00161,0.00161,0.5,95764,155,95687,4865750,50.81
VT,m,1960-1964,20,0.00189,0.00189,0.5,95610,181,95519,4770063,49.89
VT,m,1960-1964,21,0.00194,0.00194,0.5,95429,185,95337,4674544,48.98
VT,m,1960-1964,22,0.00202,0.00202,0.5,95244,192,95148,4579207,48.08
VT,m,1960-1964,23,0.00242,0.00242,0.5,95052,230,94937,4484059,47.17
VT,m,1960-1964,24,0.00132,0.00132,0.5,94822,125,94760,4389122,46.29
VT,m,1960-1964,25,0.00210,0.00210,0.5,94697,199,94598,4294363,45.35
VT,m,1960-1964,26,0.00198,0.00198,0.5,94498,187,94405,4199765,44.44
VT,m,1960-1964,27,0.00152,0.00152,0.5,94312,144,94240,4105360,43.53
VT,m,1960-1964,28,0.00152,0.00152,0.5,94168,143,94096,4011120,42.60
VT,m,1960-1964,29,0.00132,0.00132,0.5,94025,124,93963,3917024,41.66
VT,m,1960-1964,30,0.00150,0.00150,0.5,93901,141,93830,3823061,40.71
VT,m,1960-1964,31,0.00195,0.00195,0.5,93760,183,93668,3729231,39.77
VT,m,1960-1964,32,0.00181,0.00181,0.5,93577,169,93492,3635563,38.85
VT,m,1960-1964,33,0.00186,0.00186,0.5,93408,174,93321,3542070,37.92
VT,m,1960-1964,34,0.00237,0.00237,0.5,93234,221,93123,3448749,36.99
VT,m,1960-1964,35,0.00148,0.00148,0.5,93013,137,92944,3355626,36.08
VT,m,1960-1964,36,0.00181,0.00181,0.5,92875,168,92791,3262682,35.13
VT,m,1960-1964,37,0.00339,0.00338,0.5,92707,313,92551,3169891,34.19
VT,m,1960-1964,38,0.00296,0.00295,0.5,92394,273,92258,3077340,33.31
VT,m,1960-1964,39,0.00285,0.00285,0.5,92121,262,91990,2985083,32.40
VT,m,1960-1964,40,0.00382,0.00381,0.5,91859,350,91684,2893093,31.49
VT,m,1960-1964,41,0.00529,0.00528,0.5,91509,483,91267,2801409,30.61
VT,m,1960-1964,42,0.00431,0.00430,0.5,91026,391,90830,2710141,29.77
VT,m,1960-1964,43,0.00426,0.00425,0.5,90635,385,90442,2619311,28.90
VT,m,1960-1964,44,0.00501,0.00499,0.5,90250,451,90024,2528869,28.02
VT,m,1960-1964,45,0.00536,0.00534,0.5,89799,480,89559,2438845,27.16
VT,m,1960-1964,46,0.00733,0.00730,0.5,89319,652,88993,2349286,26.30
VT,m,1960-1964,47,0.00725,0.00723,0.5,88666,641,88346,2260293,25.49
VT,m,1960-1964,48,0.00616,0.00614,0.5,88026,541,87755,2171947,24.67
VT,m,1960-1964,49,0.01095,0.01089,0.5,87485,953,87009,2084191,23.82
VT,m,1960-1964,50,0.00892,0.00889,0.5,86532,769,86148,1997183,23.08
VT,m,1960-1964,51,0.00953,0.00948,0.5,85763,813,85357,1911035,22.28
VT,m,1960-1964,52,0.01197,0.01190,0.5,84950,1011,84445,1825678,21.49
VT,m,1960-1964,53,0.01156,0.01149,0.5,83939,964,83457,1741234,20.74
VT,m,1960-1964,54,0.01440,0.01430,0.5,82975,1187,82382,1657777,19.98
VT,m,1960-1964,55,0.01348,0.01339,0.5,81788,1095,81241,1575395,19.26
VT,m,1960-1964,56,0.01625,0.01612,0.5,80693,1301,80043,1494154,18.52
VT,m,1960-1964,57,0.01503,0.01492,0.5,79393,1185,78800,1414111,17.81
VT,m,1960-1964,58,0.02031,0.02010,0.5,78208,1572,77422,1335311,17.07
VT,m,1960-1964,59,0.02306,0.02280,0.5,76636,1747,75762,1257889,16.41
VT,m,1960-1964,60,0.02351,0.02324,0.5,74888,1740,74018,1182127,15.79
VT,m,1960-1964,61,0.02403,0.02375,0.5,73148,1737,72279,1108109,15.15
VT,m,1960-1964,62,0.02446,0.02417,0.5,71411,1726,70548,1035829,14.51
VT,m,1960-1964,63,0.02741,0.02704,0.5,69685,1884,68743,965281,13.85
VT,m,1960-1964,64,0.03396,0.03339,0.5,67801,2264,66669,896538,13.22
VT,m,1960-1964,65,0.03235,0.03183,0.5,65536,2086,64493,829870,12.66
VT,m,1960-1964,66,0.03299,0.03245,0.5,63450,2059,62421,765377,12.06
VT,m,1960-1964,67,0.04287,0.04197,0.5,61391,2576,60103,702956,11.45
VT,m,1960-1964,68,0.04866,0.04750,0.5,58815,2794,57418,642853,10.93
VT,m,1960-1964,69,0.05187,0.05056,0.5,56021,2832,54605,585435,10.45
VT,m,1960-1964,70,0.05058,0.04933,0.5,53188,2624,51877,530831,9.98
VT,m,1960-1964,71,0.06042,0.05864,0.5,50565,2965,49082,478954,9.47
VT,m,1960-1964,72,0.06672,0.06457,0.5,47599,3074,46063,429872,9.03
VT,m,1960-1964,73,0.07259,0.07005,0.5,44526,3119,42966,383809,8.62
VT,m,1960-1964,74,0.07285,0.07029,0.5,41407,2911,39952,340843,8.23
VT,m,1960-1964,75,0.07244,0.06991,0.5,38496,2691,37151,300891,7.82
VT,m,1960-1964,76,0.08989,0.08602,0.5,35805,3080,34265,263741,7.37
VT,m,1960-1964,77,0.08261,0.07933,0.5,32725,2596,31427,229475,7.01
VT,m,1960-1964,78,0.09730,0.09278,0.5,30129,2795,28731,198048,6.57
VT,m,1960-1964,79,0.09887,0.09421,0.5,27333,2575,26046,169317,6.19
VT,m,1960-1964,80,0.11704,0.11057,0.5,24758,2738,23390,143271,5.79
VT,m,1960-1964,81,0.12800,0.12030,0.5,22021,2649,20696,119882,5.44
VT,m,1960-1964,82,0.13981,0.13068,0.5,19372,2531,18106,99185,5.12
VT,m,1960-1964,83,0.15253,0.14172,0.5,16840,2387,15647,81079,4.81
VT,m,1960-1964,84,0.16618,0.15343,0.5,14454,2218,13345,65432,4.53
VT,m,1960-1964,85,0.18079,0.16581,0.5,12236,2029,11222,52088,4.26
VT,m,1960-1964,86,0.19639,0.17883,0.5,10207,1825,9295,40866,4.00
VT,m,1960-1964,87,0.21298,0.19248,0.5,8382,1613,7575,31572,3.77
VT,m,1960-1964,88,0.23057,0.20673,0.5,6769,1399,6069,23996,3.55
VT,m,1960-1964,89,0.24915,0.22155,0.5,5369,1190,4774,17927,3.34
VT,m,1960-1964,90,0.26870,0.23688,0.5,4180,990,3685,13153,3.15
VT,m,1960-1964,91,0.28920,0.25267,0.5,3190,806,2787,9468,2.97
VT,m,1960-1964,92,0.31060,0.26885,0.5,2384,641,2063,6682,2.80
VT,m,1960-1964,93,0.33284,0.28535,0.5,1743,497,1494,4618,2.65
VT,m,1960-1964,94,0.35585,0.30210,0.5,1246,376,1057,3124,2.51
VT,m,1960-1964,95,0.37955,0.31901,0.5,869,277,731,2067,2.38
VT,m,1960-1964,96,0.40384,0.33599,0.5,592,199,493,1336,2.26
VT,m,1960-1964,97,0.42860,0.35296,0.5,393,139,324,844,2.15
VT,m,1960-1964,98,0.45373,0.36983,0.5,254,94,207,520,2.04
VT,m,1960-1964,99,0.47910,0.38651,0.5,160,62,129,313,1.95
VT,m,1960-1964,100,0.50458,0.40292,0.5,98,40,79,183,1.87
VT,m,1960-1964,101,0.53003,0.41899,0.5,59,25,46,105,1.79
VT,m,1960-1964,102,0.55533,0.43464,0.5,34,15,27,59,1.72
VT,m,1960-1964,103,0.58034,0.44982,0.5,19,9,15,32,1.65
VT,m,1960-1964,104,0.60495,0.46446,0.5,11,5,8,17,1.59
VT,m,1960-1964,105,0.62903,0.47853,0.5,6,3,4,9,1.54
VT,m,1960-1964,106,0.65250,0.49199,0.5,3,1,2,4,1.49
VT,m,1960-1964,107,0.67524,0.50481,0.5,2,1,1,2,1.44
VT,m,1960-1964,108,0.69719,0.51697,0.5,1,0,1,1,1.41
VT,m,1960-1964,109,0.71827,0.52847,0.5,0,0,0,0,1.37
VT,m,1960-1964,110+,0.73843,1.00000,1.35,0,0,0,0,1.35
VT,m,1965-1969,0,0.02411,0.02361,0.11,100000,2361,97898,6709603,67.10
VT,m,1965-1969,1,0.00140,0.00140,0.5,97639,136,97571,6611704,67.72
VT,m,1965-1969,2,0.00102,0.00102,0.5,97503,100,97453,6514133,66.81
VT,m,1965-1969,3,0.00076,0.00076,0.5,97403,74,97366,6416680,65.88
VT,m,1965-1969,4,0.00078,0.00078,0.5,97329,76,97291,6319314,64.93
VT,m,1965-1969,5,0.00064,0.00064,0.5,97253,62,97222,6222023,63.98
VT,m,1965-1969,6,0.00068,0.00068,0.5,97190,66,97158,6124801,63.02
VT,m,1965-1969,7,0.00051,0.00051,0.5,97125,49,97100,6027644,62.06
VT,m,1965-1969,8,0.00047,0.00047,0.5,97076,45,97053,5930544,61.09
VT,m,1965-1969,9,0.00026,0.00026,0.5,97030,25,97018,5833491,60.12
VT,m,1965-1969,10,0.00043,0.00043,0.5,97006,42,96985,5736473,59.14
VT,m,1965-1969,11,0.00048,0.00048,0.5,96964,47,96940,5639488,58.16
VT,m,1965-1969,12,0.00049,0.00049,0.5,96917,48,96893,5542548,57.19
VT,m,1965-1969,13,0.00036,0.00036,0.5,96869,35,96851,5445655,56.22
VT,m,1965-1969,14,0.00046,0.00046,0.5,96834,45,96811,5348804,55.24
VT,m,1965-1969,15,0.00090,0.00090,0.5,96789,87,96745,5251992,54.26
