WA: Washington, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02033	0.01997	0.11	100000	1997	98222	7474944	74.75
1959	1	0.00090	0.00090	0.5	98003	88	97959	7376722	75.27
1959	2	0.00083	0.00083	0.5	97915	81	97874	7278763	74.34
1959	3	0.00049	0.00049	0.5	97834	48	97810	7180889	73.40
1959	4	0.00056	0.00056	0.5	97786	54	97759	7083079	72.43
1959	5	0.00033	0.00033	0.5	97732	32	97716	6985320	71.47
1959	6	0.00046	0.00046	0.5	97700	45	97677	6887605	70.50
1959	7	0.00014	0.00014	0.5	97654	13	97648	6789928	69.53
1959	8	0.00025	0.00025	0.5	97641	24	97629	6692280	68.54
1959	9	0.00036	0.00036	0.5	97617	35	97599	6594652	67.56
1959	10	0.00036	0.00036	0.5	97582	35	97564	6497052	66.58
1959	11	0.00017	0.00017	0.5	97547	17	97538	6399488	65.60
1959	12	0.00029	0.00029	0.5	97530	28	97516	6301950	64.62
1959	13	0.00033	0.00033	0.5	97502	32	97486	6204434	63.63
1959	14	0.00018	0.00018	0.5	97470	17	97461	6106949	62.65
1959	15	0.00044	0.00044	0.5	97452	43	97431	6009487	61.67
1959	16	0.00050	0.00050	0.5	97409	49	97385	5912057	60.69
1959	17	0.00035	0.00035	0.5	97360	34	97343	5814672	59.72
1959	18	0.00033	0.00033	0.5	97326	33	97310	5717329	58.74
1959	19	0.00058	0.00058	0.5	97293	57	97265	5620020	57.76
1959	20	0.00100	0.00099	0.5	97237	97	97188	5522755	56.80
1959	21	0.00088	0.00088	0.5	97140	85	97097	5425566	55.85
1959	22	0.00078	0.00078	0.5	97055	76	97017	5328469	54.90
1959	23	0.00055	0.00055	0.5	96979	54	96952	5231452	53.94
1959	24	0.00074	0.00074	0.5	96926	71	96890	5134499	52.97
1959	25	0.00075	0.00075	0.5	96854	73	96818	5037610	52.01
1959	26	0.00057	0.00056	0.5	96781	55	96754	4940792	51.05
1959	27	0.00061	0.00060	0.5	96727	59	96698	4844038	50.08
1959	28	0.00065	0.00065	0.5	96668	63	96637	4747340	49.11
1959	29	0.00076	0.00076	0.5	96605	73	96569	4650703	48.14
1959	30	0.00075	0.00074	0.5	96532	72	96497	4554134	47.18
1959	31	0.00084	0.00084	0.5	96461	81	96420	4457638	46.21
1959	32	0.00091	0.00091	0.5	96380	88	96335	4361218	45.25
1959	33	0.00089	0.00089	0.5	96291	85	96249	4264882	44.29
1959	34	0.00091	0.00091	0.5	96206	88	96162	4168633	43.33
1959	35	0.00145	0.00145	0.5	96118	139	96048	4072471	42.37
1959	36	0.00130	0.00130	0.5	95979	125	95917	3976423	41.43
1959	37	0.00149	0.00148	0.5	95854	142	95783	3880506	40.48
1959	38	0.00138	0.00138	0.5	95712	132	95646	3784723	39.54
1959	39	0.00173	0.00172	0.5	95580	165	95497	3689077	38.60
1959	40	0.00236	0.00235	0.5	95415	225	95302	3593580	37.66
1959	41	0.00222	0.00222	0.5	95190	211	95084	3498278	36.75
1959	42	0.00227	0.00226	0.5	94979	215	94871	3403193	35.83
1959	43	0.00233	0.00233	0.5	94764	221	94653	3308322	34.91
1959	44	0.00284	0.00283	0.5	94543	268	94409	3213669	33.99
1959	45	0.00324	0.00324	0.5	94275	305	94122	3119260	33.09
1959	46	0.00291	0.00290	0.5	93970	273	93833	3025137	32.19
1959	47	0.00326	0.00326	0.5	93697	305	93544	2931304	31.28
1959	48	0.00413	0.00412	0.5	93392	384	93200	2837760	30.39
1959	49	0.00419	0.00418	0.5	93007	389	92813	2744560	29.51
1959	50	0.00417	0.00417	0.5	92619	386	92426	2651747	28.63
1959	51	0.00587	0.00585	0.5	92233	540	91963	2559322	27.75
1959	52	0.00685	0.00683	0.5	91693	626	91380	2467359	26.91
1959	53	0.00559	0.00558	0.5	91067	508	90813	2375979	26.09
1959	54	0.00679	0.00677	0.5	90559	613	90253	2285166	25.23
1959	55	0.00778	0.00775	0.5	89946	697	89598	2194913	24.40
1959	56	0.00750	0.00747	0.5	89250	667	88916	2105315	23.59
1959	57	0.00846	0.00842	0.5	88583	746	88210	2016399	22.76
1959	58	0.00859	0.00855	0.5	87837	751	87461	1928189	21.95
1959	59	0.00852	0.00848	0.5	87086	738	86716	1840728	21.14
1959	60	0.01004	0.00999	0.5	86347	862	85916	1754012	20.31
1959	61	0.01082	0.01076	0.5	85485	920	85025	1668096	19.51
1959	62	0.01212	0.01205	0.5	84565	1019	84056	1583071	18.72
1959	63	0.01392	0.01382	0.5	83546	1155	82969	1499015	17.94
1959	64	0.01582	0.01569	0.5	82392	1293	81745	1416047	17.19
1959	65	0.01456	0.01445	0.5	81098	1172	80512	1334302	16.45
1959	66	0.01500	0.01489	0.5	79926	1190	79331	1253789	15.69
1959	67	0.02116	0.02094	0.5	78736	1648	77912	1174458	14.92
1959	68	0.02200	0.02176	0.5	77088	1678	76249	1096546	14.22
1959	69	0.02401	0.02373	0.5	75410	1789	74515	1020297	13.53
1959	70	0.02488	0.02457	0.5	73621	1809	72716	945782	12.85
1959	71	0.02872	0.02832	0.5	71811	2034	70795	873066	12.16
1959	72	0.03365	0.03309	0.5	69778	2309	68623	802271	11.50
1959	73	0.03901	0.03827	0.5	67469	2582	66178	733647	10.87
1959	74	0.04261	0.04172	0.5	64887	2707	63534	667469	10.29
1959	75	0.04548	0.04446	0.5	62180	2765	60797	603936	9.71
1959	76	0.05165	0.05035	0.5	59415	2991	57919	543138	9.14
1959	77	0.05896	0.05727	0.5	56424	3232	54808	485219	8.60
1959	78	0.06852	0.06625	0.5	53192	3524	51430	430411	8.09
1959	79	0.07142	0.06895	0.5	49668	3425	47956	378981	7.63
1959	80	0.07947	0.07643	0.5	46243	3535	44476	331025	7.16
1959	81	0.08510	0.08163	0.5	42709	3486	40966	286549	6.71
1959	82	0.09140	0.08741	0.5	39223	3428	37508	245583	6.26
1959	83	0.11662	0.11020	0.5	35794	3944	33822	208075	5.81
1959	84	0.11359	0.10749	0.5	31850	3423	30138	174253	5.47
1959	85	0.14783	0.13766	0.5	28426	3913	26470	144115	5.07
1959	86	0.14369	0.13406	0.5	24513	3286	22870	117645	4.80
1959	87	0.15585	0.14458	0.5	21227	3069	19693	94775	4.46
1959	88	0.18712	0.17111	0.5	18158	3107	16605	75082	4.13
1959	89	0.19523	0.17787	0.5	15051	2677	13713	58478	3.89
1959	90	0.23054	0.20671	0.5	12374	2558	11095	44765	3.62
1959	91	0.25036	0.22251	0.5	9816	2184	8724	33670	3.43
1959	92	0.25152	0.22342	0.5	7632	1705	6779	24946	3.27
1959	93	0.27336	0.24049	0.5	5927	1425	5214	18167	3.07
1959	94	0.29634	0.25810	0.5	4501	1162	3921	12953	2.88
1959	95	0.32041	0.27617	0.5	3340	922	2878	9032	2.70
1959	96	0.34547	0.29459	0.5	2417	712	2061	6154	2.55
1959	97	0.37142	0.31325	0.5	1705	534	1438	4092	2.40
1959	98	0.39813	0.33204	0.5	1171	389	977	2654	2.27
1959	99	0.42547	0.35083	0.5	782	274	645	1678	2.14
1959	100	0.45326	0.36952	0.5	508	188	414	1033	2.03
1959	101	0.48136	0.38798	0.5	320	124	258	619	1.93
1959	102	0.50957	0.40610	0.5	196	80	156	361	1.84
1959	103	0.53772	0.42378	0.5	116	49	92	204	1.76
1959	104	0.56563	0.44093	0.5	67	30	52	113	1.68
1959	105	0.59313	0.45746	0.5	37	17	29	60	1.61
1959	106	0.62006	0.47332	0.5	20	10	16	32	1.55
1959	107	0.64627	0.48844	0.5	11	5	8	16	1.50
1959	108	0.67163	0.50278	0.5	5	3	4	8	1.45
1959	109	0.69602	0.51633	0.5	3	1	2	4	1.41
1959	110+	0.71936	1.00000	1.39	1	1	2	2	1.39
1960	0	0.02076	0.02039	0.11	100000	2039	98188	7480144	74.80
1960	1	0.00106	0.00106	0.5	97961	104	97909	7381956	75.36
1960	2	0.00080	0.00080	0.5	97857	78	97818	7284047	74.44
1960	3	0.00073	0.00073	0.5	97779	72	97743	7186229	73.49
1960	4	0.00065	0.00065	0.5	97707	63	97676	7088486	72.55
1960	5	0.00020	0.00020	0.5	97644	19	97634	6990810	71.59
1960	6	0.00020	0.00020	0.5	97625	19	97615	6893176	70.61
1960	7	0.00043	0.00043	0.5	97606	42	97585	6795561	69.62
1960	8	0.00020	0.00020	0.5	97564	20	97554	6697976	68.65
1960	9	0.00035	0.00035	0.5	97544	35	97527	6600422	67.67
1960	10	0.00021	0.00021	0.5	97509	21	97499	6502895	66.69
1960	11	0.00043	0.00043	0.5	97488	42	97468	6405396	65.70
1960	12	0.00021	0.00021	0.5	97447	20	97437	6307929	64.73
