PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WA,m,1959,0,0.02892,0.02821,0.12,100000,2821,97525,6745017,67.45
WA,m,1959,1-4,0.00114,0.00457,1.65,97179,444,387675,6647491,68.40
WA,m,1959,5-9,0.00052,0.00257,2.35,96735,249,483018,6259817,64.71
WA,m,1959,10-14,0.00061,0.00306,2.62,96486,295,481730,5776799,59.87
WA,m,1959,15-19,0.00118,0.00588,2.7,96191,566,479652,5295069,55.05
WA,m,1959,20-24,0.00163,0.00814,2.66,95625,778,476300,4815417,50.36
WA,m,1959,25-29,0.00183,0.00911,2.51,94847,864,472081,4339117,45.75
WA,m,1959,30-34,0.00193,0.00961,2.54,93983,903,467689,3867036,41.15
WA,m,1959,35-39,0.00259,0.01287,2.46,93079,1198,462349,3399347,36.52
WA,m,1959,40-44,0.00379,0.01877,2.6,91882,1724,455266,2936998,31.97
WA,m,1959,45-49,0.00688,0.03386,2.73,90157,3053,443852,2481733,27.53
WA,m,1959,50-54,0.01125,0.05479,2.66,87104,4772,424353,2037880,23.40
WA,m,1959,55-59,0.01903,0.09111,2.69,82332,7502,394295,1613527,19.60
WA,m,1959,60-64,0.02702,0.12700,2.64,74830,9504,351711,1219232,16.29
WA,m,1959,65-69,0.03788,0.17356,2.59,65327,11338,299272,867521,13.28
WA,m,1959,70-74,0.05598,0.24597,2.54,53989,13279,237227,568248,10.53
WA,m,1959,75-79,0.08443,0.35049,2.58,40710,14268,168996,331021,8.13
WA,m,1959,80-84,0.12268,0.46747,2.46,26441,12360,100756,162025,6.13
WA,m,1959,85-89,0.20360,0.65842,2.32,14081,9271,45536,61270,4.35
WA,m,1959,90-94,0.28311,0.78070,2.13,4810,3755,13264,15734,3.27
WA,m,1959,95-99,0.41550,0.89193,1.8,1055,941,2264,2470,2.34
WA,m,1959,100-104,0.54872,0.94862,1.55,114,108,197,206,1.80
WA,m,1959,105-109,0.67644,0.97481,1.35,6,6,8,9,1.47
WA,m,1959,110+,0.77065,1.00000,1.3,0,0,0,0,1.30
WA,m,1960,0,0.02710,0.02647,0.12,100000,2647,97665,6784682,67.85
WA,m,1960,1-4,0.00107,0.00425,1.54,97353,414,388396,6687017,68.69
WA,m,1960,5-9,0.00054,0.00272,2.44,96939,264,484021,6298621,64.97
WA,m,1960,10-14,0.00057,0.00285,2.45,96676,275,482677,5814601,60.15
WA,m,1960,15-19,0.00110,0.00550,2.73,96400,530,480798,5331923,55.31
WA,m,1960,20-24,0.00158,0.00789,2.54,95870,756,477489,4851125,50.60
WA,m,1960,25-29,0.00140,0.00699,2.5,95114,665,473904,4373636,45.98
WA,m,1960,30-34,0.00173,0.00863,2.64,94449,815,470320,3899732,41.29
WA,m,1960,35-39,0.00304,0.01512,2.76,93634,1415,465003,3429412,36.63
