PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WI,b,1960-1964,0,0.02186,0.02145,0.11,100000,2145,98089,7156516,71.57
WI,b,1960-1964,1,0.00139,0.00139,0.5,97855,136,97788,7058427,72.13
WI,b,1960-1964,2,0.00082,0.00082,0.5,97720,80,97680,6960639,71.23
WI,b,1960-1964,3,0.00067,0.00067,0.5,97640,65,97607,6862959,70.29
WI,b,1960-1964,4,0.00060,0.00060,0.5,97575,59,97545,6765352,69.34
WI,b,1960-1964,5,0.00055,0.00055,0.5,97516,53,97489,6667807,68.38
WI,b,1960-1964,6,0.00044,0.00044,0.5,97462,42,97441,6570317,67.41
WI,b,1960-1964,7,0.00041,0.00041,0.5,97420,40,97400,6472876,66.44
WI,b,1960-1964,8,0.00037,0.00037,0.5,97380,36,97362,6375476,65.47
WI,b,1960-1964,9,0.00031,0.00031,0.5,97344,30,97329,6278114,64.49
WI,b,1960-1964,10,0.00033,0.00033,0.5,97314,32,97298,6180785,63.51
WI,b,1960-1964,11,0.00036,0.00036,0.5,97282,35,97265,6083487,62.53
WI,b,1960-1964,12,0.00036,0.00036,0.5,97247,35,97230,5986222,61.56
WI,b,1960-1964,13,0.00039,0.00039,0.5,97212,38,97193,5888992,60.58
WI,b,1960-1964,14,0.00043,0.00043,0.5,97174,42,97153,5791799,59.60
WI,b,1960-1964,15,0.00064,0.00064,0.5,97132,62,97101,5694646,58.63
WI,b,1960-1964,16,0.00071,0.00071,0.5,97071,69,97036,5597544,57.66
WI,b,1960-1964,17,0.00102,0.00102,0.5,97001,98,96952,5500508,56.71
WI,b,1960-1964,18,0.00126,0.00126,0.5,96903,122,96842,5403556,55.76
WI,b,1960-1964,19,0.00112,0.00112,0.5,96781,108,96727,5306714,54.83
WI,b,1960-1964,20,0.00125,0.00125,0.5,96672,121,96612,5209988,53.89
WI,b,1960-1964,21,0.00128,0.00127,0.5,96551,123,96490,5113376,52.96
WI,b,1960-1964,22,0.00112,0.00112,0.5,96428,108,96374,5016886,52.03
WI,b,1960-1964,23,0.00114,0.00114,0.5,96320,109,96265,4920512,51.09
WI,b,1960-1964,24,0.00106,0.00106,0.5,96211,102,96159,4824246,50.14
WI,b,1960-1964,25,0.00118,0.00118,0.5,96108,113,96052,4728087,49.20
WI,b,1960-1964,26,0.00103,0.00103,0.5,95995,99,95946,4632035,48.25
WI,b,1960-1964,27,0.00109,0.00109,0.5,95896,105,95844,4536090,47.30
WI,b,1960-1964,28,0.00099,0.00099,0.5,95791,95,95744,4440246,46.35
WI,b,1960-1964,29,0.00098,0.00098,0.5,95696,94,95649,4344502,45.40
WI,b,1960-1964,30,0.00116,0.00116,0.5,95603,111,95547,4248852,44.44
WI,b,1960-1964,31,0.00115,0.00115,0.5,95492,110,95437,4153305,43.49
WI,b,1960-1964,32,0.00129,0.00128,0.5,95381,123,95320,4057869,42.54
WI,b,1960-1964,33,0.00124,0.00124,0.5,95259,118,95200,3962548,41.60
WI,b,1960-1964,34,0.00132,0.00132,0.5,95141,125,95079,3867348,40.65
WI,b,1960-1964,35,0.00148,0.00148,0.5,95016,141,94946,3772270,39.70
WI,b,1960-1964,36,0.00172,0.00172,0.5,94875,163,94794,3677324,38.76
WI,b,1960-1964,37,0.00166,0.00166,0.5,94712,157,94634,3582530,37.83
WI,b,1960-1964,38,0.00199,0.00199,0.5,94555,188,94461,3487897,36.89
WI,b,1960-1964,39,0.00207,0.00207,0.5,94367,195,94270,3393435,35.96
WI,b,1960-1964,40,0.00231,0.00231,0.5,94172,218,94063,3299166,35.03
WI,b,1960-1964,41,0.00256,0.00255,0.5,93955,240,93835,3205102,34.11
WI,b,1960-1964,42,0.00269,0.00269,0.5,93715,252,93589,3111268,33.20
WI,b,1960-1964,43,0.00311,0.00311,0.5,93463,290,93318,3017679,32.29
WI,b,1960-1964,44,0.00350,0.00350,0.5,93173,326,93010,2924361,31.39
WI,b,1960-1964,45,0.00367,0.00367,0.5,92847,340,92677,2831352,30.49
WI,b,1960-1964,46,0.00414,0.00414,0.5,92506,383,92315,2738675,29.61
WI,b,1960-1964,47,0.00470,0.00469,0.5,92124,432,91908,2646360,28.73
WI,b,1960-1964,48,0.00494,0.00493,0.5,91692,452,91466,2554452,27.86
WI,b,1960-1964,49,0.00569,0.00568,0.5,91240,518,90982,2462986,26.99
WI,b,1960-1964,50,0.00613,0.00611,0.5,90723,554,90446,2372004,26.15
WI,b,1960-1964,51,0.00728,0.00725,0.5,90168,654,89842,2281559,25.30
WI,b,1960-1964,52,0.00765,0.00762,0.5,89515,682,89174,2191717,24.48
WI,b,1960-1964,53,0.00844,0.00841,0.5,88832,747,88459,2102543,23.67
WI,b,1960-1964,54,0.00887,0.00883,0.5,88086,778,87697,2014084,22.87
WI,b,1960-1964,55,0.00994,0.00989,0.5,87308,864,86876,1926388,22.06
WI,b,1960-1964,56,0.01078,0.01072,0.5,86444,927,85981,1839512,21.28
WI,b,1960-1964,57,0.01183,0.01176,0.5,85517,1006,85014,1753532,20.51
WI,b,1960-1964,58,0.01221,0.01214,0.5,84511,1026,83998,1668517,19.74
WI,b,1960-1964,59,0.01442,0.01432,0.5,83485,1195,82888,1584519,18.98
WI,b,1960-1964,60,0.01497,0.01486,0.5,82290,1223,81678,1501632,18.25
WI,b,1960-1964,61,0.01666,0.01652,0.5,81067,1340,80397,1419953,17.52
WI,b,1960-1964,62,0.01900,0.01882,0.5,79727,1501,78977,1339556,16.80
WI,b,1960-1964,63,0.01989,0.01969,0.5,78227,1540,77456,1260579,16.11
WI,b,1960-1964,64,0.02108,0.02086,0.5,76686,1599,75887,1183123,15.43
WI,b,1960-1964,65,0.02359,0.02331,0.5,75087,1750,74212,1107236,14.75
WI,b,1960-1964,66,0.02586,0.02553,0.5,73337,1872,72400,1033024,14.09
WI,b,1960-1964,67,0.02897,0.02856,0.5,71464,2041,70444,960624,13.44
WI,b,1960-1964,68,0.03054,0.03008,0.5,69424,2088,68379,890180,12.82
WI,b,1960-1964,69,0.03457,0.03399,0.5,67335,2288,66191,821801,12.20
WI,b,1960-1964,70,0.03664,0.03598,0.5,65047,2341,63876,755610,11.62
WI,b,1960-1964,71,0.04102,0.04019,0.5,62706,2520,61446,691733,11.03
WI,b,1960-1964,72,0.04644,0.04539,0.5,60186,2732,58820,630287,10.47
WI,b,1960-1964,73,0.04929,0.04810,0.5,57454,2764,56072,571467,9.95
WI,b,1960-1964,74,0.05394,0.05252,0.5,54690,2872,53254,515395,9.42
WI,b,1960-1964,75,0.05944,0.05773,0.5,51818,2991,50322,462141,8.92
WI,b,1960-1964,76,0.06390,0.06193,0.5,48827,3024,47315,411819,8.43
WI,b,1960-1964,77,0.06881,0.06652,0.5,45803,3047,44279,364505,7.96
WI,b,1960-1964,78,0.07705,0.07419,0.5,42756,3172,41170,320225,7.49
WI,b,1960-1964,79,0.08492,0.08146,0.5,39584,3224,37972,279055,7.05
WI,b,1960-1964,80,0.09243,0.08835,0.5,36360,3212,34753,241083,6.63
