PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WI,f,1959,0,0.02139,0.02099,0.11,100000,2099,98138,7444639,74.45
WI,f,1959,1,0.00112,0.00112,0.5,97901,109,97846,7346501,75.04
WI,f,1959,2,0.00068,0.00068,0.5,97791,67,97758,7248655,74.12
WI,f,1959,3,0.00038,0.00038,0.5,97725,37,97706,7150896,73.17
WI,f,1959,4,0.00047,0.00047,0.5,97688,46,97665,7053190,72.20
WI,f,1959,5,0.00051,0.00051,0.5,97642,49,97617,6955525,71.24
WI,f,1959,6,0.00028,0.00028,0.5,97592,28,97579,6857908,70.27
WI,f,1959,7,0.00039,0.00039,0.5,97565,38,97546,6760330,69.29
WI,f,1959,8,0.00028,0.00028,0.5,97527,27,97514,6662784,68.32
WI,f,1959,9,0.00034,0.00034,0.5,97500,33,97484,6565270,67.34
WI,f,1959,10,0.00026,0.00026,0.5,97467,26,97454,6467787,66.36
WI,f,1959,11,0.00034,0.00034,0.5,97441,33,97425,6370332,65.38
WI,f,1959,12,0.00038,0.00038,0.5,97408,37,97390,6272908,64.40
WI,f,1959,13,0.00022,0.00022,0.5,97372,21,97361,6175518,63.42
WI,f,1959,14,0.00027,0.00027,0.5,97350,27,97337,6078157,62.44
WI,f,1959,15,0.00040,0.00040,0.5,97324,39,97304,5980820,61.45
WI,f,1959,16,0.00052,0.00052,0.5,97285,51,97260,5883515,60.48
WI,f,1959,17,0.00035,0.00035,0.5,97234,34,97217,5786256,59.51
WI,f,1959,18,0.00058,0.00058,0.5,97200,57,97172,5689039,58.53
WI,f,1959,19,0.00049,0.00049,0.5,97144,48,97120,5591867,57.56
WI,f,1959,20,0.00067,0.00067,0.5,97096,65,97063,5494747,56.59
WI,f,1959,21,0.00051,0.00051,0.5,97031,49,97006,5397684,55.63
WI,f,1959,22,0.00057,0.00057,0.5,96982,55,96954,5300677,54.66
WI,f,1959,23,0.00022,0.00022,0.5,96927,21,96916,5203723,53.69
WI,f,1959,24,0.00044,0.00044,0.5,96905,43,96884,5106807,52.70
