WI: Wisconsin, Lifetables (period 1x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.01807	0.01778	0.1	100000	1778	98406	7515111	75.15
1960-1969	1	0.00122	0.00122	0.5	98222	119	98162	7416704	75.51
1960-1969	2	0.00067	0.00067	0.5	98103	66	98070	7318542	74.60
1960-1969	3	0.00053	0.00053	0.5	98037	52	98011	7220472	73.65
1960-1969	4	0.00052	0.00052	0.5	97985	51	97959	7122462	72.69
1960-1969	5	0.00044	0.00044	0.5	97934	43	97912	7024502	71.73
1960-1969	6	0.00039	0.00039	0.5	97891	38	97872	6926590	70.76
1960-1969	7	0.00032	0.00032	0.5	97853	31	97838	6828718	69.79
1960-1969	8	0.00029	0.00029	0.5	97822	28	97808	6730880	68.81
1960-1969	9	0.00023	0.00023	0.5	97794	22	97783	6633072	67.83
1960-1969	10	0.00027	0.00027	0.5	97772	26	97759	6535290	66.84
1960-1969	11	0.00026	0.00026	0.5	97745	25	97733	6437531	65.86
1960-1969	12	0.00030	0.00030	0.5	97720	30	97706	6339798	64.88
1960-1969	13	0.00029	0.00029	0.5	97691	28	97677	6242092	63.90
1960-1969	14	0.00032	0.00032	0.5	97663	31	97647	6144415	62.91
1960-1969	15	0.00043	0.00043	0.5	97632	42	97611	6046768	61.93
1960-1969	16	0.00047	0.00047	0.5	97590	46	97567	5949157	60.96
1960-1969	17	0.00057	0.00057	0.5	97544	56	97516	5851590	59.99
1960-1969	18	0.00066	0.00066	0.5	97488	64	97456	5754075	59.02
1960-1969	19	0.00066	0.00066	0.5	97424	64	97392	5656619	58.06
1960-1969	20	0.00064	0.00064	0.5	97359	62	97328	5559227	57.10
1960-1969	21	0.00060	0.00060	0.5	97297	59	97268	5461899	56.14
1960-1969	22	0.00066	0.00066	0.5	97239	64	97207	5364631	55.17
1960-1969	23	0.00054	0.00054	0.5	97174	53	97148	5267424	54.21
1960-1969	24	0.00057	0.00057	0.5	97122	56	97094	5170276	53.23
1960-1969	25	0.00063	0.00063	0.5	97066	61	97036	5073182	52.27
1960-1969	26	0.00060	0.00060	0.5	97005	59	96976	4976147	51.30
1960-1969	27	0.00068	0.00068	0.5	96946	65	96914	4879171	50.33
1960-1969	28	0.00060	0.00060	0.5	96881	58	96852	4782257	49.36
1960-1969	29	0.00068	0.00068	0.5	96823	66	96790	4685405	48.39
1960-1969	30	0.00076	0.00076	0.5	96757	73	96720	4588616	47.42
1960-1969	31	0.00081	0.00081	0.5	96684	79	96644	4491895	46.46
1960-1969	32	0.00095	0.00095	0.5	96605	92	96559	4395251	45.50
1960-1969	33	0.00090	0.00090	0.5	96513	87	96470	4298692	44.54
1960-1969	34	0.00099	0.00099	0.5	96426	96	96378	4202222	43.58
1960-1969	35	0.00112	0.00112	0.5	96330	108	96276	4105844	42.62
1960-1969	36	0.00136	0.00135	0.5	96222	130	96157	4009568	41.67
1960-1969	37	0.00138	0.00138	0.5	96092	132	96026	3913410	40.73
1960-1969	38	0.00168	0.00168	0.5	95960	161	95879	3817384	39.78
1960-1969	39	0.00157	0.00157	0.5	95799	150	95724	3721505	38.85
1960-1969	40	0.00180	0.00180	0.5	95649	172	95563	3625781	37.91
1960-1969	41	0.00185	0.00185	0.5	95477	176	95388	3530218	36.97
1960-1969	42	0.00213	0.00213	0.5	95300	203	95199	3434830	36.04
1960-1969	43	0.00247	0.00247	0.5	95097	234	94980	3339631	35.12
1960-1969	44	0.00267	0.00267	0.5	94863	253	94736	3244651	34.20
1960-1969	45	0.00284	0.00284	0.5	94609	268	94475	3149915	33.29
1960-1969	46	0.00298	0.00297	0.5	94341	281	94201	3055440	32.39
1960-1969	47	0.00348	0.00347	0.5	94060	326	93897	2961240	31.48
1960-1969	48	0.00353	0.00352	0.5	93734	330	93569	2867343	30.59
1960-1969	49	0.00395	0.00394	0.5	93404	368	93220	2773774	29.70
1960-1969	50	0.00434	0.00433	0.5	93036	403	92835	2680554	28.81
1960-1969	51	0.00495	0.00493	0.5	92634	457	92405	2587719	27.94
1960-1969	52	0.00524	0.00523	0.5	92176	482	91936	2495314	27.07
1960-1969	53	0.00562	0.00560	0.5	91695	513	91438	2403378	26.21
1960-1969	54	0.00606	0.00605	0.5	91181	551	90906	2311940	25.36
1960-1969	55	0.00653	0.00650	0.5	90630	589	90335	2221035	24.51
1960-1969	56	0.00703	0.00701	0.5	90040	631	89725	2130699	23.66
1960-1969	57	0.00769	0.00766	0.5	89410	685	89067	2040974	22.83
1960-1969	58	0.00835	0.00832	0.5	88725	738	88356	1951907	22.00
1960-1969	59	0.00930	0.00925	0.5	87987	814	87580	1863551	21.18
1960-1969	60	0.01042	0.01037	0.5	87173	904	86721	1775971	20.37
1960-1969	61	0.01119	0.01113	0.5	86269	960	85789	1689251	19.58
1960-1969	62	0.01263	0.01255	0.5	85309	1071	84774	1603462	18.80
1960-1969	63	0.01357	0.01348	0.5	84238	1135	83671	1518688	18.03
1960-1969	64	0.01476	0.01465	0.5	83103	1218	82494	1435018	17.27
1960-1969	65	0.01628	0.01615	0.5	81885	1322	81224	1352524	16.52
1960-1969	66	0.01786	0.01770	0.5	80563	1426	79850	1271300	15.78
1960-1969	67	0.01997	0.01978	0.5	79137	1565	78354	1191450	15.06
1960-1969	68	0.02168	0.02144	0.5	77572	1663	76740	1113096	14.35
1960-1969	69	0.02480	0.02450	0.5	75908	1860	74978	1036356	13.65
1960-1969	70	0.02582	0.02549	0.5	74049	1887	73105	961377	12.98
1960-1969	71	0.02983	0.02939	0.5	72161	2121	71101	888273	12.31
1960-1969	72	0.03391	0.03334	0.5	70040	2335	68873	817172	11.67
1960-1969	73	0.03777	0.03707	0.5	67705	2510	66450	748299	11.05
1960-1969	74	0.04207	0.04120	0.5	65195	2686	63852	681849	10.46
1960-1969	75	0.04702	0.04594	0.5	62509	2872	61073	617997	9.89
1960-1969	76	0.05095	0.04968	0.5	59637	2963	58156	556924	9.34
1960-1969	77	0.05638	0.05483	0.5	56674	3108	55120	498768	8.80
1960-1969	78	0.06244	0.06055	0.5	53567	3243	51945	443648	8.28
1960-1969	79	0.06973	0.06738	0.5	50323	3391	48628	391703	7.78
1960-1969	80	0.07666	0.07383	0.5	46933	3465	45200	343075	7.31
1960-1969	81	0.08314	0.07982	0.5	43468	3470	41733	297875	6.85
1960-1969	82	0.09485	0.09055	0.5	39998	3622	38187	256142	6.40
1960-1969	83	0.10732	0.10186	0.5	36376	3705	34523	217955	5.99
1960-1969	84	0.11572	0.10939	0.5	32671	3574	30884	183432	5.61
1960-1969	85	0.13014	0.12219	0.5	29097	3555	27319	152548	5.24
1960-1969	86	0.13839	0.12943	0.5	25541	3306	23888	125229	4.90
1960-1969	87	0.15995	0.14810	0.5	22236	3293	20589	101341	4.56
1960-1969	88	0.17542	0.16128	0.5	18942	3055	17415	80752	4.26
1960-1969	89	0.18934	0.17297	0.5	15887	2748	14513	63337	3.99
1960-1969	90	0.21649	0.19535	0.5	13139	2567	11856	48823	3.72
1960-1969	91	0.22722	0.20404	0.5	10573	2157	9494	36967	3.50
1960-1969	92	0.25053	0.22264	0.5	8415	1874	7479	27473	3.26
1960-1969	93	0.27300	0.24021	0.5	6542	1571	5756	19994	3.06
1960-1969	94	0.29669	0.25836	0.5	4970	1284	4328	14238	2.86
1960-1969	95	0.32153	0.27699	0.5	3686	1021	3176	9910	2.69
