WI: Wisconsin, Lifetables (period 1x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02353	0.02304	0.11	100000	2304	97945	6861467	68.61
1960-1969	1	0.00129	0.00129	0.5	97696	126	97633	6763522	69.23
1960-1969	2	0.00089	0.00089	0.5	97570	86	97527	6665889	68.32
1960-1969	3	0.00073	0.00073	0.5	97483	71	97448	6568362	67.38
1960-1969	4	0.00065	0.00065	0.5	97413	63	97381	6470914	66.43
1960-1969	5	0.00057	0.00057	0.5	97349	56	97322	6373533	65.47
1960-1969	6	0.00050	0.00050	0.5	97294	49	97269	6276212	64.51
1960-1969	7	0.00049	0.00049	0.5	97245	48	97221	6178942	63.54
1960-1969	8	0.00042	0.00042	0.5	97197	40	97177	6081721	62.57
1960-1969	9	0.00039	0.00039	0.5	97157	38	97138	5984544	61.60
1960-1969	10	0.00037	0.00037	0.5	97119	36	97101	5887406	60.62
1960-1969	11	0.00038	0.00038	0.5	97083	37	97064	5790305	59.64
1960-1969	12	0.00046	0.00046	0.5	97046	45	97023	5693241	58.67
1960-1969	13	0.00048	0.00048	0.5	97001	46	96978	5596217	57.69
1960-1969	14	0.00055	0.00055	0.5	96955	53	96928	5499240	56.72
1960-1969	15	0.00077	0.00077	0.5	96901	74	96864	5402311	55.75
1960-1969	16	0.00105	0.00104	0.5	96827	101	96776	5305447	54.79
1960-1969	17	0.00149	0.00149	0.5	96726	144	96654	5208671	53.85
1960-1969	18	0.00219	0.00219	0.5	96582	212	96476	5112017	52.93
1960-1969	19	0.00194	0.00194	0.5	96370	187	96277	5015541	52.04
1960-1969	20	0.00192	0.00192	0.5	96184	184	96091	4919264	51.14
1960-1969	21	0.00193	0.00193	0.5	95999	185	95907	4823173	50.24
1960-1969	22	0.00179	0.00179	0.5	95814	171	95728	4727266	49.34
1960-1969	23	0.00179	0.00179	0.5	95643	171	95557	4631538	48.43
1960-1969	24	0.00159	0.00159	0.5	95472	152	95396	4535980	47.51
1960-1969	25	0.00168	0.00168	0.5	95320	160	95240	4440584	46.59
1960-1969	26	0.00144	0.00144	0.5	95160	137	95091	4345344	45.66
1960-1969	27	0.00137	0.00137	0.5	95023	130	94958	4250253	44.73
1960-1969	28	0.00139	0.00139	0.5	94893	131	94827	4155295	43.79
1960-1969	29	0.00132	0.00132	0.5	94761	125	94699	4060469	42.85
1960-1969	30	0.00148	0.00148	0.5	94636	140	94566	3965770	41.91
1960-1969	31	0.00142	0.00142	0.5	94496	134	94429	3871204	40.97
1960-1969	32	0.00162	0.00162	0.5	94362	153	94285	3776776	40.02
1960-1969	33	0.00156	0.00156	0.5	94209	147	94135	3682490	39.09
1960-1969	34	0.00172	0.00172	0.5	94062	162	93981	3588355	38.15
1960-1969	35	0.00187	0.00186	0.5	93900	175	93813	3494374	37.21
1960-1969	36	0.00206	0.00206	0.5	93725	193	93628	3400561	36.28
1960-1969	37	0.00202	0.00202	0.5	93532	189	93437	3306933	35.36
1960-1969	38	0.00241	0.00241	0.5	93343	225	93230	3213495	34.43
1960-1969	39	0.00260	0.00260	0.5	93118	242	92997	3120265	33.51
1960-1969	40	0.00286	0.00285	0.5	92876	265	92744	3027268	32.59
1960-1969	41	0.00320	0.00320	0.5	92611	296	92463	2934524	31.69
1960-1969	42	0.00352	0.00351	0.5	92315	324	92153	2842062	30.79
1960-1969	43	0.00378	0.00377	0.5	91991	347	91817	2749909	29.89
1960-1969	44	0.00439	0.00438	0.5	91644	401	91443	2658092	29.00
1960-1969	45	0.00494	0.00493	0.5	91243	450	91018	2566648	28.13
1960-1969	46	0.00531	0.00529	0.5	90793	481	90553	2475631	27.27
1960-1969	47	0.00584	0.00583	0.5	90312	526	90049	2385078	26.41
1960-1969	48	0.00638	0.00636	0.5	89786	571	89500	2295029	25.56
1960-1969	49	0.00755	0.00753	0.5	89215	671	88879	2205529	24.72
1960-1969	50	0.00782	0.00779	0.5	88543	690	88199	2116650	23.91
1960-1969	51	0.00914	0.00910	0.5	87854	799	87454	2028451	23.09
1960-1969	52	0.01010	0.01005	0.5	87055	875	86617	1940997	22.30
1960-1969	53	0.01116	0.01110	0.5	86179	957	85701	1854380	21.52
1960-1969	54	0.01198	0.01191	0.5	85223	1015	84715	1768679	20.75
1960-1969	55	0.01335	0.01326	0.5	84208	1117	83649	1683964	20.00
1960-1969	56	0.01456	0.01445	0.5	83091	1201	82491	1600315	19.26
1960-1969	57	0.01603	0.01590	0.5	81890	1302	81239	1517824	18.53
1960-1969	58	0.01729	0.01714	0.5	80588	1382	79897	1436585	17.83
1960-1969	59	0.01917	0.01899	0.5	79207	1504	78455	1356687	17.13
1960-1969	60	0.02016	0.01995	0.5	77703	1551	76928	1278233	16.45
1960-1969	61	0.02245	0.02220	0.5	76152	1691	75307	1201305	15.78
1960-1969	62	0.02501	0.02470	0.5	74461	1839	73542	1125998	15.12
1960-1969	63	0.02667	0.02632	0.5	72622	1912	71666	1052457	14.49
1960-1969	64	0.02924	0.02882	0.5	70710	2038	69692	980790	13.87
1960-1969	65	0.03180	0.03130	0.5	68673	2150	67598	911099	13.27
1960-1969	66	0.03368	0.03312	0.5	66523	2203	65421	843501	12.68
1960-1969	67	0.03798	0.03728	0.5	64320	2398	63121	778079	12.10
1960-1969	68	0.04027	0.03947	0.5	61922	2444	60700	714958	11.55
1960-1969	69	0.04415	0.04319	0.5	59478	2569	58194	654258	11.00
1960-1969	70	0.04827	0.04714	0.5	56909	2682	55568	596065	10.47
1960-1969	71	0.05231	0.05098	0.5	54227	2764	52844	540497	9.97
1960-1969	72	0.05755	0.05594	0.5	51462	2879	50023	487652	9.48
1960-1969	73	0.06019	0.05844	0.5	48583	2839	47164	437630	9.01
1960-1969	74	0.06670	0.06455	0.5	45744	2953	44268	390466	8.54
1960-1969	75	0.07051	0.06811	0.5	42792	2914	41335	346197	8.09
1960-1969	76	0.07832	0.07537	0.5	39877	3005	38375	304863	7.65
1960-1969	77	0.08385	0.08047	0.5	36872	2967	35388	266488	7.23
1960-1969	78	0.09249	0.08840	0.5	33905	2997	32406	231100	6.82
1960-1969	79	0.10087	0.09603	0.5	30908	2968	29424	198693	6.43
1960-1969	80	0.10914	0.10349	0.5	27940	2891	26494	169270	6.06
1960-1969	81	0.11788	0.11132	0.5	25048	2788	23654	142776	5.70
1960-1969	82	0.13041	0.12243	0.5	22260	2725	20897	119122	5.35
1960-1969	83	0.14444	0.13471	0.5	19535	2632	18219	98224	5.03
1960-1969	84	0.15100	0.14040	0.5	16903	2373	15716	80005	4.73
1960-1969	85	0.17207	0.15844	0.5	14530	2302	13379	64289	4.42
1960-1969	86	0.18637	0.17048	0.5	12228	2085	11185	50910	4.16
1960-1969	87	0.20406	0.18517	0.5	10143	1878	9204	39725	3.92
1960-1969	88	0.21647	0.19533	0.5	8265	1614	7458	30521	3.69
1960-1969	89	0.23834	0.21296	0.5	6651	1416	5942	23063	3.47
