PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WI,m,1960-1964,0,0.02470,0.02417,0.11,100000,2417,97852,6859345,68.59
WI,m,1960-1964,1-4,0.00097,0.00386,1.69,97583,377,389461,6761493,69.29
WI,m,1960-1964,5-9,0.00050,0.00249,2.29,97206,242,485375,6372032,65.55
WI,m,1960-1964,10-14,0.00045,0.00223,2.7,96964,216,484322,5886657,60.71
WI,m,1960-1964,15-19,0.00138,0.00687,2.89,96748,665,482333,5402335,55.84
WI,m,1960-1964,20-24,0.00181,0.00902,2.4,96083,867,478163,4920002,51.21
WI,m,1960-1964,25-29,0.00146,0.00726,2.38,95216,691,474269,4441839,46.65
WI,m,1960-1964,30-34,0.00156,0.00775,2.52,94525,733,470808,3967569,41.97
WI,m,1960-1964,35-39,0.00220,0.01097,2.67,93792,1029,466560,3496761,37.28
WI,m,1960-1964,40-44,0.00357,0.01769,2.7,92764,1641,460035,3030201,32.67
WI,m,1960-1964,45-49,0.00591,0.02916,2.69,91122,2657,449487,2570166,28.21
WI,m,1960-1964,50-54,0.01000,0.04887,2.66,88466,4324,432224,2120679,23.97
WI,m,1960-1964,55-59,0.01580,0.07614,2.64,84142,6407,405602,1688455,20.07
WI,m,1960-1964,60-64,0.02401,0.11357,2.62,77735,8828,367707,1282853,16.50
WI,m,1960-1964,65-69,0.03705,0.17001,2.58,68907,11715,316204,915146,13.28
WI,m,1960-1964,70-74,0.05647,0.24796,2.54,57192,14181,251146,598942,10.47
WI,m,1960-1964,75-79,0.08339,0.34508,2.5,43011,14842,177992,347796,8.09
WI,m,1960-1964,80-84,0.12768,0.47969,2.41,28169,13512,105826,169803,6.03
WI,m,1960-1964,85-89,0.20132,0.64886,2.26,14657,9510,47239,63977,4.37
WI,m,1960-1964,90-94,0.28643,0.77868,2.07,5147,4008,13991,16738,3.25
WI,m,1960-1964,95-99,0.40288,0.88319,1.82,1139,1006,2497,2746,2.41
WI,m,1960-1964,100-104,0.52747,0.94158,1.59,133,125,238,249,1.87
WI,m,1960-1964,105-109,0.64961,0.97045,1.39,8,8,12,12,1.53
WI,m,1960-1964,110+,0.74216,1.00000,1.35,0,0,0,0,1.35
WI,m,1965-1969,0,0.02212,0.02169,0.1,100000,2169,98057,6865921,68.66
WI,m,1965-1969,1-4,0.00080,0.00319,1.74,97831,312,390617,6767864,69.18
WI,m,1965-1969,5-9,0.00045,0.00225,2.34,97519,220,487010,6377247,65.39
WI,m,1965-1969,10-14,0.00045,0.00224,2.71,97299,218,485996,5890237,60.54
WI,m,1965-1969,15-19,0.00157,0.00785,3.02,97081,762,483900,5404240,55.67
WI,m,1965-1969,20-24,0.00180,0.00894,2.41,96319,861,479366,4920341,51.08
WI,m,1965-1969,25-29,0.00143,0.00710,2.4,95458,678,475524,4440975,46.52
WI,m,1965-1969,30-34,0.00157,0.00781,2.63,94780,740,472147,3965451,41.84
WI,m,1965-1969,35-39,0.00218,0.01084,2.66,94040,1020,467809,3493304,37.15
WI,m,1965-1969,40-44,0.00353,0.01749,2.7,93020,1626,461358,3025495,32.53
WI,m,1965-1969,45-49,0.00609,0.03001,2.7,91393,2742,450662,2564137,28.06
WI,m,1965-1969,50-54,0.01004,0.04905,2.71,88651,4349,433290,2113475,23.84
WI,m,1965-1969,55-59,0.01626,0.07830,2.65,84303,6601,406010,1680184,19.93
WI,m,1965-1969,60-64,0.02517,0.11878,2.64,77702,9230,366726,1274174,16.40
WI,m,1965-1969,65-69,0.03764,0.17261,2.6,68472,11819,314019,907448,13.25
WI,m,1965-1969,70-74,0.05653,0.24818,2.54,56653,14060,248706,593429,10.47
WI,m,1965-1969,75-79,0.08446,0.34894,2.51,42593,14862,175962,344722,8.09
WI,m,1965-1969,80-84,0.12778,0.48018,2.41,27731,13316,104209,168761,6.09
WI,m,1965-1969,85-89,0.19331,0.63158,2.26,14415,9104,47096,64552,4.48
WI,m,1965-1969,90-94,0.28376,0.77451,2.07,5311,4113,14496,17456,3.29
WI,m,1965-1969,95-99,0.39218,0.87573,1.84,1198,1049,2674,2960,2.47
WI,m,1965-1969,100-104,0.51317,0.93651,1.61,149,139,272,286,1.92
WI,m,1965-1969,105-109,0.63340,0.96752,1.41,9,9,14,15,1.57
WI,m,1965-1969,110+,0.72570,1.00000,1.38,0,0,0,0,1.38
WI,m,1970-1974,0,0.01699,0.01673,0.09,100000,1673,98479,6952353,69.52
WI,m,1970-1974,1-4,0.00074,0.00295,1.74,98327,290,392655,6853874,69.70
WI,m,1970-1974,5-9,0.00040,0.00198,2.24,98037,194,489651,6461219,65.91
WI,m,1970-1974,10-14,0.00047,0.00236,2.81,97843,231,488713,5971568,61.03
WI,m,1970-1974,15-19,0.00149,0.00743,2.97,97613,725,486592,5482855,56.17
WI,m,1970-1974,20-24,0.00182,0.00907,2.54,96887,879,482273,4996263,51.57
WI,m,1970-1974,25-29,0.00148,0.00737,2.48,96008,707,478257,4513990,47.02
WI,m,1970-1974,30-34,0.00156,0.00777,2.56,95301,741,474696,4035733,42.35
WI,m,1970-1974,35-39,0.00208,0.01036,2.64,94560,979,470492,3561038,37.66
WI,m,1970-1974,40-44,0.00328,0.01627,2.7,93581,1522,464410,3090546,33.03
WI,m,1970-1974,45-49,0.00576,0.02840,2.59,92059,2614,454003,2626136,28.53
WI,m,1970-1974,50-54,0.00924,0.04522,2.69,89445,4045,437895,2172134,24.28
WI,m,1970-1974,55-59,0.01533,0.07396,2.64,85400,6316,412100,1734238,20.31
WI,m,1970-1974,60-64,0.02406,0.11387,2.65,79083,9005,374247,1322138,16.72
WI,m,1970-1974,65-69,0.03665,0.16825,2.57,70078,11791,321740,947891,13.53
WI,m,1970-1974,70-74,0.05421,0.23937,2.56,58288,13952,257391,626152,10.74
WI,m,1970-1974,75-79,0.08229,0.34121,2.5,44335,15128,183823,368760,8.32
WI,m,1970-1974,80-84,0.12123,0.46264,2.44,29208,13513,111463,184937,6.33
WI,m,1970-1974,85-89,0.18292,0.61065,2.28,15695,9584,52396,73474,4.68
WI,m,1970-1974,90-94,0.26827,0.75663,2.12,6111,4624,17236,21079,3.45
WI,m,1970-1974,95-99,0.37354,0.86209,1.88,1487,1282,3432,3843,2.58
WI,m,1970-1974,100-104,0.49197,0.92844,1.65,205,190,387,411,2.00
WI,m,1970-1974,105-109,0.61196,0.96333,1.44,15,14,23,24,1.63
WI,m,1970-1974,110+,0.70543,1.00000,1.42,1,1,1,1,1.42
WI,m,1975-1979,0,0.01304,0.01289,0.08,100000,1289,98815,7113974,71.14
WI,m,1975-1979,1-4,0.00064,0.00254,1.75,98711,251,394281,7015159,71.07
WI,m,1975-1979,5-9,0.00037,0.00186,2.38,98460,183,491821,6620879,67.24
WI,m,1975-1979,10-14,0.00042,0.00208,2.83,98277,205,490940,6129058,62.37
WI,m,1975-1979,15-19,0.00139,0.00691,2.93,98072,677,488960,5638118,57.49
WI,m,1975-1979,20-24,0.00166,0.00825,2.41,97395,803,484895,5149159,52.87
WI,m,1975-1979,25-29,0.00138,0.00687,2.38,96592,664,481222,4664263,48.29
WI,m,1975-1979,30-34,0.00138,0.00686,2.53,95928,658,478011,4183041,43.61
WI,m,1975-1979,35-39,0.00185,0.00922,2.63,95270,878,474270,3705030,38.89
WI,m,1975-1979,40-44,0.00288,0.01430,2.7,94391,1349,468852,3230760,34.23
WI,m,1975-1979,45-49,0.00494,0.02440,2.7,93042,2270,459994,2761909,29.68
WI,m,1975-1979,50-54,0.00804,0.03945,2.69,90772,3580,445573,2301915,25.36
WI,m,1975-1979,55-59,0.01312,0.06363,2.66,87191,5548,422964,1856341,21.29
WI,m,1975-1979,60-64,0.02140,0.10191,2.66,81643,8320,388715,1433377,17.56
WI,m,1975-1979,65-69,0.03320,0.15376,2.6,73323,11274,339540,1044662,14.25
WI,m,1975-1979,70-74,0.04983,0.22222,2.57,62049,13789,276699,705122,11.36
WI,m,1975-1979,75-79,0.07447,0.31408,2.51,48260,15158,203531,428423,8.88
WI,m,1975-1979,80-84,0.11122,0.43379,2.46,33103,14360,129108,224892,6.79
WI,m,1975-1979,85-89,0.16376,0.57047,2.34,18743,10692,65292,95784,5.11
WI,m,1975-1979,90-94,0.23970,0.71444,2.17,8051,5752,23995,30492,3.79
WI,m,1975-1979,95-99,0.33829,0.83207,1.95,2299,1913,5655,6497,2.83
WI,m,1975-1979,100-104,0.44941,0.90897,1.72,386,351,781,842,2.18
WI,m,1975-1979,105-109,0.56619,0.95242,1.52,35,33,59,62,1.75
WI,m,1975-1979,110+,0.65970,1.00000,1.52,2,2,3,3,1.52
WI,m,1980-1984,0,0.01110,0.01099,0.07,100000,1099,98983,7232736,72.33
WI,m,1980-1984,1-4,0.00056,0.00224,1.61,98901,221,395076,7133753,72.13
WI,m,1980-1984,5-9,0.00028,0.00139,2.36,98680,138,493037,6738676,68.29
WI,m,1980-1984,10-14,0.00031,0.00157,2.84,98543,154,492379,6245639,63.38
WI,m,1980-1984,15-19,0.00115,0.00573,3.02,98388,564,490825,5753260,58.48
WI,m,1980-1984,20-24,0.00146,0.00725,2.4,97825,709,487278,5262435,53.79
WI,m,1980-1984,25-29,0.00130,0.00650,2.48,97116,631,483985,4775157,49.17
WI,m,1980-1984,30-34,0.00130,0.00646,2.58,96484,623,480917,4291172,44.48
WI,m,1980-1984,35-39,0.00165,0.00819,2.64,95861,786,477454,3810255,39.75
WI,m,1980-1984,40-44,0.00251,0.01249,2.65,95076,1188,472588,3332801,35.05
WI,m,1980-1984,45-49,0.00436,0.02161,2.72,93888,2029,464820,2860213,30.46
WI,m,1980-1984,50-54,0.00729,0.03583,2.69,91859,3292,451699,2395393,26.08
WI,m,1980-1984,55-59,0.01215,0.05908,2.65,88568,5232,430559,1943694,21.95
WI,m,1980-1984,60-64,0.01886,0.09023,2.62,83335,7519,398772,1513135,18.16
WI,m,1980-1984,65-69,0.02999,0.14000,2.63,75816,10614,353913,1114363,14.70
WI,m,1980-1984,70-74,0.04681,0.21014,2.57,65202,13702,292696,760450,11.66
WI,m,1980-1984,75-79,0.07066,0.30057,2.52,51500,15480,219067,467755,9.08
WI,m,1980-1984,80-84,0.10794,0.42288,2.44,36021,15232,141123,248688,6.90
WI,m,1980-1984,85-89,0.16180,0.56510,2.33,20788,11747,72606,107565,5.17
WI,m,1980-1984,90-94,0.23380,0.70401,2.18,9041,6365,27224,34959,3.87
WI,m,1980-1984,95-99,0.32986,0.82400,1.96,2676,2205,6685,7736,2.89
WI,m,1980-1984,100-104,0.43887,0.90339,1.74,471,425,969,1051,2.23
WI,m,1980-1984,105-109,0.55443,0.94913,1.54,46,43,78,81,1.79
WI,m,1980-1984,110+,0.64752,1.00000,1.54,2,2,4,4,1.54
WI,m,1985-1989,0,0.01017,0.01007,0.07,100000,1007,99066,7316191,73.16
WI,m,1985-1989,1-4,0.00052,0.00206,1.71,98993,204,395503,7217125,72.91
WI,m,1985-1989,5-9,0.00027,0.00133,2.32,98789,131,493593,6821622,69.05
WI,m,1985-1989,10-14,0.00029,0.00147,2.84,98658,145,492976,6328029,64.14
WI,m,1985-1989,15-19,0.00106,0.00526,2.94,98513,519,491497,5835053,59.23
WI,m,1985-1989,20-24,0.00139,0.00694,2.41,97994,680,488212,5343557,54.53
WI,m,1985-1989,25-29,0.00123,0.00613,2.48,97314,597,485064,4855344,49.89
WI,m,1985-1989,30-34,0.00131,0.00651,2.54,96717,630,482041,4370280,45.19
WI,m,1985-1989,35-39,0.00164,0.00817,2.61,96088,785,478566,3888240,40.47
WI,m,1985-1989,40-44,0.00239,0.01186,2.7,95303,1131,473918,3409674,35.78
WI,m,1985-1989,45-49,0.00374,0.01856,2.68,94172,1748,466802,2935756,31.17
WI,m,1985-1989,50-54,0.00648,0.03195,2.7,92424,2953,455329,2468954,26.71
WI,m,1985-1989,55-59,0.01080,0.05266,2.67,89472,4712,436394,2013625,22.51
WI,m,1985-1989,60-64,0.01752,0.08413,2.65,84760,7131,407014,1577231,18.61
WI,m,1985-1989,65-69,0.02759,0.12944,2.61,77629,10048,364156,1170217,15.07
WI,m,1985-1989,70-74,0.04411,0.19943,2.6,67581,13478,305525,806060,11.93
WI,m,1985-1989,75-79,0.06697,0.28755,2.54,54104,15557,232313,500536,9.25
WI,m,1985-1989,80-84,0.10486,0.41379,2.45,38546,15950,152110,268223,6.96
WI,m,1985-1989,85-89,0.16159,0.56573,2.35,22596,12783,79109,116113,5.14
WI,m,1985-1989,90-94,0.23971,0.71583,2.19,9813,7024,29303,37004,3.77
WI,m,1985-1989,95-99,0.34652,0.84040,1.94,2789,2343,6763,7701,2.76
WI,m,1985-1989,100-104,0.46621,0.91774,1.7,445,408,876,938,2.11
WI,m,1985-1989,105-109,0.59049,0.95885,1.48,37,35,59,62,1.68
WI,m,1985-1989,110+,0.68857,1.00000,1.45,2,2,2,2,1.45
WI,m,1990-1994,0,0.00925,0.00917,0.07,100000,917,99147,7400455,74.00
WI,m,1990-1994,1-4,0.00044,0.00176,1.62,99083,174,395919,7301308,73.69
WI,m,1990-1994,5-9,0.00021,0.00105,2.37,98909,104,494272,6905389,69.82
WI,m,1990-1994,10-14,0.00028,0.00138,2.92,98805,137,493740,6411117,64.89
WI,m,1990-1994,15-19,0.00109,0.00541,2.84,98668,534,492187,5917378,59.97
WI,m,1990-1994,20-24,0.00126,0.00630,2.39,98134,618,489061,5425191,55.28
WI,m,1990-1994,25-29,0.00124,0.00619,2.56,97516,604,486104,4936130,50.62
WI,m,1990-1994,30-34,0.00149,0.00743,2.44,96912,720,482718,4450025,45.92
WI,m,1990-1994,35-39,0.00164,0.00814,2.54,96192,783,479032,3967307,41.24
WI,m,1990-1994,40-44,0.00237,0.01179,2.61,95409,1125,474358,3488275,36.56
WI,m,1990-1994,45-49,0.00357,0.01769,2.69,94284,1668,467569,3013917,31.97
WI,m,1990-1994,50-54,0.00573,0.02826,2.71,92616,2617,457091,2546348,27.49
WI,m,1990-1994,55-59,0.00986,0.04818,2.66,89998,4336,439833,2089257,23.21
WI,m,1990-1994,60-64,0.01544,0.07451,2.65,85662,6383,413299,1649424,19.25
WI,m,1990-1994,65-69,0.02555,0.12048,2.64,79280,9552,373828,1236124,15.59
WI,m,1990-1994,70-74,0.03913,0.17893,2.61,69728,12476,318855,862297,12.37
