WV: West Virginia, Lifetables (period 1x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02567	0.02511	0.12	100000	2511	97790	6950445	69.50
1960-1969	1	0.00157	0.00156	0.5	97489	152	97413	6852655	70.29
1960-1969	2	0.00099	0.00099	0.5	97337	97	97289	6755242	69.40
1960-1969	3	0.00079	0.00079	0.5	97240	76	97202	6657954	68.47
1960-1969	4	0.00072	0.00072	0.5	97164	70	97129	6560752	67.52
1960-1969	5	0.00056	0.00056	0.5	97094	54	97067	6463623	66.57
1960-1969	6	0.00049	0.00049	0.5	97040	47	97016	6366556	65.61
1960-1969	7	0.00052	0.00052	0.5	96993	50	96968	6269539	64.64
1960-1969	8	0.00043	0.00043	0.5	96943	42	96922	6172572	63.67
1960-1969	9	0.00036	0.00036	0.5	96901	35	96883	6075650	62.70
1960-1969	10	0.00039	0.00039	0.5	96866	37	96847	5978767	61.72
1960-1969	11	0.00045	0.00045	0.5	96828	43	96807	5881920	60.75
1960-1969	12	0.00046	0.00046	0.5	96785	44	96763	5785113	59.77
1960-1969	13	0.00047	0.00047	0.5	96741	45	96718	5688350	58.80
1960-1969	14	0.00065	0.00065	0.5	96695	63	96664	5591632	57.83
1960-1969	15	0.00077	0.00077	0.5	96633	74	96596	5494968	56.86
1960-1969	16	0.00090	0.00090	0.5	96559	87	96515	5398373	55.91
1960-1969	17	0.00106	0.00106	0.5	96472	102	96421	5301858	54.96
1960-1969	18	0.00116	0.00116	0.5	96370	112	96314	5205437	54.02
1960-1969	19	0.00138	0.00138	0.5	96258	132	96192	5109123	53.08
1960-1969	20	0.00136	0.00136	0.5	96126	130	96061	5012931	52.15
1960-1969	21	0.00144	0.00144	0.5	95995	138	95926	4916870	51.22
1960-1969	22	0.00150	0.00150	0.5	95857	144	95785	4820944	50.29
1960-1969	23	0.00138	0.00138	0.5	95713	132	95647	4725159	49.37
1960-1969	24	0.00133	0.00132	0.5	95581	127	95518	4629512	48.44
1960-1969	25	0.00125	0.00125	0.5	95454	119	95395	4533994	47.50
1960-1969	26	0.00155	0.00155	0.5	95335	147	95261	4438600	46.56
1960-1969	27	0.00140	0.00140	0.5	95188	134	95121	4343338	45.63
1960-1969	28	0.00148	0.00148	0.5	95054	141	94984	4248217	44.69
1960-1969	29	0.00136	0.00136	0.5	94914	129	94849	4153233	43.76
1960-1969	30	0.00158	0.00158	0.5	94785	149	94710	4058384	42.82
1960-1969	31	0.00173	0.00173	0.5	94635	164	94554	3963674	41.88
1960-1969	32	0.00189	0.00188	0.5	94472	178	94383	3869120	40.96
1960-1969	33	0.00175	0.00175	0.5	94294	165	94211	3774738	40.03
1960-1969	34	0.00204	0.00204	0.5	94129	192	94033	3680527	39.10
1960-1969	35	0.00218	0.00218	0.5	93937	205	93834	3586494	38.18
1960-1969	36	0.00230	0.00230	0.5	93732	215	93624	3492660	37.26
1960-1969	37	0.00273	0.00273	0.5	93517	255	93389	3399036	36.35
1960-1969	38	0.00277	0.00276	0.5	93261	258	93133	3305647	35.44
1960-1969	39	0.00319	0.00318	0.5	93004	296	92856	3212514	34.54
1960-1969	40	0.00312	0.00312	0.5	92708	289	92563	3119659	33.65
1960-1969	41	0.00348	0.00347	0.5	92419	321	92259	3027095	32.75
1960-1969	42	0.00413	0.00412	0.5	92098	379	91909	2934837	31.87
1960-1969	43	0.00440	0.00439	0.5	91719	403	91518	2842928	31.00
1960-1969	44	0.00507	0.00506	0.5	91316	462	91085	2751410	30.13
1960-1969	45	0.00552	0.00551	0.5	90855	500	90604	2660325	29.28
1960-1969	46	0.00570	0.00568	0.5	90354	513	90098	2569720	28.44
1960-1969	47	0.00639	0.00637	0.5	89841	573	89555	2479623	27.60
1960-1969	48	0.00700	0.00698	0.5	89268	623	88957	2390068	26.77
1960-1969	49	0.00767	0.00764	0.5	88645	677	88307	2301111	25.96
1960-1969	50	0.00815	0.00812	0.5	87968	714	87611	2212804	25.15
1960-1969	51	0.00865	0.00861	0.5	87254	751	86878	2125193	24.36
1960-1969	52	0.00925	0.00920	0.5	86503	796	86105	2038315	23.56
1960-1969	53	0.01091	0.01085	0.5	85707	930	85242	1952210	22.78
1960-1969	54	0.01152	0.01145	0.5	84777	971	84291	1866969	22.02
1960-1969	55	0.01238	0.01230	0.5	83806	1031	83290	1782677	21.27
1960-1969	56	0.01344	0.01335	0.5	82774	1105	82222	1699387	20.53
1960-1969	57	0.01425	0.01415	0.5	81669	1155	81092	1617166	19.80
1960-1969	58	0.01559	0.01547	0.5	80514	1245	79891	1536074	19.08
1960-1969	59	0.01707	0.01693	0.5	79269	1342	78598	1456182	18.37
1960-1969	60	0.01708	0.01693	0.5	77927	1319	77267	1377585	17.68
1960-1969	61	0.01952	0.01933	0.5	76607	1481	75867	1300318	16.97
1960-1969	62	0.02192	0.02168	0.5	75127	1629	74312	1224450	16.30
1960-1969	63	0.02349	0.02322	0.5	73498	1707	72645	1150138	15.65
