WV: West Virginia, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02346	0.02299	0.12	100000	2299	97974	7316663	73.17
1959	1	0.00174	0.00174	0.5	97701	170	97616	7218689	73.89
1959	2	0.00154	0.00154	0.5	97531	150	97456	7121073	73.01
1959	3	0.00103	0.00103	0.5	97381	100	97331	7023616	72.12
1959	4	0.00077	0.00077	0.5	97281	75	97243	6926285	71.20
1959	5	0.00062	0.00062	0.5	97206	60	97176	6829042	70.25
1959	6	0.00026	0.00026	0.5	97146	25	97134	6731865	69.30
1959	7	0.00046	0.00046	0.5	97122	45	97099	6634732	68.31
1959	8	0.00025	0.00025	0.5	97077	25	97065	6537632	67.34
1959	9	0.00035	0.00035	0.5	97052	34	97035	6440568	66.36
1959	10	0.00044	0.00044	0.5	97018	43	96997	6343532	65.38
1959	11	0.00024	0.00024	0.5	96976	23	96964	6246535	64.41
1959	12	0.00029	0.00029	0.5	96953	28	96939	6149571	63.43
1959	13	0.00022	0.00022	0.5	96924	21	96914	6052632	62.45
1959	14	0.00030	0.00030	0.5	96903	29	96889	5955719	61.46
1959	15	0.00041	0.00041	0.5	96874	40	96854	5858830	60.48
1959	16	0.00029	0.00029	0.5	96834	28	96820	5761976	59.50
1959	17	0.00065	0.00065	0.5	96806	63	96774	5665156	58.52
1959	18	0.00061	0.00061	0.5	96743	59	96714	5568382	57.56
1959	19	0.00049	0.00049	0.5	96684	48	96661	5471668	56.59
1959	20	0.00094	0.00094	0.5	96637	90	96592	5375008	55.62
1959	21	0.00098	0.00098	0.5	96546	94	96499	5278416	54.67
1959	22	0.00074	0.00074	0.5	96452	72	96416	5181917	53.73
1959	23	0.00038	0.00038	0.5	96380	36	96362	5085501	52.76
1959	24	0.00075	0.00075	0.5	96344	72	96308	4989139	51.78
1959	25	0.00077	0.00077	0.5	96272	74	96235	4892831	50.82
1959	26	0.00096	0.00096	0.5	96198	92	96152	4796595	49.86
1959	27	0.00055	0.00055	0.5	96106	53	96079	4700444	48.91
1959	28	0.00081	0.00081	0.5	96052	78	96014	4604364	47.94
1959	29	0.00145	0.00145	0.5	95975	139	95905	4508351	46.97
1959	30	0.00091	0.00091	0.5	95836	87	95792	4412446	46.04
1959	31	0.00089	0.00089	0.5	95749	86	95706	4316653	45.08
1959	32	0.00073	0.00073	0.5	95663	70	95628	4220947	44.12
1959	33	0.00119	0.00119	0.5	95593	114	95536	4125319	43.15
1959	34	0.00124	0.00124	0.5	95479	118	95420	4029783	42.21
1959	35	0.00132	0.00132	0.5	95361	126	95298	3934363	41.26
1959	36	0.00209	0.00209	0.5	95235	199	95136	3839065	40.31
1959	37	0.00177	0.00177	0.5	95036	168	94952	3743929	39.39
1959	38	0.00166	0.00166	0.5	94868	158	94790	3648976	38.46
1959	39	0.00272	0.00271	0.5	94711	257	94582	3554187	37.53
1959	40	0.00238	0.00237	0.5	94454	224	94342	3459604	36.63
1959	41	0.00286	0.00286	0.5	94230	269	94095	3365263	35.71
1959	42	0.00306	0.00306	0.5	93960	287	93817	3271168	34.81
1959	43	0.00343	0.00342	0.5	93673	321	93513	3177351	33.92
1959	44	0.00348	0.00347	0.5	93352	324	93190	3083839	33.03
1959	45	0.00392	0.00391	0.5	93028	364	92846	2990648	32.15
1959	46	0.00315	0.00315	0.5	92664	291	92519	2897802	31.27
1959	47	0.00350	0.00350	0.5	92373	323	92211	2805283	30.37
1959	48	0.00351	0.00350	0.5	92050	323	91888	2713072	29.47
1959	49	0.00444	0.00443	0.5	91727	407	91524	2621183	28.58
1959	50	0.00479	0.00478	0.5	91321	437	91102	2529660	27.70
1959	51	0.00608	0.00606	0.5	90884	551	90608	2438557	26.83
1959	52	0.00710	0.00707	0.5	90333	639	90014	2347949	25.99
1959	53	0.00619	0.00617	0.5	89694	554	89417	2257935	25.17
1959	54	0.00798	0.00795	0.5	89141	708	88786	2168518	24.33
1959	55	0.00759	0.00756	0.5	88432	669	88098	2079732	23.52
1959	56	0.00779	0.00776	0.5	87763	681	87423	1991634	22.69
1959	57	0.00855	0.00852	0.5	87082	742	86712	1904211	21.87
1959	58	0.01003	0.00998	0.5	86341	861	85910	1817499	21.05
1959	59	0.01326	0.01317	0.5	85479	1126	84916	1731589	20.26
1959	60	0.00944	0.00940	0.5	84353	793	83957	1646673	19.52
1959	61	0.01341	0.01332	0.5	83560	1113	83004	1562717	18.70
1959	62	0.01227	0.01220	0.5	82448	1006	81945	1479713	17.95
1959	63	0.01701	0.01687	0.5	81442	1374	80755	1397768	17.16
1959	64	0.01798	0.01782	0.5	80068	1427	79355	1317013	16.45
1959	65	0.02092	0.02070	0.5	78641	1628	77827	1237658	15.74
1959	66	0.01994	0.01974	0.5	77014	1520	76253	1159831	15.06
1959	67	0.02749	0.02712	0.5	75493	2047	74470	1083578	14.35
1959	68	0.02380	0.02352	0.5	73446	1727	72582	1009108	13.74
1959	69	0.03121	0.03073	0.5	71719	2204	70617	936526	13.06
1959	70	0.02920	0.02878	0.5	69515	2001	68514	865909	12.46
1959	71	0.03011	0.02967	0.5	67514	2003	66513	797395	11.81
1959	72	0.03834	0.03762	0.5	65511	2464	64279	730882	11.16
1959	73	0.04255	0.04167	0.5	63047	2627	61733	666603	10.57
1959	74	0.04503	0.04404	0.5	60420	2661	59089	604870	10.01
1959	75	0.05306	0.05169	0.5	57759	2985	56266	545780	9.45
1959	76	0.05577	0.05426	0.5	54773	2972	53287	489514	8.94
1959	77	0.06170	0.05985	0.5	51801	3100	50251	436227	8.42
1959	78	0.07044	0.06804	0.5	48701	3314	47044	385976	7.93
1959	79	0.08149	0.07830	0.5	45387	3554	43610	338932	7.47
1959	80	0.07961	0.07656	0.5	41833	3203	40232	295321	7.06
1959	81	0.08275	0.07946	0.5	38630	3070	37096	255090	6.60
1959	82	0.09949	0.09478	0.5	35561	3370	33876	217994	6.13
1959	83	0.12387	0.11665	0.5	32190	3755	30313	184118	5.72
1959	84	0.13332	0.12499	0.5	28436	3554	26658	153805	5.41
1959	85	0.13242	0.12419	0.5	24881	3090	23336	127147	5.11
1959	86	0.15975	0.14793	0.5	21791	3224	20179	103811	4.76
1959	87	0.16866	0.15554	0.5	18568	2888	17124	83631	4.50
1959	88	0.19747	0.17973	0.5	15680	2818	14271	66507	4.24
1959	89	0.19180	0.17502	0.5	12862	2251	11736	52237	4.06
1959	90	0.20843	0.18876	0.5	10611	2003	9609	40501	3.82
1959	91	0.22609	0.20313	0.5	8608	1748	7733	30892	3.59
1959	92	0.24479	0.21810	0.5	6859	1496	6111	23158	3.38
1959	93	0.26451	0.23361	0.5	5363	1253	4737	17047	3.18
1959	94	0.28521	0.24962	0.5	4110	1026	3597	12310	2.99
1959	95	0.30686	0.26604	0.5	3084	821	2674	8713	2.82
1959	96	0.32939	0.28282	0.5	2264	640	1944	6039	2.67
1959	97	0.35274	0.29986	0.5	1624	487	1380	4095	2.52
1959	98	0.37681	0.31707	0.5	1137	360	957	2715	2.39
1959	99	0.40151	0.33438	0.5	776	260	647	1758	2.27
1959	100	0.42671	0.35168	0.5	517	182	426	1112	2.15
1959	101	0.45231	0.36888	0.5	335	124	273	686	2.05
1959	102	0.47815	0.38590	0.5	211	82	171	413	1.95
1959	103	0.50412	0.40263	0.5	130	52	104	242	1.87
1959	104	0.53006	0.41901	0.5	78	32	61	139	1.79
1959	105	0.55584	0.43496	0.5	45	20	35	77	1.71
1959	106	0.58133	0.45041	0.5	25	11	20	42	1.65
1959	107	0.60638	0.46531	0.5	14	7	11	22	1.59
1959	108	0.63089	0.47960	0.5	7	4	6	12	1.54
1959	109	0.65474	0.49326	0.5	4	2	3	6	1.50
1959	110+	0.67784	1.00000	1.48	2	2	3	3	1.48
1960	0	0.02475	0.02423	0.12	100000	2423	97874	7333467	73.33
1960	1	0.00216	0.00215	0.5	97577	210	97472	7235593	74.15
1960	2	0.00103	0.00103	0.5	97367	100	97317	7138121	73.31
1960	3	0.00057	0.00057	0.5	97267	55	97239	7040804	72.39
1960	4	0.00073	0.00073	0.5	97212	71	97177	6943564	71.43
1960	5	0.00046	0.00046	0.5	97141	45	97119	6846388	70.48
1960	6	0.00057	0.00057	0.5	97096	55	97069	6749269	69.51
1960	7	0.00036	0.00036	0.5	97041	35	97024	6652200	68.55
1960	8	0.00041	0.00041	0.5	97006	40	96987	6555176	67.57
1960	9	0.00051	0.00051	0.5	96967	50	96942	6458190	66.60
1960	10	0.00045	0.00045	0.5	96917	44	96895	6361248	65.64
1960	11	0.00039	0.00039	0.5	96873	38	96854	6264353	64.67
1960	12	0.00063	0.00063	0.5	96835	61	96805	6167499	63.69
1960	13	0.00049	0.00049	0.5	96774	48	96751	6070694	62.73
1960	14	0.00028	0.00028	0.5	96727	27	96713	5973943	61.76
1960	15	0.00037	0.00037	0.5	96700	35	96682	5877230	60.78
1960	16	0.00054	0.00054	0.5	96665	52	96638	5780548	59.80
1960	17	0.00054	0.00054	0.5	96612	52	96586	5683909	58.83
1960	18	0.00059	0.00059	0.5	96560	57	96532	5587323	57.86
1960	19	0.00092	0.00092	0.5	96503	89	96459	5490791	56.90
1960	20	0.00025	0.00025	0.5	96415	24	96403	5394332	55.95
1960	21	0.00043	0.00043	0.5	96391	41	96370	5297929	54.96
1960	22	0.00045	0.00045	0.5	96349	43	96328	5201559	53.99
1960	23	0.00047	0.00047	0.5	96306	45	96283	5105232	53.01
1960	24	0.00076	0.00076	0.5	96261	73	96225	5008948	52.04
1960	25	0.00047	0.00047	0.5	96188	45	96166	4912724	51.07
1960	26	0.00087	0.00087	0.5	96143	84	96101	4816558	50.10
1960	27	0.00116	0.00116	0.5	96059	111	96004	4720457	49.14
1960	28	0.00084	0.00083	0.5	95948	80	95908	4624453	48.20
1960	29	0.00099	0.00099	0.5	95868	95	95821	4528545	47.24
1960	30	0.00086	0.00086	0.5	95773	82	95732	4432724	46.28
1960	31	0.00099	0.00099	0.5	95691	95	95644	4336992	45.32
1960	32	0.00188	0.00188	0.5	95596	179	95506	4241349	44.37
1960	33	0.00114	0.00114	0.5	95417	109	95362	4145842	43.45
1960	34	0.00152	0.00152	0.5	95308	144	95236	4050480	42.50
1960	35	0.00203	0.00202	0.5	95163	193	95067	3955244	41.56
1960	36	0.00203	0.00203	0.5	94971	192	94875	3860177	40.65
1960	37	0.00171	0.00171	0.5	94778	162	94697	3765303	39.73
1960	38	0.00162	0.00162	0.5	94616	153	94539	3670605	38.79
1960	39	0.00239	0.00239	0.5	94463	225	94350	3576066	37.86
1960	40	0.00306	0.00306	0.5	94237	288	94093	3481716	36.95
1960	41	0.00222	0.00222	0.5	93949	208	93845	3387623	36.06
1960	42	0.00222	0.00222	0.5	93741	208	93637	3293778	35.14
1960	43	0.00300	0.00300	0.5	93533	280	93393	3200141	34.21
1960	44	0.00345	0.00344	0.5	93252	321	93092	3106748	33.32
1960	45	0.00341	0.00341	0.5	92931	317	92773	3013656	32.43
1960	46	0.00316	0.00315	0.5	92615	292	92469	2920883	31.54
1960	47	0.00396	0.00395	0.5	92323	365	92140	2828415	30.64
1960	48	0.00485	0.00484	0.5	91958	445	91735	2736274	29.76
1960	49	0.00489	0.00488	0.5	91513	447	91290	2644539	28.90
1960	50	0.00609	0.00607	0.5	91066	553	90790	2553249	28.04
