WV: West Virginia, Lifetables (period 1x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02195	0.02153	0.11	100000	2153	98093	7352330	73.52
1960-1969	1	0.00164	0.00164	0.5	97847	160	97767	7254236	74.14
1960-1969	2	0.00088	0.00088	0.5	97686	86	97643	7156470	73.26
1960-1969	3	0.00074	0.00074	0.5	97600	72	97564	7058826	72.32
1960-1969	4	0.00064	0.00064	0.5	97528	62	97497	6961262	71.38
1960-1969	5	0.00044	0.00044	0.5	97466	43	97445	6863765	70.42
1960-1969	6	0.00042	0.00042	0.5	97423	41	97402	6766321	69.45
1960-1969	7	0.00050	0.00050	0.5	97382	48	97357	6668918	68.48
1960-1969	8	0.00032	0.00032	0.5	97333	31	97318	6571561	67.52
1960-1969	9	0.00032	0.00032	0.5	97302	31	97287	6474243	66.54
1960-1969	10	0.00028	0.00028	0.5	97271	27	97257	6376956	65.56
1960-1969	11	0.00035	0.00035	0.5	97244	34	97227	6279699	64.58
1960-1969	12	0.00031	0.00031	0.5	97210	30	97195	6182472	63.60
1960-1969	13	0.00034	0.00034	0.5	97180	33	97163	6085277	62.62
1960-1969	14	0.00050	0.00050	0.5	97147	48	97123	5988114	61.64
1960-1969	15	0.00053	0.00053	0.5	97099	52	97073	5890991	60.67
1960-1969	16	0.00050	0.00050	0.5	97047	49	97023	5793918	59.70
1960-1969	17	0.00055	0.00055	0.5	96998	53	96972	5696896	58.73
1960-1969	18	0.00053	0.00053	0.5	96945	51	96920	5599924	57.76
1960-1969	19	0.00064	0.00064	0.5	96894	62	96863	5503004	56.79
1960-1969	20	0.00059	0.00059	0.5	96832	57	96803	5406142	55.83
1960-1969	21	0.00065	0.00065	0.5	96774	63	96743	5309339	54.86
1960-1969	22	0.00078	0.00078	0.5	96711	76	96673	5212596	53.90
1960-1969	23	0.00062	0.00062	0.5	96636	60	96606	5115922	52.94
1960-1969	24	0.00071	0.00071	0.5	96576	68	96541	5019317	51.97
1960-1969	25	0.00069	0.00069	0.5	96507	67	96474	4922775	51.01
1960-1969	26	0.00075	0.00075	0.5	96440	72	96404	4826302	50.04
1960-1969	27	0.00078	0.00078	0.5	96368	75	96331	4729897	49.08
1960-1969	28	0.00082	0.00082	0.5	96293	79	96254	4633567	48.12
1960-1969	29	0.00080	0.00080	0.5	96214	77	96176	4537313	47.16
1960-1969	30	0.00091	0.00091	0.5	96137	87	96094	4441137	46.20
1960-1969	31	0.00113	0.00113	0.5	96050	108	95996	4345043	45.24
1960-1969	32	0.00136	0.00136	0.5	95941	130	95876	4249048	44.29
1960-1969	33	0.00117	0.00117	0.5	95811	112	95755	4153171	43.35
1960-1969	34	0.00146	0.00146	0.5	95700	140	95630	4057416	42.40
1960-1969	35	0.00153	0.00152	0.5	95560	146	95487	3961786	41.46
1960-1969	36	0.00163	0.00162	0.5	95414	155	95336	3866300	40.52
1960-1969	37	0.00163	0.00163	0.5	95259	155	95181	3770963	39.59
1960-1969	38	0.00195	0.00195	0.5	95104	185	95011	3675782	38.65
1960-1969	39	0.00222	0.00222	0.5	94919	211	94814	3580770	37.72
1960-1969	40	0.00217	0.00217	0.5	94708	205	94606	3485956	36.81
1960-1969	41	0.00237	0.00237	0.5	94503	224	94391	3391351	35.89
1960-1969	42	0.00312	0.00312	0.5	94279	294	94132	3296959	34.97
1960-1969	43	0.00299	0.00299	0.5	93985	281	93845	3202827	34.08
1960-1969	44	0.00342	0.00342	0.5	93705	320	93545	3108982	33.18
