WY: Wyoming, Lifetables (period 5x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02901	0.02829	0.13	100000	2829	97535	6994277	69.94
1960-1964	1-4	0.00115	0.00460	1.5	97171	447	387565	6896742	70.98
1960-1964	5-9	0.00057	0.00286	2.26	96724	276	482863	6509177	67.30
1960-1964	10-14	0.00059	0.00293	2.92	96448	283	481650	6026313	62.48
1960-1964	15-19	0.00155	0.00770	2.71	96165	740	479127	5544664	57.66
1960-1964	20-24	0.00194	0.00967	2.44	95425	923	474757	5065537	53.08
1960-1964	25-29	0.00167	0.00833	2.69	94502	787	470692	4590780	48.58
1960-1964	30-34	0.00199	0.00988	2.47	93715	926	466233	4120088	43.96
1960-1964	35-39	0.00253	0.01259	2.67	92789	1168	461229	3653855	39.38
1960-1964	40-44	0.00380	0.01885	2.75	91621	1727	454211	3192625	34.85
1960-1964	45-49	0.00510	0.02522	2.7	89894	2267	444257	2738415	30.46
1960-1964	50-54	0.00812	0.03981	2.64	87626	3489	429900	2294158	26.18
1960-1964	55-59	0.01230	0.05975	2.58	84138	5027	408537	1864258	22.16
1960-1964	60-64	0.01905	0.09113	2.63	79111	7210	378446	1455721	18.40
1960-1964	65-69	0.02796	0.13107	2.62	71901	9424	337031	1077275	14.98
1960-1964	70-74	0.04388	0.19810	2.55	62477	12377	282071	740244	11.85
1960-1964	75-79	0.06719	0.28802	2.52	50100	14430	214772	458173	9.15
1960-1964	80-84	0.10754	0.42256	2.47	35670	15073	140160	243402	6.82
1960-1964	85-89	0.16656	0.57670	2.33	20598	11879	71315	103241	5.01
1960-1964	90-94	0.24879	0.72783	2.15	8719	6346	25507	31926	3.66
1960-1964	95-99	0.35448	0.84750	1.92	2373	2011	5674	6419	2.70
1960-1964	100-104	0.47751	0.92303	1.68	362	334	700	745	2.06
1960-1964	105-109	0.60508	0.96227	1.46	28	27	44	46	1.64
1960-1964	110+	0.70539	1.00000	1.42	1	1	1	1	1.42
1965-1969	0	0.02362	0.02314	0.11	100000	2314	97950	7084560	70.85
1965-1969	1-4	0.00105	0.00419	1.56	97686	409	389744	6986609	71.52
