WY: Wyoming, Lifetables (period 1x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02273	0.02228	0.12	100000	2228	98032	7459127	74.59
1960-1969	1	0.00184	0.00184	0.5	97772	180	97682	7361096	75.29
1960-1969	2	0.00068	0.00068	0.5	97592	67	97559	7263414	74.43
1960-1969	3	0.00050	0.00050	0.5	97525	49	97501	7165855	73.48
1960-1969	4	0.00065	0.00065	0.5	97476	64	97444	7068355	72.51
1960-1969	5	0.00067	0.00067	0.5	97412	65	97380	6970910	71.56
1960-1969	6	0.00051	0.00051	0.5	97347	49	97322	6873531	70.61
1960-1969	7	0.00045	0.00045	0.5	97298	44	97275	6776208	69.64
1960-1969	8	0.00043	0.00043	0.5	97253	42	97232	6678933	68.68
1960-1969	9	0.00016	0.00016	0.5	97212	16	97204	6581700	67.70
1960-1969	10	0.00022	0.00022	0.5	97196	22	97185	6484497	66.72
1960-1969	11	0.00028	0.00028	0.5	97174	27	97160	6387312	65.73
1960-1969	12	0.00029	0.00029	0.5	97147	28	97133	6290152	64.75
1960-1969	13	0.00032	0.00032	0.5	97119	31	97103	6193019	63.77
1960-1969	14	0.00065	0.00065	0.5	97087	63	97056	6095916	62.79
1960-1969	15	0.00097	0.00097	0.5	97024	94	96978	5998860	61.83
1960-1969	16	0.00098	0.00098	0.5	96931	95	96883	5901883	60.89
1960-1969	17	0.00113	0.00113	0.5	96836	110	96781	5804999	59.95
1960-1969	18	0.00108	0.00108	0.5	96726	104	96674	5708219	59.01
1960-1969	19	0.00106	0.00106	0.5	96622	103	96570	5611545	58.08
1960-1969	20	0.00075	0.00075	0.5	96519	72	96483	5514974	57.14
1960-1969	21	0.00087	0.00087	0.5	96447	84	96405	5418491	56.18
1960-1969	22	0.00095	0.00095	0.5	96362	92	96317	5322087	55.23
1960-1969	23	0.00107	0.00107	0.5	96271	103	96219	5225770	54.28
1960-1969	24	0.00081	0.00081	0.5	96167	78	96129	5129551	53.34
1960-1969	25	0.00048	0.00048	0.5	96090	46	96067	5033423	52.38
1960-1969	26	0.00088	0.00088	0.5	96043	85	96001	4937356	51.41
1960-1969	27	0.00094	0.00094	0.5	95959	90	95913	4841355	50.45
1960-1969	28	0.00065	0.00065	0.5	95868	62	95837	4745442	49.50
1960-1969	29	0.00120	0.00120	0.5	95806	115	95748	4649605	48.53
1960-1969	30	0.00125	0.00125	0.5	95691	120	95631	4553857	47.59
1960-1969	31	0.00089	0.00089	0.5	95571	85	95528	4458226	46.65
1960-1969	32	0.00133	0.00133	0.5	95486	127	95422	4362698	45.69
