PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WY,f,1960-1964,0,0.02501,0.02447,0.12,100000,2447,97854,7412683,74.13
WY,f,1960-1964,1,0.00187,0.00186,0.5,97553,182,97462,7314829,74.98
WY,f,1960-1964,2,0.00057,0.00057,0.5,97371,55,97343,7217367,74.12
WY,f,1960-1964,3,0.00036,0.00036,0.5,97316,35,97298,7120024,73.16
WY,f,1960-1964,4,0.00067,0.00067,0.5,97281,65,97248,7022726,72.19
WY,f,1960-1964,5,0.00072,0.00072,0.5,97216,70,97181,6925478,71.24
WY,f,1960-1964,6,0.00072,0.00072,0.5,97146,70,97111,6828297,70.29
WY,f,1960-1964,7,0.00052,0.00052,0.5,97075,51,97050,6731186,69.34
WY,f,1960-1964,8,0.00059,0.00059,0.5,97025,57,96996,6634136,68.38
WY,f,1960-1964,9,0.00027,0.00027,0.5,96968,27,96955,6537140,67.42
WY,f,1960-1964,10,0.00023,0.00023,0.5,96941,22,96930,6440185,66.43
WY,f,1960-1964,11,0.00052,0.00052,0.5,96919,51,96894,6343255,65.45
WY,f,1960-1964,12,0.00048,0.00048,0.5,96869,46,96846,6246361,64.48
WY,f,1960-1964,13,0.00037,0.00037,0.5,96822,36,96805,6149515,63.51
WY,f,1960-1964,14,0.00098,0.00098,0.5,96787,95,96739,6052711,62.54
WY,f,1960-1964,15,0.00083,0.00083,0.5,96692,80,96652,5955971,61.60
WY,f,1960-1964,16,0.00094,0.00094,0.5,96612,91,96566,5859320,60.65
WY,f,1960-1964,17,0.00091,0.00091,0.5,96521,88,96477,5762753,59.70
WY,f,1960-1964,18,0.00096,0.00096,0.5,96433,93,96387,5666276,58.76
WY,f,1960-1964,19,0.00110,0.00110,0.5,96340,106,96287,5569890,57.81
WY,f,1960-1964,20,0.00081,0.00080,0.5,96234,77,96195,5473603,56.88
WY,f,1960-1964,21,0.00095,0.00095,0.5,96156,91,96111,5377408,55.92
WY,f,1960-1964,22,0.00099,0.00099,0.5,96065,95,96017,5281297,54.98
WY,f,1960-1964,23,0.00060,0.00060,0.5,95970,58,95941,5185279,54.03
WY,f,1960-1964,24,0.00080,0.00080,0.5,95912,77,95874,5089338,53.06
WY,f,1960-1964,25,0.00059,0.00059,0.5,95835,57,95807,4993465,52.10
WY,f,1960-1964,26,0.00079,0.00079,0.5,95778,75,95741,4897658,51.14
WY,f,1960-1964,27,0.00107,0.00107,0.5,95703,103,95652,4801917,50.18
WY,f,1960-1964,28,0.00098,0.00098,0.5,95601,93,95554,4706265,49.23
WY,f,1960-1964,29,0.00137,0.00137,0.5,95507,131,95442,4610711,48.28
WY,f,1960-1964,30,0.00155,0.00155,0.5,95376,148,95302,4515270,47.34
WY,f,1960-1964,31,0.00115,0.00115,0.5,95228,109,95174,4419967,46.41
WY,f,1960-1964,32,0.00132,0.00132,0.5,95119,126,95056,4324794,45.47
WY,f,1960-1964,33,0.00141,0.00141,0.5,94993,134,94926,4229738,44.53
WY,f,1960-1964,34,0.00084,0.00084,0.5,94859,80,94820,4134811,43.59
WY,f,1960-1964,35,0.00129,0.00129,0.5,94780,122,94719,4039992,42.62
WY,f,1960-1964,36,0.00230,0.00230,0.5,94658,218,94549,3945273,41.68
WY,f,1960-1964,37,0.00149,0.00148,0.5,94440,140,94370,3850724,40.77
WY,f,1960-1964,38,0.00203,0.00203,0.5,94300,191,94204,3756354,39.83
WY,f,1960-1964,39,0.00222,0.00221,0.5,94109,208,94005,3662149,38.91
WY,f,1960-1964,40,0.00198,0.00198,0.5,93900,186,93807,3568145,38.00
WY,f,1960-1964,41,0.00182,0.00182,0.5,93714,170,93629,3474337,37.07
WY,f,1960-1964,42,0.00290,0.00290,0.5,93544,271,93409,3380708,36.14
WY,f,1960-1964,43,0.00267,0.00266,0.5,93273,248,93149,3287299,35.24
WY,f,1960-1964,44,0.00323,0.00323,0.5,93025,300,92875,3194151,34.34
WY,f,1960-1964,45,0.00195,0.00195,0.5,92724,180,92634,3101276,33.45
WY,f,1960-1964,46,0.00405,0.00404,0.5,92544,374,92357,3008642,32.51
WY,f,1960-1964,47,0.00380,0.00379,0.5,92170,350,91995,2916285,31.64
WY,f,1960-1964,48,0.00355,0.00354,0.5,91820,325,91658,2824290,30.76
WY,f,1960-1964,49,0.00494,0.00493,0.5,91495,451,91270,2732632,29.87
WY,f,1960-1964,50,0.00491,0.00490,0.5,91044,446,90821,2641362,29.01
WY,f,1960-1964,51,0.00479,0.00478,0.5,90598,433,90382,2550541,28.15
WY,f,1960-1964,52,0.00656,0.00653,0.5,90165,589,89871,2460159,27.29
WY,f,1960-1964,53,0.00646,0.00644,0.5,89576,577,89288,2370289,26.46
WY,f,1960-1964,54,0.00706,0.00703,0.5,88999,626,88687,2281001,25.63
WY,f,1960-1964,55,0.00583,0.00582,0.5,88374,514,88117,2192315,24.81
WY,f,1960-1964,56,0.00806,0.00802,0.5,87860,705,87507,2104198,23.95
WY,f,1960-1964,57,0.00827,0.00824,0.5,87155,718,86795,2016691,23.14
WY,f,1960-1964,58,0.00706,0.00704,0.5,86436,608,86132,1929895,22.33
WY,f,1960-1964,59,0.00953,0.00949,0.5,85828,814,85421,1843763,21.48
WY,f,1960-1964,60,0.00965,0.00960,0.5,85014,816,84606,1758342,20.68
WY,f,1960-1964,61,0.01147,0.01141,0.5,84197,961,83717,1673737,19.88
WY,f,1960-1964,62,0.01196,0.01189,0.5,83237,990,82742,1590019,19.10
WY,f,1960-1964,63,0.01442,0.01432,0.5,82247,1178,81658,1507277,18.33
