WY: Wyoming, Lifetables (period 5x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02205	0.02163	0.11	100000	2163	98085	7430954	74.31
1959	1-4	0.00120	0.00478	1.18	97837	468	390027	7332869	74.95
1959	5-9	0.00033	0.00163	2.25	97369	159	486408	6942841	71.30
1959	10-14	0.00028	0.00139	3.33	97210	135	485826	6456433	66.42
1959	15-19	0.00139	0.00691	3.17	97076	671	484150	5970607	61.50
1959	20-24	0.00087	0.00436	2.24	96405	420	480865	5486458	56.91
1959	25-29	0.00103	0.00515	2.76	95984	494	478812	5005593	52.15
1959	30-34	0.00171	0.00852	2.24	95490	814	475202	4526780	47.41
1959	35-39	0.00117	0.00585	2.3	94676	554	471887	4051579	42.79
1959	40-44	0.00130	0.00649	2.62	94122	611	469155	3579691	38.03
1959	45-49	0.00336	0.01666	2.85	93511	1558	464209	3110537	33.26
1959	50-54	0.00564	0.02786	2.81	91953	2562	454163	2646328	28.78
1959	55-59	0.00817	0.04009	2.68	89390	3584	438642	2192165	24.52
1959	60-64	0.00975	0.04755	2.37	85806	4080	418294	1753524	20.44
1959	65-69	0.02030	0.09668	2.55	81726	7902	389272	1335229	16.34
1959	70-74	0.03091	0.14426	2.69	73824	10650	344503	945957	12.81
1959	75-79	0.05896	0.25797	2.58	63175	16297	276387	601454	9.52
1959	80-84	0.10002	0.40069	2.52	46878	18783	187787	325066	6.93
1959	85-89	0.16843	0.58293	2.36	28094	16377	97234	137279	4.89
1959	90-94	0.26798	0.75735	2.13	11717	8874	33115	40045	3.42
1959	95-99	0.39683	0.88147	1.85	2843	2506	6316	6931	2.44
1959	100-104	0.54199	0.94746	1.57	337	319	589	615	1.82
1959	105-109	0.68182	0.97594	1.34	18	17	25	26	1.46
1959	110+	0.78340	1.00000	1.28	0	0	1	1	1.28
1960	0	0.02417	0.02367	0.12	100000	2367	97919	7346140	73.46
1960	1-4	0.00088	0.00352	1.36	97633	344	389626	7248221	74.24
1960	5-9	0.00036	0.00181	1.68	97290	177	485863	6858595	70.50
1960	10-14	0.00059	0.00297	3.51	97113	289	485135	6372732	65.62
1960	15-19	0.00069	0.00346	1.49	96825	335	482946	5887596	60.81
1960	20-24	0.00051	0.00253	1.88	96490	244	481686	5404651	56.01
1960	25-29	0.00077	0.00383	2.87	96246	369	480444	4922964	51.15
1960	30-34	0.00156	0.00778	2.33	95877	746	477392	4442520	46.34
1960	35-39	0.00242	0.01200	2.37	95131	1142	472651	3965128	41.68
1960	40-44	0.00257	0.01276	2.37	93989	1200	466791	3492477	37.16
1960	45-49	0.00402	0.01995	3.02	92790	1852	460278	3025686	32.61
1960	50-54	0.00540	0.02665	2.58	90938	2423	448817	2565408	28.21
1960	55-59	0.00908	0.04436	2.48	88515	3927	432663	2116591	23.91
1960	60-64	0.01456	0.07055	2.8	84588	5968	409819	1683928	19.91
1960	65-69	0.02221	0.10552	2.65	78620	8296	373577	1274108	16.21
1960	70-74	0.03028	0.14038	2.4	70324	9872	325986	900531	12.81
1960	75-79	0.05353	0.23682	2.57	60452	14316	267418	574545	9.50
1960	80-84	0.10858	0.42649	2.49	46136	19676	181209	307127	6.66
1960	85-89	0.17621	0.59914	2.33	26460	15853	89968	125918	4.76
1960	90-94	0.27170	0.76118	2.11	10607	8074	29715	35950	3.39
1960	95-99	0.39308	0.87801	1.85	2533	2224	5658	6235	2.46
1960	100-104	0.52940	0.94303	1.59	309	291	550	577	1.87
1960	105-109	0.66264	0.97293	1.37	18	17	26	26	1.50
1960	110+	0.76178	1.00000	1.31	0	0	1	1	1.31
1961	0	0.02364	0.02316	0.12	100000	2316	97960	7501958	75.02
1961	1-4	0.00051	0.00202	1.14	97684	197	390171	7403998	75.80
1961	5-9	0.00063	0.00312	2.35	97487	304	486628	7013826	71.95
1961	10-14	0.00025	0.00125	3.07	97182	121	485679	6527199	67.16
1961	15-19	0.00088	0.00441	2.83	97061	428	484375	6041520	62.24
1961	20-24	0.00082	0.00409	1.87	96633	395	481927	5557144	57.51
1961	25-29	0.00097	0.00486	2.6	96238	467	480064	5075217	52.74
1961	30-34	0.00083	0.00412	3.17	95770	395	478129	4595153	47.98
1961	35-39	0.00118	0.00590	2.89	95375	562	475691	4117024	43.17
1961	40-44	0.00208	0.01037	3.46	94813	983	472556	3641334	38.41
1961	45-49	0.00321	0.01593	2.93	93830	1495	466053	3168778	33.77
1961	50-54	0.00588	0.02898	2.65	92335	2675	455388	2702725	29.27
1961	55-59	0.00576	0.02840	2.62	89659	2546	442228	2247337	25.07
1961	60-64	0.01380	0.06693	2.74	87113	5830	422361	1805108	20.72
1961	65-69	0.01825	0.08766	2.75	81283	7126	390416	1382748	17.01
1961	70-74	0.03475	0.16107	2.74	74157	11945	343746	992331	13.38
1961	75-79	0.05124	0.22936	2.72	62212	14269	278475	648585	10.43
1961	80-84	0.08907	0.36445	2.51	47943	17473	196174	370110	7.72
1961	85-89	0.13958	0.51174	2.39	30470	15593	111710	173935	5.71
1961	90-94	0.21128	0.66651	2.23	14877	9916	46933	62225	4.18
1961	95-99	0.30571	0.80018	2.02	4962	3970	12986	15292	3.08
1961	100-104	0.41931	0.89316	1.79	991	885	2112	2305	2.33
1961	105-109	0.54241	0.94612	1.56	106	100	185	194	1.83
1961	110+	0.64236	1.00000	1.56	6	6	9	9	1.56
1962	0	0.02741	0.02678	0.13	100000	2678	97670	7371266	73.71
1962	1-4	0.00096	0.00383	1.31	97322	373	388285	7273596	74.74
1962	5-9	0.00047	0.00234	2.41	96949	227	484158	6885312	71.02
1962	10-14	0.00079	0.00395	3.37	96722	382	482988	6401154	66.18
1962	15-19	0.00114	0.00567	2.57	96340	546	480373	5918166	61.43
1962	20-24	0.00090	0.00451	3.2	95794	432	478193	5437793	56.77
1962	25-29	0.00108	0.00537	2.68	95363	512	475625	4959600	52.01
1962	30-34	0.00133	0.00663	2.25	94851	629	472523	4483976	47.27
1962	35-39	0.00175	0.00872	2.7	94222	822	469221	4011453	42.57
1962	40-44	0.00221	0.01099	2.32	93401	1026	464255	3542232	37.93
1962	45-49	0.00349	0.01733	2.75	92374	1601	458264	3077977	33.32
1962	50-54	0.00601	0.02958	2.36	90774	2685	446790	2619713	28.86
1962	55-59	0.00737	0.03625	2.73	88089	3194	433180	2172923	24.67
1962	60-64	0.01205	0.05838	2.38	84895	4956	411472	1739743	20.49
1962	65-69	0.02454	0.11611	2.68	79939	9282	378182	1328271	16.62
1962	70-74	0.03669	0.16731	2.37	70657	11821	322162	950089	13.45
1962	75-79	0.04905	0.21892	2.55	58836	12880	262587	627927	10.67
1962	80-84	0.08363	0.34654	2.53	45955	15925	190435	365340	7.95
1962	85-89	0.13441	0.49871	2.41	30030	14976	111421	174904	5.82
1962	90-94	0.20810	0.66143	2.25	15054	9957	47846	63483	4.22
1962	95-99	0.30671	0.80199	2.03	5097	4088	13327	15637	3.07
1962	100-104	0.42619	0.89774	1.78	1009	906	2126	2310	2.29
1962	105-109	0.55532	0.95022	1.54	103	98	177	184	1.79
1962	110+	0.65950	1.00000	1.52	5	5	8	8	1.52
1963	0	0.02401	0.02352	0.12	100000	2352	97931	7450294	74.50
1963	1-4	0.00059	0.00236	1.48	97648	231	390013	7352363	75.29
1963	5-9	0.00063	0.00314	2.17	97418	306	486223	6962350	71.47
1963	10-14	0.00034	0.00171	1.34	97112	166	484954	6476126	66.69
1963	15-19	0.00082	0.00410	3.09	96946	397	483971	5991172	61.80
1963	20-24	0.00064	0.00321	1.88	96549	310	481781	5507201	57.04
1963	25-29	0.00050	0.00249	2.48	96239	240	480593	5025420	52.22
1963	30-34	0.00107	0.00533	2.57	96000	512	478755	4544827	47.34
1963	35-39	0.00195	0.00968	2.63	95488	925	475247	4066072	42.58
1963	40-44	0.00358	0.01772	2.55	94563	1676	468709	3590825	37.97
1963	45-49	0.00454	0.02245	2.74	92887	2085	459730	3122116	33.61
1963	50-54	0.00656	0.03241	3.15	90802	2942	448563	2662385	29.32
1963	55-59	0.00959	0.04699	2.83	87859	4128	430358	2213823	25.20
1963	60-64	0.01208	0.05884	2.79	83731	4927	407761	1783465	21.30
1963	65-69	0.01706	0.08229	2.85	78804	6485	380068	1375704	17.46
1963	70-74	0.02875	0.13446	2.6	72319	9724	338224	995636	13.77
1963	75-79	0.04921	0.21843	2.43	62595	13673	277858	657412	10.50
1963	80-84	0.09184	0.37289	2.48	48922	18243	198632	379554	7.76
1963	85-89	0.13650	0.50272	2.38	30680	15423	112989	180922	5.90
1963	90-94	0.19763	0.63970	2.24	15256	9760	49383	67933	4.45
1963	95-99	0.27670	0.76415	2.07	5497	4200	15180	18550	3.37
1963	100-104	0.37220	0.85974	1.87	1296	1115	2995	3370	2.60
1963	105-109	0.47876	0.92200	1.67	182	168	350	375	2.06
1963	110+	0.56724	1.00000	1.76	14	14	25	25	1.76
1964	0	0.02593	0.02536	0.13	100000	2536	97783	7396433	73.96
1964	1-4	0.00141	0.00562	1.71	97464	547	388601	7298650	74.89
1964	5-9	0.00074	0.00368	1.93	96917	357	483487	6910049	71.30
1964	10-14	0.00060	0.00299	3.08	96560	288	482246	6426562	66.56
1964	15-19	0.00117	0.00582	2.74	96271	560	480088	5944316	61.75
1964	20-24	0.00128	0.00638	2.74	95711	610	477175	5464228	57.09
1964	25-29	0.00151	0.00751	3.29	95101	714	474282	4987053	52.44
1964	30-34	0.00150	0.00745	1.7	94386	703	469610	4512771	47.81
1964	35-39	0.00197	0.00980	2.92	93683	918	466503	4043161	43.16
1964	40-44	0.00215	0.01072	3.35	92765	994	462184	3576658	38.56
1964	45-49	0.00304	0.01507	2.5	91771	1383	455392	3114474	33.94
1964	50-54	0.00597	0.02943	2.65	90388	2660	445678	2659082	29.42
1964	55-59	0.00690	0.03391	2.56	87728	2974	431391	2213404	25.23
1964	60-64	0.01124	0.05493	2.95	84753	4655	414218	1782014	21.03
1964	65-69	0.01721	0.08247	2.47	80098	6605	383781	1367795	17.08
1964	70-74	0.02928	0.13636	2.48	73493	10021	342237	984015	13.39
1964	75-79	0.05456	0.24033	2.52	63471	15254	279578	641777	10.11
1964	80-84	0.08400	0.34917	2.59	48217	16836	200430	362199	7.51
1964	85-89	0.15304	0.54871	2.42	31381	17219	112511	161769	5.16
1964	90-94	0.26025	0.74907	2.17	14162	10608	40761	49258	3.48
1964	95-99	0.40448	0.88837	1.84	3554	3157	7805	8497	2.39
1964	100-104	0.56781	0.95555	1.53	397	379	668	692	1.74
1964	105-109	0.71979	0.98093	1.29	18	17	24	24	1.39
1964	110+	0.82393	1.00000	1.21	0	0	0	0	1.21
1965	0	0.01643	0.01619	0.1	100000	1619	98541	7501026	75.01
1965	1-4	0.00112	0.00448	1.28	98381	440	392326	7402485	75.24
1965	5-9	0.00027	0.00133	1.51	97940	130	489248	7010159	71.58
1965	10-14	0.00011	0.00053	0.5	97810	52	488817	6520911	66.67
1965	15-19	0.00105	0.00524	2.66	97758	512	487592	6032094	61.70
1965	20-24	0.00063	0.00315	3.02	97246	306	485624	5544501	57.02
1965	25-29	0.00051	0.00257	2.88	96940	249	484170	5058877	52.19
1965	30-34	0.00091	0.00454	2.39	96690	439	482306	4574707	47.31
1965	35-39	0.00195	0.00971	3.06	96252	935	479450	4092401	42.52
1965	40-44	0.00297	0.01475	2.47	95317	1406	473032	3612952	37.90
1965	45-49	0.00398	0.01969	2.43	93911	1850	464809	3139920	33.43
1965	50-54	0.00509	0.02518	2.93	92062	2318	455513	2675111	29.06
1965	55-59	0.00826	0.04045	2.47	89744	3630	439535	2219598	24.73
1965	60-64	0.01072	0.05218	2.45	86113	4493	419101	1780062	20.67
1965	65-69	0.01798	0.08607	2.54	81620	7025	390796	1360962	16.67
1965	70-74	0.03315	0.15392	2.68	74595	11481	346308	970166	13.01
1965	75-79	0.05153	0.23025	2.69	63113	14532	282038	623858	9.88
1965	80-84	0.09764	0.39318	2.53	48581	19101	195632	341820	7.04
