PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WY,m,1959,0,0.03135,0.03052,0.13,100000,3052,97342,6663514,66.64
WY,m,1959,1,0.00193,0.00193,0.5,96948,187,96855,6566171,67.73
WY,m,1959,2,0.00170,0.00170,0.5,96761,165,96679,6469317,66.86
WY,m,1959,3,0.00074,0.00074,0.5,96596,71,96561,6372638,65.97
WY,m,1959,4,0.00099,0.00099,0.5,96525,96,96477,6276077,65.02
WY,m,1959,5,0.00098,0.00098,0.5,96430,94,96382,6179600,64.08
WY,m,1959,6,0.00126,0.00126,0.5,96335,121,96275,6083217,63.15
WY,m,1959,7,0.00132,0.00132,0.5,96214,127,96151,5986943,62.23
WY,m,1959,8,0.00056,0.00056,0.5,96087,54,96060,5890792,61.31
WY,m,1959,9,0.00000,0.00000,0.5,96033,0,96033,5794732,60.34
WY,m,1959,10,0.00056,0.00056,0.5,96033,54,96007,5698698,59.34
WY,m,1959,11,0.00085,0.00085,0.5,95980,82,95939,5602691,58.37
WY,m,1959,12,0.00117,0.00117,0.5,95898,113,95842,5506752,57.42
WY,m,1959,13,0.00000,0.00000,0.5,95786,0,95786,5410910,56.49
WY,m,1959,14,0.00182,0.00182,0.5,95786,175,95699,5315124,55.49
WY,m,1959,15,0.00104,0.00104,0.5,95611,100,95561,5219426,54.59
WY,m,1959,16,0.00248,0.00248,0.5,95512,237,95393,5123864,53.65
WY,m,1959,17,0.00211,0.00210,0.5,95275,200,95175,5028471,52.78
WY,m,1959,18,0.00363,0.00362,0.5,95074,344,94902,4933297,51.89
WY,m,1959,19,0.00110,0.00110,0.5,94730,104,94678,4838394,51.08
WY,m,1959,20,0.00321,0.00321,0.5,94626,303,94474,4743716,50.13
WY,m,1959,21,0.00652,0.00650,0.5,94322,613,94016,4649242,49.29
WY,m,1959,22,0.00105,0.00105,0.5,93710,98,93660,4555226,48.61
WY,m,1959,23,0.00248,0.00248,0.5,93611,232,93495,4461566,47.66
WY,m,1959,24,0.00249,0.00249,0.5,93379,233,93263,4368071,46.78
WY,m,1959,25,0.00197,0.00197,0.5,93146,184,93054,4274808,45.89
WY,m,1959,26,0.00095,0.00095,0.5,92963,88,92919,4181754,44.98
WY,m,1959,27,0.00273,0.00273,0.5,92874,253,92748,4088835,44.03
WY,m,1959,28,0.00185,0.00185,0.5,92621,171,92535,3996088,43.14
WY,m,1959,29,0.00231,0.00230,0.5,92450,213,92343,3903552,42.22
WY,m,1959,30,0.00212,0.00211,0.5,92237,195,92139,3811209,41.32
WY,m,1959,31,0.00211,0.00211,0.5,92042,194,91945,3719070,40.41
WY,m,1959,32,0.00305,0.00305,0.5,91848,280,91708,3627125,39.49
WY,m,1959,33,0.00250,0.00250,0.5,91568,229,91454,3535418,38.61
WY,m,1959,34,0.00326,0.00326,0.5,91339,298,91190,3443964,37.71
WY,m,1959,35,0.00299,0.00298,0.5,91042,272,90906,3352774,36.83
WY,m,1959,36,0.00219,0.00219,0.5,90770,199,90671,3261868,35.94
WY,m,1959,37,0.00349,0.00348,0.5,90571,315,90414,3171197,35.01
WY,m,1959,38,0.00268,0.00268,0.5,90256,242,90135,3080783,34.13
WY,m,1959,39,0.00328,0.00327,0.5,90014,294,89867,2990648,33.22
WY,m,1959,40,0.00409,0.00409,0.5,89720,367,89536,2900781,32.33
WY,m,1959,41,0.00408,0.00407,0.5,89353,364,89171,2811245,31.46
WY,m,1959,42,0.00379,0.00378,0.5,88990,337,88821,2722074,30.59
WY,m,1959,43,0.00569,0.00568,0.5,88653,503,88401,2633253,29.70
WY,m,1959,44,0.00379,0.00378,0.5,88150,333,87983,2544851,28.87
WY,m,1959,45,0.00281,0.00281,0.5,87816,247,87693,2456868,27.98
