TAS, Deaths (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0                42.00           73.00          115.00
  1971         1-4                 6.00           16.00           22.00
  1971         5-9                13.00           12.00           25.00
  1971        10-14                8.00           14.00           22.00
  1971        15-19               14.00           46.00           60.00
  1971        20-24               13.00           39.00           52.00
  1971        25-29               11.00           23.00           34.00
  1971        30-34                8.00           15.00           23.00
  1971        35-39               14.00           24.00           38.00
  1971        40-44               12.00           42.00           54.00
  1971        45-49               39.00           73.00          112.00
  1971        50-54               57.00          106.00          163.00
  1971        55-59               71.00          150.00          221.00
  1971        60-64              103.00          187.00          290.00
  1971        65-69              128.00          214.00          342.00
  1971        70-74              181.00          242.00          423.00
  1971        75-79              242.00          207.00          449.00
  1971        80-84              250.00          171.00          421.00
  1971        85-89              196.00           84.00          280.00
  1971        90-94               75.00           59.00          134.00
  1971        95-99               13.00            8.00           21.00
  1971       100-104               3.99            0.00            3.99
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0                49.00           80.00          129.00
  1972         1-4                20.00           19.00           39.00
  1972         5-9                16.00            9.00           25.00
  1972        10-14                9.00           10.00           19.00
  1972        15-19                9.00           44.00           53.00
  1972        20-24                7.00           29.00           36.00
  1972        25-29               10.00           27.00           37.00
  1972        30-34                6.00           26.00           32.00
  1972        35-39               14.00           16.00           30.00
  1972        40-44               27.00           35.00           62.00
  1972        45-49               36.00           52.00           88.00
  1972        50-54               48.00           91.00          139.00
  1972        55-59               80.00          144.00          224.00
  1972        60-64               98.00          205.00          303.00
  1972        65-69              117.00          242.00          359.00
  1972        70-74              187.00          243.00          430.00
  1972        75-79              210.00          200.00          410.00
  1972        80-84              235.00          191.00          426.00
  1972        85-89              166.00          105.00          271.00
  1972        90-94               80.00           30.00          110.00
  1972        95-99               19.00           16.00           35.00
  1972       100-104               3.99            3.00            6.99
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0                67.00           72.00          139.00
  1973         1-4                 7.00           15.00           22.00
  1973         5-9                13.00            9.00           22.00
  1973        10-14                7.00            8.00           15.00
  1973        15-19               15.00           31.00           46.00
  1973        20-24               15.00           31.00           46.00
  1973        25-29               12.00           22.00           34.00
  1973        30-34               11.00            8.00           19.00
  1973        35-39               14.00           34.00           48.00
  1973        40-44               21.00           40.00           61.00
  1973        45-49               32.00           72.00          104.00
  1973        50-54               49.00          111.00          160.00
  1973        55-59               85.00          171.00          256.00
  1973        60-64               93.00          199.00          292.00
  1973        65-69              112.00          258.00          370.00
  1973        70-74              195.00          243.00          438.00
  1973        75-79              224.00          217.00          441.00
  1973        80-84              248.00          183.00          431.00
  1973        85-89              179.00          135.00          314.00
  1973        90-94               69.00           36.00          105.00
  1973        95-99               15.00            2.00           17.00
  1973       100-104               2.00            2.00            4.00
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0                59.00           74.00          133.00
  1974         1-4                17.00           13.00           30.00
  1974         5-9                11.00           11.00           22.00
  1974        10-14                9.00           12.00           21.00
  1974        15-19               14.00           47.00           61.00
  1974        20-24                9.00           40.00           49.00
  1974        25-29               14.00           19.00           33.00
  1974        30-34               13.00           16.00           29.00
  1974        35-39               22.00           28.00           50.00
  1974        40-44               17.00           42.00           59.00
  1974        45-49               43.00           73.00          116.00
  1974        50-54               53.00          110.00          163.00
  1974        55-59               71.00          154.00          225.00
  1974        60-64              122.00          222.00          344.00
  1974        65-69              142.00          220.00          362.00
  1974        70-74              183.00          272.00          455.00
  1974        75-79              214.00          233.00          447.00
  1974        80-84              229.00          178.00          407.00
  1974        85-89              209.00          136.00          345.00
  1974        90-94               76.00           44.00          120.00
  1974        95-99               32.00           13.00           45.00
  1974       100-104               8.00            0.00            8.00
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0                58.00           74.00          132.00
  1975         1-4                13.00           15.00           28.00
  1975         5-9                 9.00           15.00           24.00
  1975        10-14               13.00            8.00           21.00
  1975        15-19               12.00           38.00           50.00
  1975        20-24                3.00           40.00           43.00
  1975        25-29                9.00           24.00           33.00
  1975        30-34               10.00           17.00           27.00
  1975        35-39               15.00           25.00           40.00
  1975        40-44               18.00           29.00           47.00
  1975        45-49               43.00           77.00          120.00
  1975        50-54               58.00           93.00          151.00
  1975        55-59               89.00          156.00          245.00
  1975        60-64               97.00          206.00          303.00
  1975        65-69              129.00          251.00          380.00
  1975        70-74              201.00          244.00          445.00
