TAS, Exposure to risk (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0              3953.24         4093.31         8046.54
  1971         1-4             15551.35        16226.13        31777.48
  1971         5-9             19812.88        20696.13        40509.00
  1971        10-14            20646.48        21600.51        42246.99
  1971        15-19            18064.15        18368.22        36432.38
  1971        20-24            15909.45        16417.56        32327.00
  1971        25-29            13434.44        14253.50        27687.94
  1971        30-34            11631.67        12251.48        23883.15
  1971        35-39            10698.31        11122.85        21821.16
  1971        40-44            11045.07        11782.78        22827.85
  1971        45-49            11401.99        11822.25        23224.24
  1971        50-54            10172.97        10176.84        20349.81
  1971        55-59             9475.46         9562.45        19037.91
  1971        60-64             7917.07         7667.35        15584.42
  1971        65-69             6153.31         5713.83        11867.14
  1971        70-74             4889.78         3771.52         8661.30
  1971        75-79             3720.86         2272.88         5993.74
  1971        80-84             2419.29         1385.99         3805.27
  1971        85-89              997.52          530.96         1528.48
  1971        90-94              286.66          124.14          410.80
  1971        95-99               58.63           30.16           88.79
  1971       100-104               6.30            1.21            7.51
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0              3899.76         3930.11         7829.86
  1972         1-4             15746.80        16440.71        32187.51
  1972         5-9             19135.58        19947.54        39083.12
  1972        10-14            20913.02        21841.05        42754.06
  1972        15-19            18492.03        18799.52        37291.55
  1972        20-24            15872.04        16311.77        32183.81
  1972        25-29            14263.12        15151.84        29414.96
  1972        30-34            11818.54        12538.21        24356.75
  1972        35-39            10780.56        11132.58        21913.13
  1972        40-44            10823.61        11484.51        22308.12
  1972        45-49            11206.58        11724.96        22931.53
  1972        50-54            10575.72        10530.73        21106.45
  1972        55-59             9548.26         9513.07        19061.33
  1972        60-64             8201.75         7979.37        16181.12
  1972        65-69             6395.61         5924.03        12319.64
  1972        70-74             4983.51         3948.38         8931.89
  1972        75-79             3745.31         2259.23         6004.54
  1972        80-84             2480.27         1383.82         3864.09
  1972        85-89             1028.29          566.12         1594.40
  1972        90-94              298.28          122.69          420.97
  1972        95-99               60.37           30.05           90.42
  1972       100-104               5.21            1.63            6.84
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0              3677.09         3776.87         7453.95
  1973         1-4             15767.09        16287.13        32054.22
  1973         5-9             18901.60        19758.06        38659.66
  1973        10-14            20881.00        21814.03        42695.03
  1973        15-19            18740.52        19119.05        37859.57
  1973        20-24            16097.06        16428.27        32525.34
  1973        25-29            14895.06        15595.21        30490.28
  1973        30-34            12060.05        12880.57        24940.63
  1973        35-39            10918.05        11330.17        22248.22
  1973        40-44            10659.55        11201.57        21861.12
  1973        45-49            11019.52        11588.45        22607.96
  1973        50-54            10917.68        10852.77        21770.46
  1973        55-59             9471.10         9318.03        18789.14
  1973        60-64             8453.11         8278.97        16732.08
  1973        65-69             6601.44         6145.57        12747.01
  1973        70-74             5161.73         4074.41         9236.14
  1973        75-79             3708.48         2277.24         5985.72
  1973        80-84             2512.95         1345.39         3858.33
  1973        85-89             1094.40          588.39         1682.78
  1973        90-94              312.89          139.97          452.85
  1973        95-99               62.59           28.91           91.50
  1973       100-104               5.44            0.72            6.15
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0              3524.23         3659.29         7183.52
  1974         1-4             15616.16        15990.60        31606.76
  1974         5-9             18897.58        19852.05        38749.63
  1974        10-14            20624.01        21605.04        42229.05
  1974        15-19            18996.53        19453.08        38449.62
  1974        20-24            16429.04        16695.32        33124.36
  1974        25-29            15526.12        16023.72        31549.84
  1974        30-34            12466.57        13280.60        25747.17
  1974        35-39            11123.60        11616.66        22740.26
  1974        40-44            10518.56        10963.59        21482.15
  1974        45-49            10872.55        11502.51        22375.06
  1974        50-54            11091.20        11034.65        22125.85
  1974        55-59             9513.09         9222.98        18736.07
  1974        60-64             8680.27         8537.06        17217.33
  1974        65-69             6845.48         6346.54        13192.02
  1974        70-74             5275.82         4198.87         9474.69
  1974        75-79             3742.58         2367.70         6110.28
  1974        80-84             2527.85         1310.04         3837.89
  1974        85-89             1168.88          583.79         1752.68
  1974        90-94              332.23          154.23          486.46
  1974        95-99               61.14           28.56           89.70
  1974       100-104               4.17            0.60            4.76
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0              3383.26         3489.01         6872.27
  1975         1-4             15256.15        15584.13        30840.28
  1975         5-9             19147.57        20098.11        39245.68
  1975        10-14            20046.00        21041.51        41087.51
  1975        15-19            19321.03        19745.06        39066.09
  1975        20-24            16743.52        17032.31        33775.82
  1975        25-29            16168.07        16618.29        32786.35
  1975        30-34            12832.07        13627.13        26459.19
  1975        35-39            11413.07        11947.64        23360.71
  1975        40-44            10308.05        10703.04        21011.10
  1975        45-49            10750.61        11400.98        22151.59
  1975        50-54            11157.58        11158.50        22316.08
  1975        55-59             9694.18         9371.16        19065.34
  1975        60-64             8831.71         8602.40        17434.11
  1975        65-69             7073.97         6580.02        13653.99
  1975        70-74             5340.28         4275.37         9615.65
  1975        75-79             3873.57         2500.70         6374.27
  1975        80-84             2584.07         1307.62         3891.69
  1975        85-89             1225.69          581.96         1807.64
  1975        90-94              354.97          158.78          513.75
  1975        95-99               59.26           24.29           83.54
  1975       100-104               2.27            1.54            3.81
  1975       105-109               0.00            0.00            0.00
  1975       110+                  0.00            0.00            0.00
  1976           0              3232.58         3427.04         6659.62
  1976         1-4             14636.57        14993.16        29629.73
  1976         5-9             19567.64        20383.11        39950.75
  1976        10-14            19384.01        20282.03        39666.04
  1976        15-19            19712.05        20208.11        39920.16
  1976        20-24            17012.08        17220.28        34232.36
  1976        25-29            16285.58        16754.21        33039.79
  1976        30-34            13552.14        14402.66        27954.80
  1976        35-39            11608.09        12199.16        23807.25
  1976        40-44            10273.08        10652.11        20925.19
  1976        45-49            10581.21        11165.15        21746.35
  1976        50-54            11026.68        11207.09        22233.77
  1976        55-59             9949.95         9575.30        19525.25
  1976        60-64             8983.86         8592.69        17576.55
  1976        65-69             7284.24         6812.32        14096.55
  1976        70-74             5491.15         4406.21         9897.36
  1976        75-79             3981.47         2615.98         6597.44
  1976        80-84             2647.29         1305.75         3953.04
  1976        85-89             1278.36          587.78         1866.13
  1976        90-94              370.27          159.69          529.96
  1976        95-99               64.37           27.09           91.46
  1976       100-104               3.83            1.32            5.15
  1976       105-109               0.00            0.00            0.00
  1976       110+                  0.00            0.00            0.00
  1977           0              3266.64         3439.72         6706.37
  1977         1-4             13925.61        14502.11        28427.72
  1977         5-9             19880.00        20483.14        40363.14
  1977        10-14            19012.49        19768.52        38781.01
  1977        15-19            19882.53        20530.09        40412.61
  1977        20-24            17187.54        17411.31        34598.85
  1977        25-29            16172.08        16690.65        32862.73
  1977        30-34            14509.59        15338.26        29847.85
  1977        35-39            11741.04        12395.15        24136.19
  1977        40-44            10432.59        10863.13        21295.71
  1977        45-49            10400.57        10939.52        21340.09
  1977        50-54            10770.09        11100.97        21871.07
  1977        55-59            10224.33         9782.39        20006.72
  1977        60-64             9083.66         8622.07        17705.73
  1977        65-69             7547.62         6949.48        14497.10
  1977        70-74             5668.47         4665.00        10333.47
  1977        75-79             4050.25         2699.29         6749.53
  1977        80-84             2698.75         1291.64         3990.38
  1977        85-89             1335.01          595.25         1930.26
  1977        90-94              379.07          158.97          538.04
  1977        95-99               69.70           33.39          103.09
  1977       100-104               4.65            0.93            5.57
  1977       105-109               0.00            0.00            0.00
  1977       110+                  0.00            0.00            0.00
  1978           0              3366.45         3435.58         6802.03
  1978         1-4             13468.10        14194.54        27662.64
  1978         5-9             19763.04        20266.55        40029.59
  1978        10-14            18915.99        19635.54        38551.53
  1978        15-19            19906.01        20488.06        40394.07
  1978        20-24            17456.56        17859.89        35316.45
  1978        25-29            16280.57        16842.23        33122.80
  1978        30-34            15131.09        15831.72        30962.81
  1978        35-39            12053.58        12755.67        24809.25
  1978        40-44            10578.12        11050.60        21628.72
  1978        45-49            10258.09        10772.17        21030.26
  1978        50-54            10592.56        10983.49        21576.05
  1978        55-59            10446.35        10034.00        20480.35
  1978        60-64             9064.04         8525.04        17589.08
  1978        65-69             7821.57         7129.63        14951.20
  1978        70-74             5827.87         4930.60        10758.47
  1978        75-79             4207.62         2796.89         7004.51
  1978        80-84             2741.24         1306.10         4047.34
  1978        85-89             1387.72          607.05         1994.77
  1978        90-94              402.27          158.12          560.39
  1978        95-99               77.58           38.74          116.32
  1978       100-104               4.43            0.76            5.19
  1978       105-109               0.00            0.00            0.00
  1978       110+                  0.00            0.00            0.00
  1979           0              3315.06         3451.53         6766.59
  1979         1-4             13286.10        13949.11        27235.21
  1979         5-9             19252.04        19796.06        39048.10
  1979        10-14            18951.00        19635.07        38586.08
  1979        15-19            19828.02        20333.51        40161.53
  1979        20-24            18007.08        18344.35        36351.43
  1979        25-29            16544.58        16980.84        33525.43
  1979        30-34            15677.07        16156.34        31833.41
  1979        35-39            12541.07        13149.59        25690.66
  1979        40-44            10760.59        11235.09        21995.68
  1979        45-49            10158.64        10552.04        20710.68
  1979        50-54            10427.13        10949.05        21376.18
  1979        55-59            10583.29        10204.76        20788.05
  1979        60-64             9117.58         8422.43        17540.02
  1979        65-69             8079.26         7325.00        15404.26
  1979        70-74             6025.57         5083.44        11109.01
  1979        75-79             4344.41         2941.26         7285.67
  1979        80-84             2769.25         1374.96         4144.21
  1979        85-89             1432.07          610.25         2042.31
  1979        90-94              435.49          162.89          598.39
  1979        95-99               85.44           43.75          129.19
  1979       100-104               5.48            0.48            5.95
  1979       105-109               0.00            0.00            0.00
  1979       110+                  0.00            0.00            0.00
  1980           0              3337.62         3505.92         6843.54
  1980         1-4             13226.08        13782.04        27008.12
  1980         5-9             18572.53        19206.06        37778.59
  1980        10-14            19150.02        19901.02        39051.04
  1980        15-19            19592.50        19921.52        39514.02
  1980        20-24            18480.08        18619.25        37099.33
  1980        25-29            16893.08        17224.22        34117.30
  1980        30-34            16227.60        16665.25        32892.85
  1980        35-39            13000.06        13397.14        26397.20
  1980        40-44            11066.14        11556.17        22622.31
  1980        45-49             9985.15        10312.04        20297.19
  1980        50-54            10352.61        10946.59        21299.19
  1980        55-59            10549.69        10300.18        20849.87
  1980        60-64             9306.28         8479.22        17785.50
  1980        65-69             8276.37         7460.54        15736.91
  1980        70-74             6324.15         5169.57        11493.72
  1980        75-79             4412.97         3073.82         7486.79
  1980        80-84             2828.23         1466.43         4294.66
