TAS, Death rates (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.010624        0.017834        0.014292
  1971         1-4             0.000386        0.000986        0.000692
  1971         5-9             0.000656        0.000580        0.000617
  1971        10-14            0.000387        0.000648        0.000521
  1971        15-19            0.000775        0.002504        0.001647
  1971        20-24            0.000817        0.002376        0.001609
  1971        25-29            0.000819        0.001614        0.001228
  1971        30-34            0.000688        0.001224        0.000963
  1971        35-39            0.001309        0.002158        0.001741
  1971        40-44            0.001086        0.003565        0.002366
  1971        45-49            0.003420        0.006175        0.004823
  1971        50-54            0.005603        0.010416        0.008010
  1971        55-59            0.007493        0.015686        0.011608
  1971        60-64            0.013010        0.024389        0.018608
  1971        65-69            0.020802        0.037453        0.028819
  1971        70-74            0.037016        0.064165        0.048838
  1971        75-79            0.065039        0.091074        0.074911
  1971        80-84            0.103336        0.123378        0.110636
  1971        85-89            0.196487        0.158205        0.183189
  1971        90-94            0.261632        0.475270        0.326191
  1971        95-99            0.221723        0.265223        0.236500
  1971       100-104           0.633166        0.000000        0.531174
  1971       105-109                 .              .              .
  1971       110+                    .              .              .
  1972           0             0.012565        0.020356        0.016475
  1972         1-4             0.001270        0.001156        0.001212
  1972         5-9             0.000836        0.000451        0.000640
  1972        10-14            0.000430        0.000458        0.000444
  1972        15-19            0.000487        0.002340        0.001421
  1972        20-24            0.000441        0.001778        0.001119
  1972        25-29            0.000701        0.001782        0.001258
  1972        30-34            0.000508        0.002074        0.001314
  1972        35-39            0.001299        0.001437        0.001369
  1972        40-44            0.002495        0.003048        0.002779
  1972        45-49            0.003212        0.004435        0.003838
  1972        50-54            0.004539        0.008641        0.006586
  1972        55-59            0.008378        0.015137        0.011752
  1972        60-64            0.011949        0.025691        0.018726
  1972        65-69            0.018294        0.040851        0.029140
  1972        70-74            0.037524        0.061544        0.048142
  1972        75-79            0.056070        0.088526        0.068282
  1972        80-84            0.094748        0.138024        0.110246
  1972        85-89            0.161433        0.185475        0.169970
  1972        90-94            0.268201        0.244519        0.261299
  1972        95-99            0.314700        0.532446        0.387061
  1972       100-104           0.766080        1.844262        1.022677
  1972       105-109                 .              .              .
  1972       110+                    .              .              .
  1973           0             0.018221        0.019063        0.018648
  1973         1-4             0.000444        0.000921        0.000686
  1973         5-9             0.000688        0.000456        0.000569
  1973        10-14            0.000335        0.000367        0.000351
  1973        15-19            0.000800        0.001621        0.001215
  1973        20-24            0.000932        0.001887        0.001414
  1973        25-29            0.000806        0.001411        0.001115
  1973        30-34            0.000912        0.000621        0.000762
  1973        35-39            0.001282        0.003001        0.002157
  1973        40-44            0.001970        0.003571        0.002790
  1973        45-49            0.002904        0.006213        0.004600
  1973        50-54            0.004488        0.010228        0.007349
  1973        55-59            0.008975        0.018352        0.013625
  1973        60-64            0.011002        0.024037        0.017452
  1973        65-69            0.016966        0.041981        0.029026
  1973        70-74            0.037778        0.059641        0.047422
  1973        75-79            0.060402        0.095291        0.073675
  1973        80-84            0.098689        0.136020        0.111706
  1973        85-89            0.163560        0.229442        0.186596
  1973        90-94            0.220528        0.257207        0.231865
  1973        95-99            0.239661        0.069172        0.185789
  1973       100-104           0.367872        2.797203        0.650230
  1973       105-109                 .              .              .
  1973       110+                    .              .              .
  1974           0             0.016741        0.020222        0.018515
  1974         1-4             0.001089        0.000813        0.000949
  1974         5-9             0.000582        0.000554        0.000568
  1974        10-14            0.000436        0.000555        0.000497
  1974        15-19            0.000737        0.002416        0.001586
  1974        20-24            0.000548        0.002396        0.001479
  1974        25-29            0.000902        0.001186        0.001046
  1974        30-34            0.001043        0.001205        0.001126
  1974        35-39            0.001978        0.002410        0.002199
  1974        40-44            0.001616        0.003831        0.002746
  1974        45-49            0.003955        0.006346        0.005184
  1974        50-54            0.004779        0.009969        0.007367
  1974        55-59            0.007463        0.016697        0.012009
  1974        60-64            0.014055        0.026004        0.019980
  1974        65-69            0.020744        0.034665        0.027441
  1974        70-74            0.034687        0.064779        0.048023
  1974        75-79            0.057180        0.098408        0.073155
  1974        80-84            0.090591        0.135874        0.106048
  1974        85-89            0.178803        0.232958        0.196842
  1974        90-94            0.228758        0.285285        0.246680
  1974        95-99            0.523432        0.455156        0.501691
  1974       100-104           1.918465        0.000000        1.678909
  1974       105-109                 .              .              .
  1974       110+                    .              .              .
  1975           0             0.017143        0.021209        0.019208
