"Notes"	"Age"	"Age Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"1991"	"1991"	29344
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"1992"	"1992"	29492
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"1993"	"1993"	29013
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"1994"	"1994"	28573
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"1995"	"1995"	28330
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"1991"	"1991"	31015
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"1992"	"1992"	31083
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"1993"	"1993"	30687
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"1994"	"1994"	30138
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"1995"	"1995"	29818
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"1991"	"1991"	5578
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"1992"	"1992"	5386
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"1993"	"1993"	5141
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"1994"	"1994"	4858
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"1995"	"1995"	4620
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"1991"	"1991"	5861
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"1992"	"1992"	5687
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"1993"	"1993"	5480
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"1994"	"1994"	5210
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"1995"	"1995"	4968
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"1991"	"1991"	32883
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"1992"	"1992"	32897
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"1993"	"1993"	33027
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"1994"	"1994"	33345
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"1995"	"1995"	34774
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"1991"	"1991"	34384
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"1992"	"1992"	34299
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"1993"	"1993"	34617
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"1994"	"1994"	34862
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"1995"	"1995"	36347
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"1991"	"1991"	16907
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"1992"	"1992"	16863
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"1993"	"1993"	16421
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"1994"	"1994"	16553
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"1995"	"1995"	16978
	"< 1 year"	"0"	"Arkansas"	"05"	"Male"	"M"	"1991"	"1991"	17578
	"< 1 year"	"0"	"Arkansas"	"05"	"Male"	"M"	"1992"	"1992"	17512
	"< 1 year"	"0"	"Arkansas"	"05"	"Male"	"M"	"1993"	"1993"	17157
	"< 1 year"	"0"	"Arkansas"	"05"	"Male"	"M"	"1994"	"1994"	17274
	"< 1 year"	"0"	"Arkansas"	"05"	"Male"	"M"	"1995"	"1995"	17761
	"< 1 year"	"0"	"California"	"06"	"Female"	"F"	"1991"	"1991"	292017
	"< 1 year"	"0"	"California"	"06"	"Female"	"F"	"1992"	"1992"	285083
	"< 1 year"	"0"	"California"	"06"	"Female"	"F"	"1993"	"1993"	274900
	"< 1 year"	"0"	"California"	"06"	"Female"	"F"	"1994"	"1994"	266831
	"< 1 year"	"0"	"California"	"06"	"Female"	"F"	"1995"	"1995"	257831
	"< 1 year"	"0"	"California"	"06"	"Male"	"M"	"1991"	"1991"	306051
	"< 1 year"	"0"	"California"	"06"	"Male"	"M"	"1992"	"1992"	298354
	"< 1 year"	"0"	"California"	"06"	"Male"	"M"	"1993"	"1993"	289336
	"< 1 year"	"0"	"California"	"06"	"Male"	"M"	"1994"	"1994"	280476
	"< 1 year"	"0"	"California"	"06"	"Male"	"M"	"1995"	"1995"	271061
	"< 1 year"	"0"	"Colorado"	"08"	"Female"	"F"	"1991"	"1991"	25967
	"< 1 year"	"0"	"Colorado"	"08"	"Female"	"F"	"1992"	"1992"	26262
	"< 1 year"	"0"	"Colorado"	"08"	"Female"	"F"	"1993"	"1993"	25871
	"< 1 year"	"0"	"Colorado"	"08"	"Female"	"F"	"1994"	"1994"	25740
	"< 1 year"	"0"	"Colorado"	"08"	"Female"	"F"	"1995"	"1995"	26051
	"< 1 year"	"0"	"Colorado"	"08"	"Male"	"M"	"1991"	"1991"	27141
	"< 1 year"	"0"	"Colorado"	"08"	"Male"	"M"	"1992"	"1992"	27391
	"< 1 year"	"0"	"Colorado"	"08"	"Male"	"M"	"1993"	"1993"	27150
	"< 1 year"	"0"	"Colorado"	"08"	"Male"	"M"	"1994"	"1994"	26990
	"< 1 year"	"0"	"Colorado"	"08"	"Male"	"M"	"1995"	"1995"	27325
	"< 1 year"	"0"	"Connecticut"	"09"	"Female"	"F"	"1991"	"1991"	23293
	"< 1 year"	"0"	"Connecticut"	"09"	"Female"	"F"	"1992"	"1992"	22928
	"< 1 year"	"0"	"Connecticut"	"09"	"Female"	"F"	"1993"	"1993"	22401
	"< 1 year"	"0"	"Connecticut"	"09"	"Female"	"F"	"1994"	"1994"	21893
	"< 1 year"	"0"	"Connecticut"	"09"	"Female"	"F"	"1995"	"1995"	21562
	"< 1 year"	"0"	"Connecticut"	"09"	"Male"	"M"	"1991"	"1991"	24419
	"< 1 year"	"0"	"Connecticut"	"09"	"Male"	"M"	"1992"	"1992"	23972
	"< 1 year"	"0"	"Connecticut"	"09"	"Male"	"M"	"1993"	"1993"	23529
	"< 1 year"	"0"	"Connecticut"	"09"	"Male"	"M"	"1994"	"1994"	22965
	"< 1 year"	"0"	"Connecticut"	"09"	"Male"	"M"	"1995"	"1995"	22592
	"< 1 year"	"0"	"Delaware"	"10"	"Female"	"F"	"1991"	"1991"	5271
	"< 1 year"	"0"	"Delaware"	"10"	"Female"	"F"	"1992"	"1992"	5154
	"< 1 year"	"0"	"Delaware"	"10"	"Female"	"F"	"1993"	"1993"	4982
	"< 1 year"	"0"	"Delaware"	"10"	"Female"	"F"	"1994"	"1994"	4908
	"< 1 year"	"0"	"Delaware"	"10"	"Female"	"F"	"1995"	"1995"	4815
	"< 1 year"	"0"	"Delaware"	"10"	"Male"	"M"	"1991"	"1991"	5510
	"< 1 year"	"0"	"Delaware"	"10"	"Male"	"M"	"1992"	"1992"	5389
	"< 1 year"	"0"	"Delaware"	"10"	"Male"	"M"	"1993"	"1993"	5245
	"< 1 year"	"0"	"Delaware"	"10"	"Male"	"M"	"1994"	"1994"	5181
	"< 1 year"	"0"	"Delaware"	"10"	"Male"	"M"	"1995"	"1995"	5086
	"< 1 year"	"0"	"District of Columbia"	"11"	"Female"	"F"	"1991"	"1991"	4358
	"< 1 year"	"0"	"District of Columbia"	"11"	"Female"	"F"	"1992"	"1992"	4122
	"< 1 year"	"0"	"District of Columbia"	"11"	"Female"	"F"	"1993"	"1993"	3987
	"< 1 year"	"0"	"District of Columbia"	"11"	"Female"	"F"	"1994"	"1994"	3840
	"< 1 year"	"0"	"District of Columbia"	"11"	"Female"	"F"	"1995"	"1995"	3544
	"< 1 year"	"0"	"District of Columbia"	"11"	"Male"	"M"	"1991"	"1991"	4617
	"< 1 year"	"0"	"District of Columbia"	"11"	"Male"	"M"	"1992"	"1992"	4375
	"< 1 year"	"0"	"District of Columbia"	"11"	"Male"	"M"	"1993"	"1993"	4230
