"Notes"	"States"	"States Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2011"	"2011"	28735
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2012"	"2012"	28794
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	28219
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	28610
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	29097
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2011"	"2011"	30445
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2012"	"2012"	29734
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2013"	"2013"	29194
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2014"	"2014"	29725
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2015"	"2015"	30026
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2011"	"2011"	29198
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2012"	"2012"	28754
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2013"	"2013"	28890
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2014"	"2014"	28394
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2015"	"2015"	28848
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2011"	"2011"	30170
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2012"	"2012"	30533
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2013"	"2013"	29735
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2014"	"2014"	29327
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2015"	"2015"	29855
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2011"	"2011"	29406
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2012"	"2012"	29171
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2013"	"2013"	28870
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2014"	"2014"	28850
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2015"	"2015"	28494
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2011"	"2011"	30585
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2012"	"2012"	30252
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2013"	"2013"	30552
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2014"	"2014"	29771
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2015"	"2015"	29491
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2011"	"2011"	30547
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2012"	"2012"	29366
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2013"	"2013"	29257
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2014"	"2014"	28873
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2015"	"2015"	28947
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2011"	"2011"	31649
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2012"	"2012"	30556
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2013"	"2013"	30203
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2014"	"2014"	30606
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2015"	"2015"	29899
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2011"	"2011"	30366
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2012"	"2012"	30573
