VIC, Deaths (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0               508.00          589.00         1097.00
  1971         1-4                90.00          103.00          193.00
  1971         5-9                51.00           85.00          136.00
  1971        10-14               38.00           56.00           94.00
  1971        15-19               91.00          220.00          311.00
  1971        20-24               95.00          292.00          387.00
  1971        25-29               73.00          158.00          231.00
  1971        30-34               88.00          171.00          259.00
  1971        35-39              116.00          217.00          333.00
  1971        40-44              224.00          365.00          589.00
  1971        45-49              391.00          708.00         1099.00
  1971        50-54              460.00          922.00         1382.00
  1971        55-59              638.00         1362.00         2000.00
  1971        60-64              932.00         1756.00         2688.00
  1971        65-69             1218.00         2221.00         3439.00
  1971        70-74             1755.00         2200.00         3955.00
  1971        75-79             2293.00         2210.00         4503.00
  1971        80-84             2284.00         1769.00         4053.00
  1971        85-89             1643.00          982.00         2625.00
  1971        90-94              707.00          311.00         1018.00
  1971        95-99              197.00           74.00          271.00
  1971       100-104              17.00            6.98           23.98
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0               449.00          589.00         1038.00
  1972         1-4                78.00          137.00          215.00
  1972         5-9                56.00           73.00          129.00
  1972        10-14               30.00           71.00          101.00
  1972        15-19               87.00          211.00          298.00
  1972        20-24               91.00          247.00          338.00
  1972        25-29               84.00          149.00          233.00
  1972        30-34               88.00          144.00          232.00
  1972        35-39              101.00          217.00          318.00
  1972        40-44              209.00          383.00          592.00
  1972        45-49              345.00          640.00          985.00
  1972        50-54              484.00          868.00         1352.00
  1972        55-59              695.00         1322.00         2017.00
  1972        60-64              922.00         1713.00         2635.00
  1972        65-69             1205.00         2091.00         3296.00
  1972        70-74             1668.00         2277.00         3945.00
  1972        75-79             2156.00         2107.00         4263.00
  1972        80-84             2346.00         1729.00         4075.00
  1972        85-89             1593.00          910.00         2503.00
  1972        90-94              773.00          331.00         1104.00
  1972        95-99              171.00           68.00          239.00
  1972       100-104              18.74            7.00           25.74
  1972       105-109               0.26            0.00            0.26
  1972       110+                  0.00            0.00            0.00
  1973           0               429.00          525.00          954.00
  1973         1-4                90.00          121.00          211.00
  1973         5-9                52.00           86.00          138.00
  1973        10-14               47.00           70.00          117.00
  1973        15-19               76.00          201.00          277.00
  1973        20-24               79.00          241.00          320.00
  1973        25-29               75.00          175.00          250.00
  1973        30-34               85.00          145.00          230.00
  1973        35-39              115.00          210.00          325.00
  1973        40-44              191.00          347.00          538.00
  1973        45-49              350.00          703.00         1053.00
  1973        50-54              492.00          899.00         1391.00
  1973        55-59              659.00         1260.00         1919.00
  1973        60-64              934.00         1729.00         2663.00
  1973        65-69             1206.00         2167.00         3373.00
  1973        70-74             1752.00         2349.00         4101.00
  1973        75-79             2166.00         2189.00         4355.00
  1973        80-84             2462.00         1803.00         4265.00
  1973        85-89             1810.00          962.00         2772.00
  1973        90-94              833.00          324.00         1157.00
  1973        95-99              217.00           77.00          294.00
  1973       100-104              22.34           11.98           34.32
  1973       105-109               0.68            0.00            0.68
  1973       110+                  0.00            0.00            0.00
  1974           0               407.00          579.00          986.00
  1974         1-4                92.00          116.00          208.00
  1974         5-9                50.00           70.00          120.00
  1974        10-14               45.00           78.00          123.00
  1974        15-19               65.00          245.00          310.00
  1974        20-24               70.00          240.00          310.00
  1974        25-29               83.00          187.00          270.00
  1974        30-34               69.00          168.00          237.00
  1974        35-39              105.00          203.00          308.00
  1974        40-44              170.00          312.00          482.00
  1974        45-49              343.00          616.00          959.00
  1974        50-54              523.00          997.00         1520.00
  1974        55-59              720.00         1251.00         1971.00
  1974        60-64              920.00         1839.00         2759.00
  1974        65-69             1314.00         2212.00         3526.00
  1974        70-74             1729.00         2380.00         4109.00
  1974        75-79             2129.00         2192.00         4321.00
  1974        80-84             2505.00         1726.00         4231.00
  1974        85-89             1759.00          999.00         2758.00
  1974        90-94              875.00          303.00         1178.00
  1974        95-99              186.00           64.00          250.00
  1974       100-104              26.15            8.00           34.15
  1974       105-109               0.84            0.00            0.84
  1974       110+                  0.00            0.00            0.00
  1975           0               331.00          473.00          804.00
  1975         1-4                72.00           99.00          171.00
  1975         5-9                36.00           57.00           93.00
  1975        10-14               28.00           67.00           95.00
  1975        15-19               89.00          231.00          320.00
  1975        20-24               74.00          244.00          318.00
  1975        25-29               67.00          172.00          239.00
  1975        30-34               86.00          146.00          232.00
  1975        35-39              109.00          196.00          305.00
  1975        40-44              175.00          330.00          505.00
  1975        45-49              322.00          597.00          919.00
  1975        50-54              491.00          957.00         1448.00
  1975        55-59              605.00         1233.00         1838.00
  1975        60-64              995.00         1749.00         2744.00
  1975        65-69             1208.00         2132.00         3340.00
  1975        70-74             1645.00         2350.00         3995.00
  1975        75-79             2073.00         1999.00         4072.00
  1975        80-84             2296.00         1638.00         3934.00
  1975        85-89             1779.00         1037.00         2816.00
  1975        90-94              770.00          299.00         1069.00
  1975        95-99              205.00           80.00          285.00
  1975       100-104              26.21            9.01           35.22
  1975       105-109               0.80            0.00            0.80
  1975       110+                  0.00            0.00            0.00
  1976           0               320.00          367.00          687.00
  1976         1-4                59.00           92.00          151.00
  1976         5-9                44.00           58.00          102.00
  1976        10-14               32.00           59.00           91.00
  1976        15-19               76.00          219.00          295.00
  1976        20-24               73.00          241.00          314.00
  1976        25-29               71.00          179.00          250.00
  1976        30-34               86.00          154.00          240.00
  1976        35-39              114.00          210.00          324.00
  1976        40-44              173.00          329.00          502.00
  1976        45-49              297.00          547.00          844.00
  1976        50-54              521.00          951.00         1472.00
  1976        55-59              618.00         1283.00         1901.00
  1976        60-64              935.00         1794.00         2729.00
  1976        65-69             1324.00         2271.00         3595.00
  1976        70-74             1593.00         2425.00         4018.00
  1976        75-79             2127.00         2353.00         4480.00
  1976        80-84             2439.00         1756.00         4195.00
  1976        85-89             1975.00         1080.00         3055.00
  1976        90-94              899.00          373.00         1272.00
  1976        95-99              262.00           72.00          334.00
  1976       100-104              27.24            4.01           31.25
  1976       105-109               0.75            0.00            0.75
  1976       110+                  0.00            0.00            0.00
  1977           0               255.00          393.00          648.00
  1977         1-4                54.00           79.00          133.00
  1977         5-9                50.00           63.00          113.00
  1977        10-14               36.00           64.00          100.00
  1977        15-19               83.00          227.00          310.00
  1977        20-24               70.00          284.00          354.00
  1977        25-29               79.00          183.00          262.00
  1977        30-34              104.00          178.00          282.00
  1977        35-39              107.00          203.00          310.00
  1977        40-44              145.00          307.00          452.00
  1977        45-49              292.00          594.00          886.00
  1977        50-54              470.00          954.00         1424.00
  1977        55-59              640.00         1191.00         1831.00
  1977        60-64              858.00         1677.00         2535.00
  1977        65-69             1191.00         2131.00         3322.00
  1977        70-74             1549.00         2375.00         3924.00
  1977        75-79             2121.00         2184.00         4305.00
  1977        80-84             2238.00         1635.00         3873.00
  1977        85-89             1863.00         1028.00         2891.00
  1977        90-94              827.00          318.00         1145.00
  1977        95-99              245.00           76.00          321.00
  1977       100-104              32.67            9.99           42.66
  1977       105-109               1.31            0.00            1.31
  1977       110+                  0.00            0.00            0.00
  1978           0               270.00          340.00          610.00
  1978         1-4                49.00           83.00          132.00
  1978         5-9                36.00           66.00          102.00
  1978        10-14               41.00           49.00           90.00
  1978        15-19               82.00          225.00          307.00
  1978        20-24               74.00          290.00          364.00
  1978        25-29               79.00          191.00          270.00
  1978        30-34              100.00          151.00          251.00
  1978        35-39              104.00          182.00          286.00
  1978        40-44              145.00          300.00          445.00
  1978        45-49              262.00          492.00          754.00
  1978        50-54              430.00          878.00         1308.00
  1978        55-59              629.00         1284.00         1913.00
  1978        60-64              892.00         1654.00         2546.00
  1978        65-69             1214.00         2120.00         3334.00
