WA, Deaths (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0               199.00          266.05          465.05
  1971         1-4                42.00           49.01           91.01
  1971         5-9                15.00           27.01           42.01
  1971        10-14                9.00           26.00           35.00
  1971        15-19               33.00           58.00           91.00
  1971        20-24               30.00           93.01          123.01
  1971        25-29               18.00           72.01           90.01
  1971        30-34               26.00           61.00           87.00
  1971        35-39               40.00           77.00          117.00
  1971        40-44               48.00          104.05          152.05
  1971        45-49              100.00          157.03          257.03
  1971        50-54              110.00          195.04          305.04
  1971        55-59              180.00          334.06          514.06
  1971        60-64              207.00          474.09          681.09
  1971        65-69              315.00          607.14          922.14
  1971        70-74              395.00          610.14         1005.14
  1971        75-79              459.00          525.10          984.10
  1971        80-84              443.00          447.11          890.11
  1971        85-89              313.00          245.03          558.03
  1971        90-94              201.00           77.01          278.01
  1971        95-99               58.00           26.01           84.01
  1971       100-104              11.00            0.00           11.00
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0               140.00          206.09          346.09
  1972         1-4                46.00           42.03           88.03
  1972         5-9                13.00           24.01           37.01
  1972        10-14                9.00           25.01           34.01
  1972        15-19               27.00           76.04          103.04
  1972        20-24               23.00           88.02          111.02
  1972        25-29               17.00           61.05           78.05
  1972        30-34               24.00           61.02           85.02
  1972        35-39               43.00           68.05          111.05
  1972        40-44               47.00           89.04          136.04
  1972        45-49               86.00          157.08          243.08
  1972        50-54              114.00          187.07          301.07
  1972        55-59              155.00          320.17          475.17
  1972        60-64              225.00          463.22          688.22
  1972        65-69              287.00          577.26          864.26
  1972        70-74              368.00          627.27          995.27
  1972        75-79              453.00          482.22          935.22
  1972        80-84              462.00          406.17          868.17
  1972        85-89              360.00          237.12          597.12
  1972        90-94              164.00           85.04          249.04
  1972        95-99               46.00           27.01           73.01
  1972       100-104               7.01            2.01            9.02
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0               155.15          243.16          398.31
  1973         1-4                36.04           48.02           84.06
  1973         5-9                13.01           16.00           29.01
  1973        10-14               13.01           19.01           32.02
  1973        15-19               31.04           89.06          120.10
  1973        20-24               13.02           92.06          105.08
  1973        25-29               18.03           66.04           84.07
  1973        30-34               19.01           61.03           80.04
  1973        35-39               40.05           69.05          109.10
  1973        40-44               49.06          107.07          156.13
  1973        45-49               89.07          175.11          264.18
  1973        50-54              127.10          230.15          357.25
  1973        55-59              181.18          298.18          479.36
  1973        60-64              259.24          471.29          730.53
  1973        65-69              282.27          604.40          886.67
  1973        70-74              389.35          680.43         1069.78
  1973        75-79              459.42          525.34          984.76
  1973        80-84              460.42          450.30          910.72
  1973        85-89              358.33          222.15          580.48
  1973        90-94              189.18           86.06          275.24
  1973        95-99               47.04           18.02           65.06
  1973       100-104              11.03            0.00           11.03
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0               152.00          174.00          326.00
  1974         1-4                35.00           51.00           86.00
  1974         5-9                17.00           22.00           39.00
  1974        10-14                9.00           18.00           27.00
  1974        15-19               27.00           82.00          109.00
  1974        20-24               23.00           89.00          112.00
  1974        25-29               17.00           53.00           70.00
  1974        30-34               26.00           56.00           82.00
  1974        35-39               41.00           74.00          115.00
  1974        40-44               73.00           94.00          167.00
  1974        45-49               87.00          189.00          276.00
  1974        50-54              123.00          237.00          360.00
  1974        55-59              159.00          321.00          480.00
  1974        60-64              229.00          461.00          690.00
  1974        65-69              290.00          617.00          907.00
  1974        70-74              404.00          676.00         1080.00
  1974        75-79              437.00          551.00          988.00
  1974        80-84              456.00          387.00          843.00
  1974        85-89              354.00          258.00          612.00
  1974        90-94              192.00           98.00          290.00
  1974        95-99               48.00           18.00           66.00
  1974       100-104               6.98            4.00           10.98
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0               117.00          154.00          271.00
  1975         1-4                26.00           54.00           80.00
  1975         5-9                16.00           22.00           38.00
  1975        10-14                7.00           27.00           34.00
  1975        15-19               28.00           80.00          108.00
  1975        20-24               24.00           87.00          111.00
  1975        25-29               26.00           67.00           93.00
  1975        30-34               26.00           68.00           94.00
  1975        35-39               40.00           86.00          126.00
  1975        40-44               40.00          109.00          149.00
  1975        45-49               72.00          178.00          250.00
  1975        50-54              116.00          260.00          376.00
  1975        55-59              150.00          302.00          452.00
  1975        60-64              231.00          484.00          715.00
  1975        65-69              356.00          619.00          975.00
  1975        70-74              377.00          742.00         1119.00
  1975        75-79              477.00          559.00         1036.00
  1975        80-84              498.00          427.00          925.00
  1975        85-89              371.00          258.00          629.00
  1975        90-94              187.00           84.00          271.00
  1975        95-99               70.00           27.00           97.00
  1975       100-104               4.00            0.00            4.00
  1975       105-109               0.00            0.00            0.00
  1975       110+                  0.00            0.00            0.00
  1976           0               121.00          152.10          273.10
  1976         1-4                25.00           43.04           68.04
  1976         5-9                12.00           18.00           30.00
  1976        10-14               12.00           20.01           32.01
  1976        15-19               26.00           78.05          104.05
  1976        20-24               20.00           88.07          108.07
  1976        25-29               31.00           68.04           99.04
  1976        30-34               27.00           81.06          108.06
  1976        35-39               24.00           56.04           80.04
  1976        40-44               46.00           80.05          126.05
  1976        45-49               83.00          162.10          245.10
  1976        50-54              112.00          242.18          354.18
  1976        55-59              136.00          315.21          451.21
  1976        60-64              218.00          450.31          668.31
  1976        65-69              316.00          600.40          916.40
  1976        70-74              394.00          660.44         1054.44
  1976        75-79              505.00          635.42         1140.42
  1976        80-84              473.00          377.24          850.24
  1976        85-89              408.00          238.16          646.16
  1976        90-94              195.00           90.06          285.06
  1976        95-99               57.00           21.03           78.03
  1976       100-104               7.00            1.00            8.00
  1976       105-109               0.00            0.00            0.00
  1976       110+                  0.00            0.00            0.00
  1977           0               104.10          148.00          252.10
  1977         1-4                26.01           41.00           67.01
  1977         5-9                13.00           24.00           37.00
  1977        10-14               14.02           19.00           33.02
  1977        15-19               35.02           66.00          101.02
  1977        20-24               35.03           93.00          128.03
  1977        25-29               22.02           76.00           98.02
  1977        30-34               16.02           70.00           86.02
  1977        35-39               42.03           84.00          126.03
  1977        40-44               62.06           92.00          154.06
  1977        45-49               97.09          168.00          265.09
  1977        50-54              123.12          246.00          369.12
  1977        55-59              165.15          324.00          489.15
  1977        60-64              221.20          463.00          684.20
  1977        65-69              304.26          617.00          921.26
  1977        70-74              392.35          677.00         1069.35
  1977        75-79              511.45          621.00         1132.45
  1977        80-84              507.47          372.00          879.47
  1977        85-89              390.35          216.00          606.35
  1977        90-94              204.18           84.00          288.18
  1977        95-99               56.06           10.00           66.06
  1977       100-104              15.25            1.00           16.25
  1977       105-109               0.76            0.00            0.76
  1977       110+                  0.00            0.00            0.00
  1978           0               106.00          125.06          231.06
  1978         1-4                33.00           40.03           73.03
  1978         5-9                18.00           17.01           35.01
  1978        10-14               13.00           18.01           31.01
  1978        15-19               19.00           84.02          103.02
  1978        20-24               27.00          100.05          127.05
  1978        25-29               19.00           68.03           87.03
  1978        30-34               34.00           60.05           94.05
  1978        35-39               40.00           66.03          106.03
  1978        40-44               69.00           83.03          152.03
  1978        45-49               95.00          145.08          240.08
  1978        50-54              121.00          202.10          323.10
  1978        55-59              147.00          329.15          476.15
  1978        60-64              221.00          412.17          633.17
  1978        65-69              309.00          608.27          917.27
  1978        70-74              419.00          679.31         1098.31
  1978        75-79              475.00          686.31         1161.31
  1978        80-84              469.00          387.18          856.18
  1978        85-89              383.00          243.10          626.10
  1978        90-94              192.00           84.03          276.03
  1978        95-99               90.00           19.02          109.02
  1978       100-104               9.01            4.01           13.02
  1978       105-109               0.00            0.00            0.00
  1978       110+                  0.00            0.00            0.00
  1979           0                95.00          154.00          249.00
  1979         1-4                29.00           22.00           51.00
  1979         5-9                 7.00           14.00           21.00
  1979        10-14                7.00           15.00           22.00
  1979        15-19               26.00           68.00           94.00
  1979        20-24               26.00           87.00          113.00
  1979        25-29               15.00           73.00           88.00
  1979        30-34               24.00           72.00           96.00
  1979        35-39               28.00           74.00          102.00
  1979        40-44               59.00           83.00          142.00
  1979        45-49               74.00          162.00          236.00
  1979        50-54              124.00          248.00          372.00
  1979        55-59              163.00          307.00          470.00
  1979        60-64              224.00          399.00          623.00
  1979        65-69              327.00          606.00          933.00
  1979        70-74              416.00          695.00         1111.00
  1979        75-79              506.00          732.00         1238.00
  1979        80-84              494.00          411.00          905.00
  1979        85-89              428.00          253.00          681.00
  1979        90-94              250.00          104.00          354.00
  1979        95-99               77.00           14.00           91.00
  1979       100-104               8.98            2.00           10.98
  1979       105-109               0.00            0.00            0.00
  1979       110+                  0.00            0.00            0.00
  1980           0                97.08          144.09          241.17
  1980         1-4                25.02           24.01           49.03
  1980         5-9                 7.00           23.00           30.00
  1980        10-14               19.02           25.02           44.04
  1980        15-19               26.01           67.05           93.06
  1980        20-24               25.01           84.06          109.07
  1980        25-29               19.01           66.05           85.06
  1980        30-34               27.03           73.05          100.08
  1980        35-39               39.03           82.06          121.09
  1980        40-44               55.06           97.06          152.12
  1980        45-49               61.05          172.10          233.15
  1980        50-54              108.08          218.15          326.23
  1980        55-59              151.13          313.19          464.32
  1980        60-64              226.19          381.25          607.44
  1980        65-69              309.28          580.38          889.66
  1980        70-74              404.34          706.47         1110.81
  1980        75-79              535.46          734.47         1269.93
  1980        80-84              552.47          458.29         1010.76
  1980        85-89              454.40          272.18          726.58
  1980        90-94              255.24          106.07          361.31
  1980        95-99               82.07           25.00          107.07
  1980       100-104               5.01            3.00            8.01
  1980       105-109               0.00            0.00            0.00
  1980       110+                  0.00            0.00            0.00
  1981           0                81.07          113.02          194.09
  1981         1-4                13.01           24.01           37.02
  1981         5-9                10.01           26.00           36.01
  1981        10-14               10.02           14.00           24.02
  1981        15-19               23.02           62.04           85.06
  1981        20-24               17.01           93.04          110.05
  1981        25-29               25.03           72.03           97.06
  1981        30-34               30.02           65.02           95.04
  1981        35-39               26.01           73.01           99.02
  1981        40-44               43.05          113.02          156.07
  1981        45-49               61.05          135.02          196.07
  1981        50-54              103.09          229.04          332.13
