WA, Death rates (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.018096        0.022971        0.020597
  1971         1-4             0.001005        0.001115        0.001061
  1971         5-9             0.000290        0.000496        0.000396
  1971        10-14            0.000173        0.000474        0.000328
  1971        15-19            0.000696        0.001174        0.000940
  1971        20-24            0.000655        0.001869        0.001287
  1971        25-29            0.000464        0.001617        0.001080
  1971        30-34            0.000775        0.001651        0.001234
  1971        35-39            0.001326        0.002345        0.001857
  1971        40-44            0.001607        0.003111        0.002401
  1971        45-49            0.003549        0.005071        0.004345
  1971        50-54            0.004628        0.008011        0.006340
  1971        55-59            0.007962        0.014814        0.011384
  1971        60-64            0.010523        0.024580        0.017483
  1971        65-69            0.019898        0.038662        0.029243
  1971        70-74            0.033372        0.060422        0.045825
  1971        75-79            0.058278        0.098349        0.074468
  1971        80-84            0.087641        0.151992        0.111314
  1971        85-89            0.139761        0.219509        0.166288
  1971        90-94            0.270089        0.273394        0.270996
  1971        95-99            0.404741        0.500706        0.430273
  1971       100-104           0.836290        0.000000        0.790325
  1971       105-109                 .              .              .
  1971       110+                    .              .              .
  1972           0             0.013077        0.018169        0.015697
  1972         1-4             0.001066        0.000925        0.000994
  1972         5-9             0.000254        0.000444        0.000351
  1972        10-14            0.000170        0.000444        0.000311
  1972        15-19            0.000551        0.001492        0.001031
  1972        20-24            0.000496        0.001780        0.001159
  1972        25-29            0.000405        0.001276        0.000869
  1972        30-34            0.000690        0.001584        0.001160
  1972        35-39            0.001385        0.002034        0.001721
  1972        40-44            0.001569        0.002663        0.002146
  1972        45-49            0.003012        0.004950        0.004032
  1972        50-54            0.004515        0.007169        0.005864
  1972        55-59            0.006829        0.014328        0.010549
  1972        60-64            0.011057        0.023439        0.017157
  1972        65-69            0.017274        0.035909        0.026438
  1972        70-74            0.029107        0.056782        0.042012
  1972        75-79            0.056283        0.088765        0.069373
  1972        80-84            0.087989        0.137546        0.105828
  1972        85-89            0.153811        0.211303        0.172443
  1972        90-94            0.212158        0.296686        0.235023
  1972        95-99            0.329116        0.551412        0.386805
  1972       100-104           0.537989        1.288462        0.618232
  1972       105-109                 .              .              .
  1972       110+                    .              .              .
  1973           0             0.015398        0.022871        0.019234
  1973         1-4             0.000822        0.001038        0.000933
  1973         5-9             0.000253        0.000294        0.000274
  1973        10-14            0.000242        0.000332        0.000288
  1973        15-19            0.000618        0.001705        0.001173
  1973        20-24            0.000275        0.001847        0.001081
  1973        25-29            0.000406        0.001316        0.000889
  1973        30-34            0.000529        0.001531        0.001056
  1973        35-39            0.001243        0.001994        0.001632
  1973        40-44            0.001643        0.003226        0.002477
  1973        45-49            0.003073        0.005422        0.004311
  1973        50-54            0.004803        0.008298        0.006592
  1973        55-59            0.008038        0.013657        0.010803
  1973        60-64            0.012402        0.023210        0.017727
  1973        65-69            0.016310        0.037019        0.026363
  1973        70-74            0.029249        0.057890        0.042679
  1973        75-79            0.055635        0.093045        0.070826
  1973        80-84            0.084763        0.151259        0.108305
  1973        85-89            0.145964        0.194507        0.161377
  1973        90-94            0.229394        0.295441        0.246633
  1973        95-99            0.333345        0.381268        0.345369
  1973       100-104           0.899429        0.000000        0.768195
  1973       105-109                 .              .              .
  1973       110+                    .              .              .
  1974           0             0.015325        0.016767        0.016062
  1974         1-4             0.000796        0.001100        0.000952
  1974         5-9             0.000324        0.000394        0.000360
  1974        10-14            0.000167        0.000312        0.000242
  1974        15-19            0.000525        0.001528        0.001037
  1974        20-24            0.000470        0.001741        0.001119
  1974        25-29            0.000363        0.001015        0.000707
  1974        30-34            0.000690        0.001345        0.001034
  1974        35-39            0.001219        0.002038        0.001644
  1974        40-44            0.002454        0.002845        0.002660
  1974        45-49            0.002936        0.005755        0.004418
  1974        50-54            0.004508        0.008202        0.006408
  1974        55-59            0.007017        0.014709        0.010791
  1974        60-64            0.010599        0.022065        0.016236
  1974        65-69            0.016222        0.037204        0.026319
  1974        70-74            0.029295        0.055446        0.041566
  1974        75-79            0.049740        0.090580        0.066448
  1974        80-84            0.081254        0.128111        0.097650
  1974        85-89            0.136702        0.220788        0.162848
  1974        90-94            0.223213        0.334949        0.251573
  1974        95-99            0.306399        0.345059        0.316057
  1974       100-104           0.679098        2.657807        0.931825
  1974       105-109                 .              .              .
  1974       110+                    .              .              .
  1975           0             0.011886        0.014928        0.013443
  1975         1-4             0.000600        0.001182        0.000899
  1975         5-9             0.000296        0.000382        0.000340
  1975        10-14            0.000130        0.000470        0.000306
  1975        15-19            0.000532        0.001451        0.001003
  1975        20-24            0.000473        0.001648        0.001072
  1975        25-29            0.000528        0.001241        0.000901
  1975        30-34            0.000665        0.001574        0.001142
  1975        35-39            0.001147        0.002276        0.001734
  1975        40-44            0.001339        0.003311        0.002373
  1975        45-49            0.002383        0.005346        0.003937
  1975        50-54            0.004184        0.008761        0.006550
  1975        55-59            0.006471        0.013343        0.009866
  1975        60-64            0.010338        0.022870        0.016434
  1975        65-69            0.019376        0.036497        0.027594
  1975        70-74            0.026757        0.059478        0.042123
  1975        75-79            0.049850        0.083027        0.063553
  1975        80-84            0.086271        0.140590        0.104998
  1975        85-89            0.135660        0.214882        0.159830
  1975        90-94            0.210928        0.276272        0.227615
  1975        95-99            0.413773        0.541625        0.442872
  1975       100-104           0.296260        0.000000        0.287219
  1975       105-109                 .              .              .
  1975       110+                    .              .              .
  1976           0             0.012170        0.014484        0.013359
  1976         1-4             0.000594        0.000974        0.000789
  1976         5-9             0.000214        0.000302        0.000259
  1976        10-14            0.000223        0.000349        0.000288
  1976        15-19            0.000482        0.001380        0.000942
  1976        20-24            0.000384        0.001624        0.001016
  1976        25-29            0.000610        0.001246        0.000940
  1976        30-34            0.000651        0.001764        0.001236
  1976        35-39            0.000667        0.001440        0.001068
  1976        40-44            0.001501        0.002397        0.001968
  1976        45-49            0.002739        0.004875        0.003857
  1976        50-54            0.003985        0.007946        0.006045
  1976        55-59            0.005654        0.013281        0.009442
  1976        60-64            0.009595        0.021202        0.015202
  1976        65-69            0.016619        0.034552        0.025182
  1976        70-74            0.027134        0.051501        0.038562
  1976        75-79            0.049636        0.086513        0.065097
  1976        80-84            0.080230        0.122930        0.094847
  1976        85-89            0.141636        0.191189        0.156595
  1976        90-94            0.211538        0.280936        0.229445
  1976        95-99            0.325061        0.495991        0.358344
  1976       100-104           0.381714        0.723764        0.405680
  1976       105-109           0.000000              .        0.000000
  1976       110+                    .              .              .
  1977           0             0.010345        0.013673        0.012070
  1977         1-4             0.000633        0.000952        0.000796
  1977         5-9             0.000226        0.000395        0.000313
  1977        10-14            0.000259        0.000331        0.000296
  1977        15-19            0.000636        0.001141        0.000895
  1977        20-24            0.000660        0.001683        0.001182
  1977        25-29            0.000425        0.001387        0.000920
  1977        30-34            0.000358        0.001413        0.000912
  1977        35-39            0.001137        0.002106        0.001640
  1977        40-44            0.001953        0.002679        0.002330
  1977        45-49            0.003216        0.005085        0.004192
  1977        50-54            0.004318        0.007916        0.006195
  1977        55-59            0.006542        0.012922        0.009721
  1977        60-64            0.009748        0.021964        0.015631
  1977        65-69            0.015416        0.034646        0.024538
  1977        70-74            0.025884        0.051339        0.037727
  1977        75-79            0.047986        0.078584        0.061013
  1977        80-84            0.084587        0.116677        0.095723
  1977        85-89            0.128382        0.166721        0.139837
  1977        90-94            0.210428        0.250100        0.220629
  1977        95-99            0.287585        0.215649        0.273761
  1977       100-104           0.951045        0.412371        0.880282
  1977       105-109           4.261682              .        4.261682
  1977       110+                    .              .              .
  1978           0             0.010603        0.011696        0.011168
  1978         1-4             0.000812        0.000933        0.000874
  1978         5-9             0.000312        0.000281        0.000296
  1978        10-14            0.000239        0.000311        0.000276
  1978        15-19            0.000340        0.001434        0.000900
  1978        20-24            0.000501        0.001777        0.001153
  1978        25-29            0.000360        0.001228        0.000804
  1978        30-34            0.000718        0.001154        0.000946
  1978        35-39            0.001051        0.001610        0.001341
  1978        40-44            0.002095        0.002348        0.002226
  1978        45-49            0.003156        0.004405        0.003809
  1978        50-54            0.004181        0.006426        0.005350
  1978        55-59            0.005574        0.012380        0.008991
  1978        60-64            0.009849        0.020084        0.014739
  1978        65-69            0.015166        0.033048        0.023653
  1978        70-74            0.026414        0.050367        0.037421
  1978        75-79            0.042430        0.081171        0.059100
  1978        80-84            0.076185        0.115998        0.090182
  1978        85-89            0.119751        0.179660        0.137562
  1978        90-94            0.183528        0.234066        0.196440
  1978        95-99            0.423692        0.350933        0.408902
  1978       100-104           0.758098        1.443311        0.887929
  1978       105-109                 .              .              .
  1978       110+                    .              .              .
  1979           0             0.009577        0.014812        0.012256
  1979         1-4             0.000717        0.000512        0.000612
  1979         5-9             0.000123        0.000234        0.000180
  1979        10-14            0.000126        0.000255        0.000193
  1979        15-19            0.000461        0.001159        0.000817
  1979        20-24            0.000473        0.001517        0.001006
  1979        25-29            0.000278        0.001298        0.000799
  1979        30-34            0.000483        0.001336        0.000927
  1979        35-39            0.000706        0.001737        0.001240
  1979        40-44            0.001729        0.002271        0.002010
  1979        45-49            0.002453        0.004941        0.003749
  1979        50-54            0.004231        0.007812        0.006093
  1979        55-59            0.005995        0.011070        0.008558
  1979        60-64            0.010019        0.019554        0.014569
  1979        65-69            0.015492        0.031889        0.023260
  1979        70-74            0.025277        0.050360        0.036717
  1979        75-79            0.043666        0.083161        0.060715
  1979        80-84            0.076594        0.116033        0.090575
  1979        85-89            0.128396        0.179380        0.143554
  1979        90-94            0.222629        0.275751        0.235985
  1979        95-99            0.347596        0.220843        0.319394
  1979       100-104           0.724096        0.600300        0.697881
  1979       105-109                 .              .              .
  1979       110+                    .              .              .
  1980           0             0.009617        0.013648        0.011678
  1980         1-4             0.000618        0.000559        0.000588
  1980         5-9             0.000125        0.000392        0.000262
  1980        10-14            0.000333        0.000413        0.000374
  1980        15-19            0.000459        0.001144        0.000807
  1980        20-24            0.000444        0.001435        0.000949
  1980        25-29            0.000343        0.001144        0.000752
  1980        30-34            0.000512        0.001294        0.000916
  1980        35-39            0.000945        0.001847        0.001413
  1980        40-44            0.001559        0.002562        0.002078
  1980        45-49            0.002001        0.005249        0.003683
  1980        50-54            0.003620        0.006769        0.005255
  1980        55-59            0.005488        0.010998        0.008289
  1980        60-64            0.009888        0.018074        0.013815
  1980        65-69            0.014232        0.030051        0.021676
  1980        70-74            0.023634        0.049917        0.035533
  1980        75-79            0.044936        0.080668        0.060413
  1980        80-84            0.080370        0.118428        0.094078
  1980        85-89            0.131643        0.187826        0.148255
  1980        90-94            0.217266        0.268880        0.230241
  1980        95-99            0.362082        0.334971        0.355366
  1980       100-104           0.301989        0.861656        0.399070
  1980       105-109                 .              .              .
  1980       110+                    .              .              .
  1981           0             0.007703        0.010114        0.008944
  1981         1-4             0.000317        0.000552        0.000438
  1981         5-9             0.000182        0.000450        0.000319
  1981        10-14            0.000169        0.000223        0.000196
  1981        15-19            0.000405        0.001052        0.000734
  1981        20-24            0.000293        0.001548        0.000932
  1981        25-29            0.000439        0.001215        0.000835
  1981        30-34            0.000545        0.001111        0.000837
  1981        35-39            0.000589        0.001529        0.001078
  1981        40-44            0.001166        0.002850        0.002038
  1981        45-49            0.001955        0.004052        0.003038
  1981        50-54            0.003405        0.007002        0.005273
  1981        55-59            0.005818        0.012179        0.009075
  1981        60-64            0.009554        0.017802        0.013527
  1981        65-69            0.013150        0.030284        0.021183
  1981        70-74            0.023508        0.046156        0.033669
  1981        75-79            0.042712        0.077468        0.057817
  1981        80-84            0.070700        0.120431        0.088909
  1981        85-89            0.119052        0.153122        0.129140
  1981        90-94            0.189980        0.281167        0.212628
  1981        95-99            0.271360        0.417567        0.306786
  1981       100-104           0.582963        1.923077        0.705856
  1981       105-109                 .              .              .
  1981       110+                    .              .              .
  1982           0             0.007426        0.011024        0.009275
  1982         1-4             0.000428        0.000542        0.000486
  1982         5-9             0.000276        0.000226        0.000250
  1982        10-14            0.000066        0.000435        0.000256
  1982        15-19            0.000491        0.001009        0.000756
  1982        20-24            0.000454        0.001453        0.000962
  1982        25-29            0.000446        0.001275        0.000868
  1982        30-34            0.000265        0.001233        0.000761
  1982        35-39            0.000749        0.001613        0.001198
  1982        40-44            0.001274        0.001958        0.001628
  1982        45-49            0.002603        0.003923        0.003284
  1982        50-54            0.004340        0.007454        0.005958
  1982        55-59            0.005061        0.010896        0.008057
  1982        60-64            0.008490        0.018332        0.013264
  1982        65-69            0.014458        0.029718        0.021567
  1982        70-74            0.022858        0.047190        0.033752
  1982        75-79            0.041894        0.069770        0.053956
  1982        80-84            0.067912        0.112611        0.084479
  1982        85-89            0.116241        0.176860        0.134340
  1982        90-94            0.198152        0.242118        0.208864
  1982        95-99            0.297122        0.352696        0.309442
  1982       100-104           0.540581        1.082056        0.582201
  1982       105-109                 .              .              .
  1982       110+                    .              .              .
  1983           0             0.006754        0.009088        0.007952
  1983         1-4             0.000629        0.000489        0.000557
  1983         5-9             0.000203        0.000227        0.000215
  1983        10-14            0.000230        0.000233        0.000231
  1983        15-19            0.000314        0.000848        0.000587
  1983        20-24            0.000200        0.001453        0.000836
  1983        25-29            0.000424        0.001554        0.000999
  1983        30-34            0.000573        0.001159        0.000871
  1983        35-39            0.000430        0.001372        0.000920
  1983        40-44            0.001178        0.002254        0.001736
  1983        45-49            0.002412        0.002782        0.002603
  1983        50-54            0.003702        0.007003        0.005413
  1983        55-59            0.006031        0.010471        0.008316
  1983        60-64            0.007636        0.015954        0.011714
  1983        65-69            0.014234        0.029108        0.021122
  1983        70-74            0.022413        0.046101        0.033031
  1983        75-79            0.039849        0.079213        0.056661
  1983        80-84            0.069583        0.112834        0.085851
  1983        85-89            0.113431        0.174346        0.131574
  1983        90-94            0.218457        0.264693        0.229835
  1983        95-99            0.272750        0.329195        0.284848
  1983       100-104           0.317479        0.633403        0.349284
  1983       105-109                 .              .              .
  1983       110+                    .              .              .
  1984           0             0.010184        0.010213        0.010199
  1984         1-4             0.000458        0.000522        0.000491
  1984         5-9             0.000185        0.000228        0.000207
  1984        10-14            0.000166        0.000251        0.000209
  1984        15-19            0.000206        0.000852        0.000536
  1984        20-24            0.000499        0.001509        0.001013
  1984        25-29            0.000468        0.001227        0.000854
  1984        30-34            0.000411        0.001123        0.000770
  1984        35-39            0.000801        0.001176        0.000996
  1984        40-44            0.001322        0.002227        0.001792
  1984        45-49            0.002173        0.003358        0.002786
  1984        50-54            0.003104        0.005969        0.004586
  1984        55-59            0.005036        0.011080        0.008148
  1984        60-64            0.007877        0.016512        0.012141
  1984        65-69            0.012838        0.026926        0.019380
  1984        70-74            0.021852        0.041923        0.030830
  1984        75-79            0.039048        0.074942        0.054227
  1984        80-84            0.067179        0.114880        0.085347
  1984        85-89            0.126243        0.158518        0.135940
  1984        90-94            0.189978        0.295623        0.215729
  1984        95-99            0.354057        0.423823        0.368926
  1984       100-104           0.415293        0.649351        0.442316
  1984       105-109           1.363636              .        1.363636
  1984       110+                    .              .              .
  1985           0             0.008137        0.009900        0.009038
  1985         1-4             0.000558        0.000720        0.000641
  1985         5-9             0.000277        0.000244        0.000260
  1985        10-14            0.000185        0.000271        0.000229
  1985        15-19            0.000400        0.001034        0.000724
  1985        20-24            0.000413        0.001620        0.001028
  1985        25-29            0.000406        0.001383        0.000903
  1985        30-34            0.000550        0.001287        0.000921
  1985        35-39            0.000808        0.001074        0.000946
  1985        40-44            0.001312        0.002224        0.001787
  1985        45-49            0.002172        0.003483        0.002851
  1985        50-54            0.003341        0.005425        0.004417
  1985        55-59            0.005701        0.009773        0.007802
  1985        60-64            0.007413        0.015708        0.011534
  1985        65-69            0.013378        0.025836        0.019212
  1985        70-74            0.023273        0.043799        0.032422
  1985        75-79            0.038452        0.069256        0.051446
  1985        80-84            0.073531        0.115728        0.089663
  1985        85-89            0.118076        0.175237        0.135632
  1985        90-94            0.203310        0.246868        0.213739
  1985        95-99            0.301839        0.400055        0.322564
  1985       100-104           0.485134        0.733721        0.516644
  1985       105-109           2.120930              .        2.120930
  1985       110+                    .              .              .
  1986           0             0.008075        0.010029        0.009084
  1986         1-4             0.000521        0.000619        0.000571
  1986         5-9             0.000235        0.000323        0.000281
  1986        10-14            0.000171        0.000114        0.000142
  1986        15-19            0.000370        0.000919        0.000651
  1986        20-24            0.000295        0.001419        0.000868
  1986        25-29            0.000535        0.001309        0.000929
  1986        30-34            0.000599        0.001123        0.000862
  1986        35-39            0.000728        0.001257        0.000999
  1986        40-44            0.001504        0.001845        0.001682
  1986        45-49            0.002164        0.002971        0.002582
  1986        50-54            0.002841        0.006651        0.004802
  1986        55-59            0.005444        0.009958        0.007774
  1986        60-64            0.008388        0.017857        0.013122
  1986        65-69            0.013247        0.025876        0.019202
  1986        70-74            0.023411        0.044189        0.032669
  1986        75-79            0.038390        0.075613        0.053970
  1986        80-84            0.072593        0.113964        0.088420
  1986        85-89            0.112185        0.176186        0.132151
  1986        90-94            0.221945        0.297322        0.239866
  1986        95-99            0.292348        0.466429        0.325834
  1986       100-104           0.501693        0.918013        0.553601
  1986       105-109           1.617021              .        1.617021
  1986       110+                    .              .              .
  1987           0             0.006498        0.009670        0.008131
  1987         1-4             0.000405        0.000605        0.000508
  1987         5-9             0.000141        0.000281        0.000213
  1987        10-14            0.000242        0.000195        0.000218
  1987        15-19            0.000298        0.000867        0.000590
  1987        20-24            0.000376        0.001214        0.000802
  1987        25-29            0.000291        0.001365        0.000836
  1987        30-34            0.000300        0.001044        0.000674
  1987        35-39            0.000793        0.001614        0.001211
  1987        40-44            0.000948        0.001897        0.001444
  1987        45-49            0.001551        0.003535        0.002581
  1987        50-54            0.002959        0.005154        0.004089
  1987        55-59            0.004944        0.009980        0.007536
  1987        60-64            0.008525        0.014360        0.011456
  1987        65-69            0.013066        0.025415        0.018923
  1987        70-74            0.022748        0.043181        0.031833
  1987        75-79            0.034296        0.066842        0.047860
  1987        80-84            0.061694        0.104556        0.078098
  1987        85-89            0.113652        0.182662        0.135414
  1987        90-94            0.173562        0.232828        0.187487
  1987        95-99            0.290074        0.210083        0.275312
  1987       100-104           0.316812        0.756859        0.363759
  1987       105-109           0.000000              .        0.000000
  1987       110+                    .              .              .
  1988           0             0.007409        0.009941        0.008704
  1988         1-4             0.000542        0.000276        0.000405
  1988         5-9             0.000051        0.000241        0.000149
  1988        10-14            0.000291        0.000194        0.000241
  1988        15-19            0.000311        0.001225        0.000779
  1988        20-24            0.000436        0.001545        0.001000
  1988        25-29            0.000403        0.001347        0.000883
  1988        30-34            0.000475        0.000998        0.000738
  1988        35-39            0.000816        0.001269        0.001045
  1988        40-44            0.000902        0.001980        0.001463
  1988        45-49            0.001709        0.003347        0.002562
  1988        50-54            0.002924        0.005124        0.004057
  1988        55-59            0.004927        0.008695        0.006859
