"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Female"	"F"	"2001"	"2001"	3734	316708	1179.0
	"< 1 year"	"0"	"Female"	"F"	"2002"	"2002"	3872	308227	1256.2
	"< 1 year"	"0"	"Female"	"F"	"2003"	"2003"	3662	304284	1203.5
	"< 1 year"	"0"	"Female"	"F"	"2004"	"2004"	3725	310300	1200.5
	"< 1 year"	"0"	"Female"	"F"	"2005"	"2005"	3828	318126	1203.3
	"< 1 year"	"0"	"Female"	"F"	"2006"	"2006"	3972	326678	1215.9
	"< 1 year"	"0"	"Female"	"F"	"2007"	"2007"	3969	341912	1160.8
	"< 1 year"	"0"	"Female"	"F"	"2008"	"2008"	3795	343420	1105.1
	"< 1 year"	"0"	"Female"	"F"	"2009"	"2009"	3606	337020	1070.0
	"< 1 year"	"0"	"Female"	"F"	"2010"	"2010"	3285	330352	994.4
	"< 1 year"	"0"	"Female"	"F"	"2011"	"2011"	3227	335326	962.3
	"< 1 year"	"0"	"Female"	"F"	"2012"	"2012"	3123	330701	944.4
	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	3245	330884	980.7
	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	3176	332113	956.3
	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	3256	335670	970.0
	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	3287	333403	985.9
	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	3128	330757	945.7
	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	2956	322989	915.2
	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	3044	315293	965.5
	"< 1 year"	"0"	"Female"	"F"	"2020 "	"2020"	2854	328120	869.8
	"< 1 year"	"0"	"Male"	"M"	"2001"	"2001"	4764	326628	1458.5
	"< 1 year"	"0"	"Male"	"M"	"2002"	"2002"	4652	317650	1464.5
	"< 1 year"	"0"	"Male"	"M"	"2003"	"2003"	4740	315118	1504.2
	"< 1 year"	"0"	"Male"	"M"	"2004"	"2004"	4769	320836	1486.4
	"< 1 year"	"0"	"Male"	"M"	"2005"	"2005"	4867	329152	1478.6
	"< 1 year"	"0"	"Male"	"M"	"2006"	"2006"	4886	337086	1449.5
	"< 1 year"	"0"	"Male"	"M"	"2007"	"2007"	4975	353833	1406.0
	"< 1 year"	"0"	"Male"	"M"	"2008"	"2008"	4748	353526	1343.0
	"< 1 year"	"0"	"Male"	"M"	"2009"	"2009"	4706	346752	1357.2
	"< 1 year"	"0"	"Male"	"M"	"2010"	"2010"	4116	341156	1206.5
	"< 1 year"	"0"	"Male"	"M"	"2011"	"2011"	4057	352800	1149.9
	"< 1 year"	"0"	"Male"	"M"	"2012"	"2012"	3972	346206	1147.3
	"< 1 year"	"0"	"Male"	"M"	"2013"	"2013"	3878	346221	1120.1
	"< 1 year"	"0"	"Male"	"M"	"2014"	"2014"	3900	346533	1125.4
	"< 1 year"	"0"	"Male"	"M"	"2015"	"2015"	4033	350636	1150.2
	"< 1 year"	"0"	"Male"	"M"	"2016"	"2016"	3942	347670	1133.8
	"< 1 year"	"0"	"Male"	"M"	"2017"	"2017"	3971	345325	1149.9
	"< 1 year"	"0"	"Male"	"M"	"2018"	"2018"	3804	337321	1127.7
	"< 1 year"	"0"	"Male"	"M"	"2019"	"2019"	3704	328974	1125.9
	"< 1 year"	"0"	"Male"	"M"	"2020 "	"2020"	3523	341843	1030.6
	"1 year"	"1"	"Female"	"F"	"2001"	"2001"	220	305274	72.1
	"1 year"	"1"	"Female"	"F"	"2002"	"2002"	204	315927	64.6
	"1 year"	"1"	"Female"	"F"	"2003"	"2003"	194	307337	63.1
	"1 year"	"1"	"Female"	"F"	"2004"	"2004"	217	303365	71.5
	"1 year"	"1"	"Female"	"F"	"2005"	"2005"	198	309333	64.0
	"1 year"	"1"	"Female"	"F"	"2006"	"2006"	202	316851	63.8
	"1 year"	"1"	"Female"	"F"	"2007"	"2007"	214	325122	65.8
	"1 year"	"1"	"Female"	"F"	"2008"	"2008"	188	340050	55.3
	"1 year"	"1"	"Female"	"F"	"2009"	"2009"	213	341459	62.4
	"1 year"	"1"	"Female"	"F"	"2010"	"2010"	203	333659	60.8
	"1 year"	"1"	"Female"	"F"	"2011"	"2011"	200	333703	59.9
	"1 year"	"1"	"Female"	"F"	"2012"	"2012"	181	334893	54.0
