Gender,Age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
F,0,3227,3123,3245,3176,3256,3287,3128,2956,3044,2854
F,1,200,181,184,164,175,169,196,171,187,175
F,2,119,102,105,124,108,132,119,117,115,108
F,3,74,92,79,78,82,75,72,76,87,90
F,4,63,68,77,60,63,80,84,60,73,61
F,5,51,64,67,48,56,71,55,40,56,63
F,6,52,39,54,54,50,56,57,65,64,38
F,7,49,46,49,34,58,59,50,56,60,52
F,8,41,38,43,41,44,40,48,69,51,55
F,9,46,42,48,46,41,59,58,63,57,47
F,10,68,39,43,31,42,46,45,68,46,45
F,11,32,40,46,50,53,59,48,62,51,49
F,12,42,51,42,61,47,42,56,69,63,56
F,13,49,48,54,50,53,63,49,49,60,69
F,14,50,58,48,64,60,53,71,62,52,77
F,15,65,76,62,64,61,87,90,85,71,94
F,16,91,87,80,72,76,98,87,85,80,109
F,17,118,86,86,99,105,121,75,98,108,149
F,18,131,134,123,113,147,154,145,150,164,224
F,19,162,157,144,149,165,174,160,176,167,226
F,20,167,193,163,154,191,200,196,194,210,248
F,21,224,201,162,223,236,209,213,207,225,290
F,22,208,212,211,223,218,248,208,184,225,330
F,23,201,201,230,213,208,280,258,249,280,366
F,24,199,231,236,234,246,265,265,252,253,336
F,25,217,212,235,241,266,291,302,330,288,408
F,26,252,228,244,229,271,331,308,330,346,383
F,27,217,232,249,243,269,320,365,351,342,438
F,28,248,258,268,248,276,323,370,337,338,506
F,29,287,289,260,260,274,315,305,393,345,531
F,30,303,298,272,270,309,323,335,369,397,573
F,31,358,287,301,310,301,364,359,388,397,552
F,32,370,292,351,373,358,373,374,435,422,564
F,33,360,373,370,360,402,406,427,424,473,616
F,34,353,369,383,393,416,435,459,441,475,588
F,35,384,436,407,432,432,464,463,516,494,647
F,36,440,409,412,417,500,515,525,506,519,635
F,37,451,390,435,465,452,554,538,567,552,714
F,38,514,486,461,471,500,522,516,550,621,767
F,39,505,529,464,545,481,564,591,639,675,794
F,40,598,606,577,520,522,568,637,616,659,850
F,41,639,637,610,608,631,602,639,643,666,982
F,42,714,671,697,751,689,656,716,693,714,932
F,43,758,709,756,766,716,764,732,740,769,990
F,44,824,801,726,812,856,762,743,806,776,1034
F,45,930,891,837,868,847,935,869,861,829,1101
F,46,1034,942,943,906,932,1003,1041,971,935,1169
F,47,1153,1095,1039,986,1046,969,1001,1066,1018,1211
F,48,1298,1280,1137,1140,1058,1112,1043,1097,1137,1336
F,49,1364,1340,1361,1309,1253,1242,1179,1177,1219,1586
F,50,1485,1483,1424,1404,1401,1366,1320,1222,1267,1575
F,51,1659,1633,1562,1599,1526,1566,1448,1443,1324,1647
F,52,1775,1658,1677,1670,1657,1645,1589,1566,1527,1826
F,53,1761,1805,1837,1883,1830,1853,1791,1679,1608,1999
F,54,1879,1976,2013,2039,1956,2072,1928,1913,1842,2170
F,55,2013,2014,2010,2125,2061,2128,2149,2032,2003,2429
F,56,2014,2157,2171,2220,2323,2238,2279,2241,2165,2604
F,57,2103,2270,2236,2412,2361,2473,2473,2398,2378,2933
F,58,2170,2238,2440,2459,2592,2560,2584,2596,2555,2972
F,59,2176,2248,2368,2471,2636,2705,2728,2695,2621,3392
