"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Female"	"F"	"2001"	"2001"	162	28400	570.4
	"< 1 year"	"0"	"Female"	"F"	"2002"	"2002"	152	28652	530.5
	"< 1 year"	"0"	"Female"	"F"	"2003"	"2003"	140	29744	470.7
	"< 1 year"	"0"	"Female"	"F"	"2004"	"2004"	152	30480	498.7
	"< 1 year"	"0"	"Female"	"F"	"2005"	"2005"	161	32194	500.1
	"< 1 year"	"0"	"Female"	"F"	"2006"	"2006"	151	33299	453.5
	"< 1 year"	"0"	"Female"	"F"	"2007"	"2007"	191	36155	528.3
	"< 1 year"	"0"	"Female"	"F"	"2008"	"2008"	169	38643	437.3
	"< 1 year"	"0"	"Female"	"F"	"2009"	"2009"	171	38499	444.2
	"< 1 year"	"0"	"Female"	"F"	"2010"	"2010"	141	38480	366.4
	"< 1 year"	"0"	"Female"	"F"	"2011"	"2011"	162	39361	411.6
	"< 1 year"	"0"	"Female"	"F"	"2012"	"2012"	162	38034	425.9
	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	118	38574	305.9
	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	158	38303	412.5
	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	167	38745	431.0
	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	141	38168	369.4
	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	150	37522	399.8
	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	136	36615	371.4
	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	139	36048	385.6
	"< 1 year"	"0"	"Female"	"F"	"2020 "	"2020"	117	40525	288.7
	"< 1 year"	"0"	"Male"	"M"	"2001"	"2001"	211	29088	725.4
	"< 1 year"	"0"	"Male"	"M"	"2002"	"2002"	191	29200	654.1
	"< 1 year"	"0"	"Male"	"M"	"2003"	"2003"	195	30240	644.8
	"< 1 year"	"0"	"Male"	"M"	"2004"	"2004"	237	31268	758.0
	"< 1 year"	"0"	"Male"	"M"	"2005"	"2005"	196	32637	600.5
	"< 1 year"	"0"	"Male"	"M"	"2006"	"2006"	242	34270	706.2
	"< 1 year"	"0"	"Male"	"M"	"2007"	"2007"	241	37284	646.4
	"< 1 year"	"0"	"Male"	"M"	"2008"	"2008"	234	38993	600.1
	"< 1 year"	"0"	"Male"	"M"	"2009"	"2009"	214	39004	548.7
	"< 1 year"	"0"	"Male"	"M"	"2010"	"2010"	213	39263	542.5
	"< 1 year"	"0"	"Male"	"M"	"2011"	"2011"	199	40902	486.5
	"< 1 year"	"0"	"Male"	"M"	"2012"	"2012"	207	39172	528.4
	"< 1 year"	"0"	"Male"	"M"	"2013"	"2013"	197	39928	493.4
	"< 1 year"	"0"	"Male"	"M"	"2014"	"2014"	202	39631	509.7
	"< 1 year"	"0"	"Male"	"M"	"2015"	"2015"	196	40300	486.4
	"< 1 year"	"0"	"Male"	"M"	"2016"	"2016"	206	39291	524.3
	"< 1 year"	"0"	"Male"	"M"	"2017"	"2017"	186	38829	479.0
	"< 1 year"	"0"	"Male"	"M"	"2018"	"2018"	181	37893	477.7
	"< 1 year"	"0"	"Male"	"M"	"2019"	"2019"	173	37369	463.0
	"< 1 year"	"0"	"Male"	"M"	"2020 "	"2020"	158	41947	376.7
	"1 year"	"1"	"Female"	"F"	"2001"	"2001"	23	27013	85.1
	"1 year"	"1"	"Female"	"F"	"2002"	"2002"	15	28472	Unreliable
	"1 year"	"1"	"Female"	"F"	"2003"	"2003"	14	28656	Unreliable
	"1 year"	"1"	"Female"	"F"	"2004"	"2004"	18	29664	Unreliable
	"1 year"	"1"	"Female"	"F"	"2005"	"2005"	14	30369	Unreliable
	"1 year"	"1"	"Female"	"F"	"2006"	"2006"	21	32036	65.6
	"1 year"	"1"	"Female"	"F"	"2007"	"2007"	11	32977	Unreliable
	"1 year"	"1"	"Female"	"F"	"2008"	"2008"	20	35775	55.9
	"1 year"	"1"	"Female"	"F"	"2009"	"2009"	13	38133	Unreliable
	"1 year"	"1"	"Female"	"F"	"2010"	"2010"	9	38087	Unreliable
	"1 year"	"1"	"Female"	"F"	"2011"	"2011"	15	38724	Unreliable
	"1 year"	"1"	"Female"	"F"	"2012"	"2012"	16	38257	Unreliable
	"1 year"	"1"	"Female"	"F"	"2013"	"2013"	20	38522	51.9
	"1 year"	"1"	"Female"	"F"	"2014"	"2014"	11	37836	Unreliable
	"1 year"	"1"	"Female"	"F"	"2015"	"2015"	19	38258	Unreliable
	"1 year"	"1"	"Female"	"F"	"2016"	"2016"	26	38374	67.8
	"1 year"	"1"	"Female"	"F"	"2017"	"2017"	17	37741	Unreliable
	"1 year"	"1"	"Female"	"F"	"2018"	"2018"	14	36955	Unreliable
	"1 year"	"1"	"Female"	"F"	"2019"	"2019"	16	36232	Unreliable
	"1 year"	"1"	"Female"	"F"	"2020 "	"2020"	10	40773	Unreliable
	"1 year"	"1"	"Male"	"M"	"2001"	"2001"	21	27999	75.0
	"1 year"	"1"	"Male"	"M"	"2002"	"2002"	21	29124	72.1
	"1 year"	"1"	"Male"	"M"	"2003"	"2003"	16	29242	Unreliable
	"1 year"	"1"	"Male"	"M"	"2004"	"2004"	16	30292	Unreliable
	"1 year"	"1"	"Male"	"M"	"2005"	"2005"	24	31283	76.7
	"1 year"	"1"	"Male"	"M"	"2006"	"2006"	22	32640	67.4
	"1 year"	"1"	"Male"	"M"	"2007"	"2007"	25	34227	73.0
	"1 year"	"1"	"Male"	"M"	"2008"	"2008"	19	37266	Unreliable
	"1 year"	"1"	"Male"	"M"	"2009"	"2009"	17	38946	Unreliable
	"1 year"	"1"	"Male"	"M"	"2010"	"2010"	23	39325	58.5
	"1 year"	"1"	"Male"	"M"	"2011"	"2011"	17	39628	Unreliable
	"1 year"	"1"	"Male"	"M"	"2012"	"2012"	18	39194	Unreliable
	"1 year"	"1"	"Male"	"M"	"2013"	"2013"	29	39751	73.0
	"1 year"	"1"	"Male"	"M"	"2014"	"2014"	31	38945	79.6
	"1 year"	"1"	"Male"	"M"	"2015"	"2015"	21	39745	52.8
	"1 year"	"1"	"Male"	"M"	"2016"	"2016"	22	38965	56.5
	"1 year"	"1"	"Male"	"M"	"2017"	"2017"	15	38800	Unreliable
	"1 year"	"1"	"Male"	"M"	"2018"	"2018"	21	38141	55.1
	"1 year"	"1"	"Male"	"M"	"2019"	"2019"	18	37516	Unreliable
	"1 year"	"1"	"Male"	"M"	"2020 "	"2020"	21	42198	49.8
	"2 years"	"2"	"Female"	"F"	"2001"	"2001"	11	26597	Unreliable
	"2 years"	"2"	"Female"	"F"	"2002"	"2002"	8	27331	Unreliable
