Gender,Age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
F,0,162,162,118,158,167,141,150,136,139,117
F,1,15,16,20,11,19,26,17,14,16,10
F,2,13,12,10,5,10,11,8,3,12,10
F,3,5,5,5,9,7,8,8,2,12,6
F,4,6,2,4,6,4,3,9,4,7,6
F,5,9,1,8,5,4,6,8,6,5,7
F,6,3,7,2,2,6,2,3,3,10,4
F,7,4,3,2,4,2,4,4,2,2,5
F,8,4,2,6,4,4,5,1,2,,5
F,9,2,3,6,2,3,2,5,4,3,4
F,10,4,4,1,3,3,2,4,7,2,7
F,11,5,2,2,5,4,4,6,8,2,4
F,12,4,3,2,6,6,5,6,9,,1
F,13,3,3,10,4,8,9,4,2,7,7
F,14,8,8,2,6,12,7,9,15,5,9
F,15,7,7,5,9,12,7,11,7,10,14
F,16,10,8,7,9,10,8,11,11,14,16
F,17,12,12,11,7,9,12,6,10,14,14
F,18,25,15,13,20,18,16,14,12,24,18
F,19,23,18,16,19,17,17,21,18,16,16
F,20,15,24,15,15,15,14,20,10,25,21
F,21,21,24,22,31,19,23,18,18,17,30
F,22,20,21,23,16,19,29,22,28,26,35
F,23,18,25,24,23,32,38,28,19,24,23
F,24,16,23,24,27,26,38,28,19,31,25
F,25,23,29,19,26,26,34,43,28,33,37
F,26,24,28,23,30,34,36,41,40,36,41
F,27,24,27,41,27,34,39,35,34,35,58
F,28,31,39,31,32,24,47,43,47,30,66
F,29,19,39,29,23,27,31,51,48,49,65
F,30,29,38,26,33,41,46,48,46,57,80
F,31,35,20,49,26,38,45,47,48,57,74
F,32,26,45,29,27,45,46,46,47,48,82
F,33,43,25,28,36,41,37,41,40,50,89
F,34,29,31,33,35,46,49,51,52,55,91
F,35,35,36,38,42,37,39,63,54,59,92
F,36,39,34,40,35,42,54,56,47,76,83
F,37,35,44,39,44,46,46,46,43,56,93
F,38,46,32,39,56,62,52,43,56,53,92
F,39,44,52,57,55,50,46,46,54,62,100
F,40,47,47,47,44,51,53,61,57,61,84
F,41,48,44,48,62,39,51,63,55,62,89
F,42,46,57,52,65,65,53,50,56,69,91
F,43,54,61,80,57,53,81,73,61,64,80
F,44,73,56,56,61,57,60,66,63,75,90
F,45,78,53,68,65,80,80,55,74,72,117
F,46,78,61,74,76,72,76,58,69,62,96
F,47,83,91,80,82,72,68,92,70,82,111
F,48,92,98,93,85,89,74,90,83,79,99
F,49,87,97,87,102,89,92,78,84,101,107
F,50,81,88,96,93,112,109,94,96,102,146
F,51,104,97,95,103,101,110,101,108,95,129
F,52,114,113,124,117,124,128,109,110,96,142
F,53,118,110,103,130,116,125,151,118,117,147
F,54,95,104,105,129,128,117,143,111,130,182
F,55,97,108,119,119,130,121,131,134,129,156
F,56,93,108,120,122,119,156,140,163,135,212
F,57,110,121,138,135,130,119,158,118,141,199
F,58,110,104,136,132,144,130,139,142,153,211
F,59,126,137,130,129,141,131,149,174,159,190
F,60,113,126,137,131,140,159,158,166,160,238
F,61,133,112,113,132,139,151,170,177,168,245
F,62,127,130,135,156,153,157,159,154,177,245
F,63,130,109,137,125,154,170,166,169,191,244
F,64,137,121,123,140,162,152,179,155,178,276
F,65,124,140,134,135,126,142,148,172,185,248
F,66,103,136,172,165,170,168,138,166,172,238
F,67,123,138,115,164,162,175,176,168,184,269
F,68,128,119,135,134,183,155,189,210,197,222
F,69,129,161,150,157,171,159,192,183,191,235
F,70,153,137,147,148,160,174,191,188,183,223
F,71,123,149,141,182,169,145,183,185,196,298
F,72,112,156,135,164,177,185,133,180,182,292
F,73,164,130,134,153,181,184,191,189,180,291
F,74,127,130,147,165,161,167,197,219,199,232
F,75,149,151,163,174,175,182,175,191,189,267
F,76,149,136,130,175,174,180,162,182,203,254
F,77,130,154,164,140,175,166,191,191,189,264
F,78,147,134,180,177,168,160,172,175,166,231
F,79,140,145,152,149,145,180,203,201,185,274
F,80,132,165,151,169,181,183,174,185,197,255
F,81,145,136,142,148,166,172,197,198,203,234
F,82,161,139,173,167,197,209,210,173,165,269
F,83,145,162,174,160,161,166,186,168,204,270
F,84,146,152,103,161,145,182,175,163,163,220
F,85,140,143,130,166,165,163,183,180,148,225
F,86,133,179,155,156,141,168,148,167,185,223
F,87,120,132,131,140,149,140,167,144,152,224
F,88,126,130,145,116,136,147,154,143,145,201
F,89,118,99,118,118,125,141,125,129,146,196
F,90,119,115,115,131,125,143,145,143,136,169
F,91,108,89,119,124,129,119,113,120,118,147
F,92,77,81,94,101,115,105,129,112,109,149
F,93,72,60,91,93,93,80,76,107,108,113
F,94,51,68,61,71,86,72,81,78,86,96
F,95,54,47,51,67,63,58,78,75,75,79
F,96,46,40,38,44,45,51,57,72,60,85
F,97,34,36,38,34,39,44,47,44,44,51
F,98,29,14,28,26,31,24,19,42,43,38
F,99,28,24,31,21,28,20,25,22,37,34
F,100,50,51,58,59,59,47,64,44,62,73
M,0,199,207,197,202,196,206,186,181,173,158
M,1,17,18,29,31,21,22,15,21,18,21
M,2,12,13,19,10,21,11,8,8,12,5
M,3,10,14,11,11,11,8,7,14,6,7
M,4,7,9,6,12,2,5,7,7,9,12
M,5,2,14,7,7,9,9,7,10,8,7
M,6,5,4,6,3,4,5,7,6,3,5
M,7,2,5,1,6,7,5,1,3,4,7
M,8,1,6,10,2,8,6,3,6,3,4
M,9,6,5,2,7,3,3,5,4,4,1
M,10,3,5,2,4,5,4,3,4,6,5
M,11,4,6,5,4,3,7,3,4,5,4
M,12,8,7,3,7,3,5,6,5,11,8
M,13,11,7,5,3,8,4,14,4,14,14
M,14,8,6,6,5,9,10,14,9,10,10
M,15,14,14,15,6,13,12,20,14,16,19
M,16,18,16,22,16,15,31,30,20,20,20
M,17,27,15,22,26,25,26,24,35,35,31
M,18,45,43,37,37,35,38,50,45,38,46
M,19,52,55,32,36,39,42,49,46,57,50
M,20,47,56,45,44,31,48,54,42,53,57
M,21,56,51,54,48,59,66,50,59,47,61
M,22,68,66,57,62,61,58,39,61,50,63
M,23,48,46,56,69,66,66,64,59,52,75
M,24,47,65,48,66,54,62,61,59,55,85
M,25,52,55,49,54,70,76,70,58,67,91
M,26,59,67,63,70,76,80,69,77,66,102
M,27,66,66,63,68,54,78,83,90,82,111
M,28,61,52,80,63,63,88,90,100,77,116
M,29,49,67,50,67,76,88,66,95,87,133
M,30,52,58,61,70,68,73,95,90,103,135
M,31,52,73,64,60,68,73,89,95,75,149
M,32,58,57,58,64,73,67,80,105,99,117
M,33,52,72,68,55,74,92,84,82,103,130
M,34,57,46,59,77,81,89,105,103,102,131
M,35,68,55,58,71,83,66,96,116,91,143
M,36,55,48,56,83,77,94,88,93,96,128
M,37,58,65,69,69,85,87,82,84,103,152
M,38,80,71,69,62,77,90,105,100,101,145
M,39,68,73,53,66,71,92,98,81,93,173
M,40,82,87,76,73,89,92,93,101,101,162
M,41,79,75,88,86,94,77,89,111,104,145
M,42,84,87,77,89,90,91,84,90,109,139
M,43,90,76,96,101,92,82,92,90,94,147
M,44,70,98,88,99,105,111,107,115,95,141
M,45,105,104,95,79,109,112,99,105,106,138
M,46,130,106,108,115,117,108,109,121,112,152
M,47,134,111,125,95,117,103,149,138,118,166
M,48,108,125,136,146,141,127,130,109,133,205
M,49,128,119,136,143,158,133,159,141,138,233
M,50,124,148,166,163,158,150,132,148,159,207
M,51,150,142,117,161,160,176,167,147,128,192
M,52,156,159,145,170,165,180,174,164,176,204
M,53,149,163,164,170,190,191,163,178,164,223
M,54,163,175,183,152,184,175,204,194,202,241
M,55,162,166,167,188,197,194,208,222,191,266
M,56,141,173,159,190,204,202,199,212,235,293
M,57,165,187,188,191,186,221,233,231,213,308
M,58,155,182,182,193,228,244,192,255,227,287
M,59,188,196,197,186,225,233,229,208,236,345
M,60,149,142,171,216,208,237,195,248,243,323
M,61,164,159,173,211,214,217,228,256,237,333
M,62,164,188,207,198,216,220,234,226,246,333
M,63,154,165,182,213,198,220,255,238,228,362
M,64,164,188,189,195,209,207,232,224,244,309
M,65,148,183,181,201,206,247,243,240,276,352
M,66,146,169,204,211,184,216,209,244,253,345
M,67,158,178,175,222,188,214,230,238,247,330
M,68,172,177,161,166,244,220,247,235,220,340
M,69,173,171,172,168,172,217,220,283,255,320
M,70,163,179,202,166,203,177,257,256,229,335
M,71,164,161,162,173,197,230,203,246,254,336
M,72,143,182,168,188,212,207,173,227,272,324
M,73,158,187,169,185,189,224,192,202,188,385
M,74,145,144,164,183,201,196,222,196,213,290
M,75,140,147,179,172,187,185,218,198,211,306
M,76,153,146,160,172,189,177,202,228,203,281
M,77,157,169,149,181,185,194,209,215,214,286
M,78,151,151,156,178,205,183,171,182,201,310
M,79,127,141,139,155,156,166,184,181,190,273
M,80,143,145,134,116,158,188,183,197,215,302
M,81,136,132,145,141,141,154,186,163,178,228
M,82,127,119,138,148,161,169,179,186,179,212
M,83,116,115,159,128,148,154,153,179,176,184
M,84,99,122,123,138,131,135,165,162,166,213
M,85,109,113,139,123,142,141,140,131,126,198
M,86,98,109,105,103,108,127,123,139,128,198
M,87,91,71,89,96,112,109,120,115,131,148
M,88,80,78,89,115,113,116,117,111,124,157
M,89,67,72,97,93,85,94,111,97,99,129
M,90,65,64,83,71,69,89,85,92,88,101
M,91,60,64,71,66,67,65,68,79,99,81
M,92,33,45,48,62,62,52,64,67,52,90
M,93,36,28,34,54,48,55,43,48,43,92
M,94,33,33,25,27,50,42,39,39,65,53
M,95,20,13,19,17,17,31,27,35,28,38
M,96,20,21,16,17,24,25,17,23,27,32
M,97,16,17,15,17,10,13,14,13,14,24
M,98,10,5,9,10,9,11,13,8,10,16
M,99,8,3,2,8,10,9,9,4,7,11
M,100,8,13,15,12,10,16,13,13,19,25
