"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Female"	"F"	"2001"	"2001"	5803	1130915	513.1
	"< 1 year"	"0"	"Female"	"F"	"2002"	"2002"	5757	1098967	523.9
	"< 1 year"	"0"	"Female"	"F"	"2003"	"2003"	5632	1097359	513.2
	"< 1 year"	"0"	"Female"	"F"	"2004"	"2004"	5647	1097641	514.5
	"< 1 year"	"0"	"Female"	"F"	"2005"	"2005"	5608	1073760	522.3
	"< 1 year"	"0"	"Female"	"F"	"2006"	"2006"	5622	1067466	526.7
	"< 1 year"	"0"	"Female"	"F"	"2007"	"2007"	5658	1077101	525.3
	"< 1 year"	"0"	"Female"	"F"	"2008"	"2008"	5497	1065232	516.0
	"< 1 year"	"0"	"Female"	"F"	"2009"	"2009"	5078	1027561	494.2
	"< 1 year"	"0"	"Female"	"F"	"2010"	"2010"	4881	1015973	480.4
	"< 1 year"	"0"	"Female"	"F"	"2011"	"2011"	4760	1015784	468.6
	"< 1 year"	"0"	"Female"	"F"	"2012"	"2012"	4715	1004886	469.2
	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	4518	1007308	448.5
	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	4540	1006751	451.0
	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	4519	1013973	445.7
	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	4424	1008535	438.7
	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	4078	995944	409.5
	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	4047	973081	415.9
	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	3786	962496	393.4
	"< 1 year"	"0"	"Female"	"F"	"2020 "	"2020"	3683	929733	396.1
	"< 1 year"	"0"	"Male"	"M"	"2001"	"2001"	7508	1186474	632.8
	"< 1 year"	"0"	"Male"	"M"	"2002"	"2002"	7706	1155046	667.2
	"< 1 year"	"0"	"Male"	"M"	"2003"	"2003"	7591	1154996	657.2
	"< 1 year"	"0"	"Male"	"M"	"2004"	"2004"	7399	1155250	640.5
	"< 1 year"	"0"	"Male"	"M"	"2005"	"2005"	7418	1130089	656.4
	"< 1 year"	"0"	"Male"	"M"	"2006"	"2006"	7284	1124354	647.8
	"< 1 year"	"0"	"Male"	"M"	"2007"	"2007"	7340	1133543	647.5
	"< 1 year"	"0"	"Male"	"M"	"2008"	"2008"	7022	1118406	627.9
	"< 1 year"	"0"	"Male"	"M"	"2009"	"2009"	6530	1080480	604.4
	"< 1 year"	"0"	"Male"	"M"	"2010"	"2010"	6144	1066887	575.9
	"< 1 year"	"0"	"Male"	"M"	"2011"	"2011"	6082	1062152	572.6
