Gender,Age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
F,0,4760,4715,4518,4540,4519,4424,4078,4047,3786,3683
F,1,346,348,373,327,328,333,286,286,295,255
F,2,201,234,194,210,217,233,183,216,176,162
F,3,175,183,141,144,148,152,159,140,133,151
F,4,156,127,120,135,119,147,123,116,122,106
F,5,129,117,114,124,104,114,95,120,109,88
F,6,102,106,113,88,127,99,94,87,93,99
F,7,105,80,92,94,93,98,103,73,82,88
F,8,114,101,109,99,113,94,104,100,94,87
F,9,104,101,92,91,86,104,96,90,84,72
F,10,89,90,105,88,74,79,96,89,81,76
F,11,98,113,95,82,95,108,112,102,117,91
F,12,109,102,117,104,116,116,112,113,125,137
F,13,135,142,157,141,176,129,160,156,162,148
F,14,196,167,173,153,217,215,182,170,185,163
F,15,227,229,204,216,216,201,227,199,199,219
F,16,312,302,251,267,309,302,305,281,238,264
F,17,374,346,334,314,317,356,327,341,285,296
F,18,416,418,391,382,441,425,404,406,427,393
F,19,485,437,462,438,481,460,435,457,423,444
F,20,517,496,524,483,489,513,507,509,452,503
F,21,580,548,557,552,537,592,613,536,499,618
F,22,592,590,580,638,609,648,639,609,535,575
F,23,624,633,655,590,657,661,718,644,635,682
F,24,612,650,673,652,727,712,747,711,666,719
F,25,682,651,633,685,807,837,834,721,721,866
F,26,727,716,714,764,761,897,854,873,794,910
F,27,702,744,764,742,819,972,1017,950,900,1007
F,28,734,804,805,834,886,972,1097,1060,1001,1057
F,29,837,869,838,909,979,1016,1069,1083,1061,1231
F,30,876,942,875,870,981,1105,1147,1197,1149,1297
F,31,939,967,913,967,1062,1237,1243,1167,1172,1331
F,32,953,942,1015,1038,1169,1253,1315,1298,1226,1490
F,33,942,1015,1015,1155,1207,1282,1405,1365,1409,1520
F,34,1071,1010,1107,1160,1225,1358,1423,1349,1365,1566
F,35,1038,1073,1168,1248,1300,1509,1513,1464,1438,1682
F,36,1161,1122,1189,1265,1384,1537,1541,1614,1493,1764
F,37,1154,1219,1226,1367,1401,1513,1684,1610,1616,1974
F,38,1329,1296,1349,1364,1455,1647,1604,1696,1795,1975
F,39,1522,1462,1445,1437,1454,1568,1724,1762,1883,2109
F,40,1825,1643,1597,1587,1634,1666,1743,1760,1825,2182
F,41,1902,1982,1808,1845,1744,1779,1827,1842,1835,2263
F,42,2174,2132,2171,2030,2001,1970,2043,1874,1886,2194
F,43,2275,2290,2281,2335,2193,2157,2135,2122,1986,2375
F,44,2548,2385,2500,2674,2634,2541,2308,2133,2144,2427
F,45,2821,2718,2682,2681,2889,2927,2631,2499,2329,2687
F,46,3448,3104,2933,2976,3030,3163,3080,2939,2636,2865
F,47,3768,3615,3421,3246,3160,3273,3433,3264,2964,3253
F,48,4151,4132,3881,3768,3695,3500,3580,3550,3550,3648
F,49,4811,4529,4576,4356,3999,3980,3764,3705,3718,4169
F,50,5322,5008,5006,4898,4718,4447,4277,4010,4031,4630
F,51,5572,5644,5612,5590,5363,5063,4760,4463,4262,4881
F,52,6049,6013,6099,6085,6058,5824,5532,4960,4654,5122
F,53,6462,6335,6474,6661,6597,6489,6103,5755,5311,5646
F,54,6967,6837,6889,7007,7158,6997,6824,6637,6137,6336
F,55,7211,7376,7587,7742,7711,7819,7553,7218,6946,7261
F,56,7363,7784,8143,8321,8289,8391,8355,8095,7621,8164
F,57,8108,8045,8448,8703,8888,8839,9020,8853,8561,9113
F,58,8074,8484,8626,8938,9395,9423,9491,9365,9364,9896
F,59,8461,8847,8984,9460,9700,10117,10159,9968,9974,10908
F,60,8800,9282,9586,9904,10104,10497,10854,10736,10707,11878
F,61,9378,9695,9901,10461,10664,10806,11179,11383,11557,12501
F,62,10385,10009,10205,10941,11204,11598,11707,11765,12142,13389
F,63,11583,11222,11018,11271,11818,12054,12474,12643,12709,14433
F,64,13098,12212,12198,11877,12116,12636,12909,12958,13472,14782
F,65,11020,13816,13518,12714,12858,13083,13513,13729,13644,15659
F,66,11380,11750,15001,14193,13930,13565,13908,14177,14503,16332
F,67,12805,12152,12529,16183,15446,14987,14572,14898,14945,16932
F,68,14200,14001,13296,13526,17250,16394,16217,15542,15760,18006
F,69,14001,15243,15018,14196,14650,18644,17866,16968,16586,18709
F,70,14106,14900,16748,15881,15552,15570,20291,18993,18362,19856
F,71,14470,15120,16180,17867,17170,16525,16960,21574,20505,21973
F,72,15477,15301,16237,17279,19651,18402,18230,18023,23189,24398
F,73,16414,16185,16806,17255,18671,20818,19868,19237,19446,27554
F,74,17036,17472,17719,17877,18656,20152,22422,21329,20131,23405
F,75,18157,18192,18526,18996,19521,20150,21638,24012,22421,24384
F,76,19651,19500,19612,20002,20310,20355,21578,23041,25159,26701
F,77,20389,21054,20885,20610,21834,21789,22066,23136,24152,29971
F,78,21982,21433,22398,22045,22378,22973,23599,23590,24206,29138
F,79,24205,23574,22928,23818,24154,23738,24802,24839,25060,29186
F,80,26288,25565,25012,24431,25833,25432,25713,26335,26245,30108
F,81,28797,27807,27119,26525,25960,26852,26966,27159,27651,31293
F,82,30227,30289,29592,28682,28560,27367,28891,28632,28645,33134
F,83,32773,31528,31768,30690,30766,29268,29301,30222,30160,33523
F,84,34559,34124,33335,33108,32842,31208,31468,30405,31257,35298
F,85,36424,35832,36010,34108,34777,33961,33068,32493,31176,36975
F,86,38391,37153,36822,36101,35980,35136,35251,34006,32986,36866
F,87,39554,38891,38473,37549,38021,36152,36796,35898,34675,38283
F,88,39059,39579,39756,37555,38956,37721,37092,37242,35782,39734
F,89,40016,39010,39546,38168,38713,37951,37722,37205,36966,40804
F,90,38454,39047,38226,38021,39274,37382,38346,37699,36221,41069
F,91,35291,36250,37208,36206,37799,37066,36787,36948,35714,39276
F,92,31142,32505,34401,34779,35002,34793,35701,34464,34298,38280
F,93,28667,27977,30371,31253,32832,31510,32587,32472,31543,36238
F,94,24560,25844,25521,27009,28778,28654,29155,29332,29264,32244
F,95,21319,21467,22216,21652,24234,24646,25867,25642,25428,28714
F,96,17709,17577,18042,18811,19041,20174,21480,21830,21573,24439
F,97,14263,14464,14643,14698,15798,15456,16984,17806,17709,19844
F,98,10837,11147,11670,11372,12119,12316,12689,13424,13774,15848
F,99,7992,8156,8407,8540,8910,8950,9722,9518,9940,12102
F,100,16074,16604,17145,17753,18713,18964,19774,20372,20472,23619
M,0,6082,5886,6045,5801,5758,5622,5281,5197,4900,4567
M,1,450,448,441,381,402,442,429,394,394,333
M,2,300,305,305,286,269,291,314,289,241,249
M,3,253,239,215,205,235,213,201,212,189,204
M,4,174,210,188,188,177,167,163,172,150,154
M,5,162,141,172,153,153,130,155,137,129,153
M,6,151,126,147,128,140,130,117,117,104,114
M,7,140,137,129,137,111,138,125,115,121,114
M,8,159,128,133,115,128,139,111,119,133,93
M,9,134,113,137,147,137,112,115,116,107,111
M,10,141,119,126,124,153,148,136,114,131,134
M,11,155,147,129,145,135,141,139,127,157,154
M,12,179,154,179,172,142,172,193,173,202,159
M,13,214,205,214,225,229,229,237,202,209,257
M,14,292,278,291,274,306,286,300,317,265,326
M,15,360,393,396,371,375,411,401,408,376,423
M,16,580,550,501,540,511,559,598,533,504,605
M,17,750,709,676,666,723,719,673,704,566,706
M,18,1070,985,919,937,950,1045,986,955,863,983
M,19,1381,1211,1119,1118,1133,1190,1236,1088,1026,1172
M,20,1396,1386,1259,1213,1283,1331,1299,1178,1161,1288
M,21,1612,1616,1540,1490,1475,1640,1564,1392,1467,1564
M,22,1700,1696,1619,1611,1680,1742,1662,1515,1454,1581
M,23,1679,1612,1766,1756,1703,1950,1870,1633,1516,1670
M,24,1694,1668,1666,1806,1920,2058,1996,1830,1605,1860
M,25,1721,1702,1706,1744,1976,2222,2189,1919,1835,2009
M,26,1750,1794,1750,1848,1878,2220,2318,2122,1964,2202
M,27,1733,1785,1794,1821,2064,2298,2430,2302,2117,2335
M,28,1803,1790,1774,1904,2001,2400,2436,2373,2237,2591
M,29,1862,1922,1856,1927,2178,2309,2492,2344,2425,2786
M,30,1830,1907,1950,1952,2155,2472,2431,2467,2452,2967
M,31,1912,1913,1973,2132,2256,2440,2620,2508,2526,3076
M,32,1891,1943,1945,2082,2287,2568,2778,2584,2478,3084
M,33,1923,1925,2046,2145,2335,2621,2807,2689,2598,3212
M,34,1866,1925,2110,2290,2466,2743,2859,2665,2737,3334
M,35,1887,1989,2026,2247,2476,2827,2910,2859,2795,3354
M,36,1942,2087,2057,2234,2475,2810,2995,2928,2915,3486
M,37,2041,2145,2099,2220,2480,2813,2991,3010,3037,3649
M,38,2290,2172,2208,2214,2474,2801,2950,3131,3228,3685
M,39,2679,2371,2302,2464,2493,2897,2960,3098,3243,3976
M,40,3002,2741,2545,2484,2637,2779,3106,3054,3427,4144
M,41,3253,3142,2919,2878,2784,3034,3136,3092,3220,4033
M,42,3401,3368,3465,3157,3116,3093,3241,3169,3422,3995
M,43,3538,3535,3674,3603,3392,3519,3395,3319,3271,4123
M,44,3930,3786,3902,3912,4110,3949,3590,3600,3603,4093
M,45,4486,4148,4036,4192,4333,4525,4289,3954,3780,4500
M,46,5166,4779,4688,4495,4682,4993,4937,4547,4242,4706
M,47,6133,5686,5289,5092,4835,5143,5363,5133,4853,5221
M,48,6695,6402,6081,5786,5436,5468,5538,5704,5646,6017
M,49,7542,7151,7028,6669,6256,6022,5838,6054,6034,6945
M,50,8311,8072,7890,7633,7337,6875,6510,6216,6415,7636
M,51,8893,8953,8832,8486,8344,7824,7438,6973,6955,7964
M,52,9722,9633,9637,9377,9154,8972,8483,7959,7598,8468
M,53,10428,10317,10377,10482,10216,10031,9678,9040,8277,9195
M,54,11089,11066,11100,11199,11318,11118,10707,10284,9834,10220
M,55,11787,12085,12069,12123,12202,12298,11853,11423,11265,11832
M,56,12654,12550,13003,13129,12945,12936,12882,12638,12212,13563
M,57,12894,13216,13408,13968,14204,14028,13944,13924,13413,14519
M,58,13558,13951,14485,14565,14683,14777,14752,14831,14600,15851
M,59,14086,14422,14897,15340,15425,16054,16075,15911,15650,17454
M,60,14537,15126,15490,15952,16244,16433,16852,16713,16502,18863
M,61,14685,15300,16089,16820,16860,17526,17378,17901,17884,19934
M,62,15627,16020,16563,17181,17661,18223,18345,18690,19069,21308
M,63,17140,16764,17057,17671,18717,18479,19309,19942,19868,22556
M,64,19055,18200,17761,17931,18682,19296,19908,20335,20519,23307
M,65,15386,19964,19192,19050,19336,19554,20394,20731,21197,23975
M,66,16001,16631,21446,20472,20267,20142,20518,21636,21943,25060
M,67,17567,17072,17598,22723,21753,21346,21257,21852,22540,25456
M,68,19576,18632,18320,18808,24094,22986,22400,22251,22920,26392
M,69,18480,20748,20025,19235,20024,25754,24351,24105,23408,26772
M,70,18627,19608,21979,21067,20644,20684,27109,25744,25085,27832
M,71,18799,19348,21133,23382,22678,21946,22337,28811,27049,29667
M,72,19497,19702,20656,22222,24808,23722,23108,23567,29956,32234
M,73,20407,20439,20881,21944,23651,26070,25167,24321,24794,35556
M,74,20681,21308,21667,21905,23005,24810,27939,26715,25444,29925
M,75,21577,21436,22505,23114,23448,24668,25946,29299,27754,30144
M,76,22885,22353,22594,23648,24272,24524,25482,27496,30417,33090
M,77,22793,23606,24042,24062,25066,25434,25973,27276,28683,36499
M,78,24103,23503,24875,24694,25204,25788,26570,26663,27889,34670
M,79,25474,25063,24520,25568,25893,26057,27596,27741,27788,33387
M,80,27347,26259,26211,25601,27082,26964,27453,28579,28744,33192
M,81,28572,27856,27770,27087,27245,27705,28268,28203,29417,33865
M,82,29037,28860,29292,28216,28027,27190,29099,28932,28853,34020
M,83,30093,29328,29359,29292,29061,27978,28502,29143,29418,34042
M,84,30251,30009,29909,30092,30230,29112,29205,28662,29841,34033
M,85,29784,29874,30037,29333,30174,29440,29750,29352,28673,34410
M,86,29316,29161,30066,29813,29661,29951,30374,29578,29115,32298
M,87,28503,28630,29058,28972,30047,28907,29935,29477,29315,32191
M,88,26614,27406,27819,27592,28625,28194,28726,29168,28756,32157
M,89,25411,25058,26097,26183,26689,27172,27770,27192,27265,30925
M,90,23187,23855,23837,24067,25006,24893,25790,25889,25166,29098
M,91,19802,21030,21454,21423,22485,22746,22848,23426,23528,26418
M,92,16340,17203,18951,19222,19621,19828,20909,20436,20890,23777
M,93,13664,13908,15398,16566,17164,16766,17515,17917,17905,20684
M,94,10844,11585,11559,12718,14000,14071,14435,14769,14980,17054
M,95,8310,8831,9485,9318,10734,11148,11822,11776,12212,13908
M,96,6282,6616,6837,7428,7592,8246,9067,9452,9292,10839
M,97,4481,4775,4972,5302,5736,5658,6489,6960,7120,7919
M,98,3008,3373,3445,3666,3899,4187,4244,4717,5098,5765
M,99,2068,2179,2310,2419,2644,2715,2967,2937,3159,3934
M,100,3074,3337,3608,3743,4008,4132,4462,4591,4890,5832
