"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Female"	"F"	"2011"	"2011"	297360
	"< 1 year"	"0"	"Female"	"F"	"2012"	"2012"	296006
	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	297267
	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	299766
	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	301239
	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	298583
	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	297630
	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	299420
	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	294790
	"< 1 year"	"0"	"Female"	"F"	"2020"	"2020"	290531
	"< 1 year"	"0"	"Male"	"M"	"2011"	"2011"	306694
	"< 1 year"	"0"	"Male"	"M"	"2012"	"2012"	305536
	"< 1 year"	"0"	"Male"	"M"	"2013"	"2013"	305921
	"< 1 year"	"0"	"Male"	"M"	"2014"	"2014"	308815
	"< 1 year"	"0"	"Male"	"M"	"2015"	"2015"	310293
	"< 1 year"	"0"	"Male"	"M"	"2016"	"2016"	305418
	"< 1 year"	"0"	"Male"	"M"	"2017"	"2017"	306174
	"< 1 year"	"0"	"Male"	"M"	"2018"	"2018"	307345
	"< 1 year"	"0"	"Male"	"M"	"2019"	"2019"	302290
	"< 1 year"	"0"	"Male"	"M"	"2020"	"2020"	300515
	"1 year"	"1"	"Female"	"F"	"2011"	"2011"	295447
	"1 year"	"1"	"Female"	"F"	"2012"	"2012"	298149
	"1 year"	"1"	"Female"	"F"	"2013"	"2013"	296933
	"1 year"	"1"	"Female"	"F"	"2014"	"2014"	298295
	"1 year"	"1"	"Female"	"F"	"2015"	"2015"	300835
	"1 year"	"1"	"Female"	"F"	"2016"	"2016"	302496
	"1 year"	"1"	"Female"	"F"	"2017"	"2017"	299877
	"1 year"	"1"	"Female"	"F"	"2018"	"2018"	298680
	"1 year"	"1"	"Female"	"F"	"2019"	"2019"	300514
	"1 year"	"1"	"Female"	"F"	"2020"	"2020"	295574
	"1 year"	"1"	"Male"	"M"	"2011"	"2011"	304415
	"1 year"	"1"	"Male"	"M"	"2012"	"2012"	307302
	"1 year"	"1"	"Male"	"M"	"2013"	"2013"	306435
	"1 year"	"1"	"Male"	"M"	"2014"	"2014"	306901
	"1 year"	"1"	"Male"	"M"	"2015"	"2015"	309765
	"1 year"	"1"	"Male"	"M"	"2016"	"2016"	311147
	"1 year"	"1"	"Male"	"M"	"2017"	"2017"	306215
	"1 year"	"1"	"Male"	"M"	"2018"	"2018"	306772
	"1 year"	"1"	"Male"	"M"	"2019"	"2019"	307970
	"1 year"	"1"	"Male"	"M"	"2020"	"2020"	302680
	"2 years"	"2"	"Female"	"F"	"2011"	"2011"	298535
	"2 years"	"2"	"Female"	"F"	"2012"	"2012"	296294
	"2 years"	"2"	"Female"	"F"	"2013"	"2013"	299162
	"2 years"	"2"	"Female"	"F"	"2014"	"2014"	298072
	"2 years"	"2"	"Female"	"F"	"2015"	"2015"	299529
	"2 years"	"2"	"Female"	"F"	"2016"	"2016"	302198
	"2 years"	"2"	"Female"	"F"	"2017"	"2017"	303786
	"2 years"	"2"	"Female"	"F"	"2018"	"2018"	300948
	"2 years"	"2"	"Female"	"F"	"2019"	"2019"	299745
	"2 years"	"2"	"Female"	"F"	"2020"	"2020"	301323
	"2 years"	"2"	"Male"	"M"	"2011"	"2011"	306550
	"2 years"	"2"	"Male"	"M"	"2012"	"2012"	305250
	"2 years"	"2"	"Male"	"M"	"2013"	"2013"	308421
	"2 years"	"2"	"Male"	"M"	"2014"	"2014"	307600
	"2 years"	"2"	"Male"	"M"	"2015"	"2015"	308142
	"2 years"	"2"	"Male"	"M"	"2016"	"2016"	310905
	"2 years"	"2"	"Male"	"M"	"2017"	"2017"	312228
	"2 years"	"2"	"Male"	"M"	"2018"	"2018"	307109
	"2 years"	"2"	"Male"	"M"	"2019"	"2019"	307648
	"2 years"	"2"	"Male"	"M"	"2020"	"2020"	308595
	"3 years"	"3"	"Female"	"F"	"2011"	"2011"	308518
	"3 years"	"3"	"Female"	"F"	"2012"	"2012"	299328
	"3 years"	"3"	"Female"	"F"	"2013"	"2013"	297247
	"3 years"	"3"	"Female"	"F"	"2014"	"2014"	300310
	"3 years"	"3"	"Female"	"F"	"2015"	"2015"	299265
	"3 years"	"3"	"Female"	"F"	"2016"	"2016"	300872
	"3 years"	"3"	"Female"	"F"	"2017"	"2017"	303416
	"3 years"	"3"	"Female"	"F"	"2018"	"2018"	304820
	"3 years"	"3"	"Female"	"F"	"2019"	"2019"	301959
	"3 years"	"3"	"Female"	"F"	"2020"	"2020"	300499
	"3 years"	"3"	"Male"	"M"	"2011"	"2011"	316467
	"3 years"	"3"	"Male"	"M"	"2012"	"2012"	307312
	"3 years"	"3"	"Male"	"M"	"2013"	"2013"	306200
	"3 years"	"3"	"Male"	"M"	"2014"	"2014"	309449
	"3 years"	"3"	"Male"	"M"	"2015"	"2015"	308702
	"3 years"	"3"	"Male"	"M"	"2016"	"2016"	309230
	"3 years"	"3"	"Male"	"M"	"2017"	"2017"	312022
	"3 years"	"3"	"Male"	"M"	"2018"	"2018"	313185
	"3 years"	"3"	"Male"	"M"	"2019"	"2019"	308023
	"3 years"	"3"	"Male"	"M"	"2020"	"2020"	308318
	"4 years"	"4"	"Female"	"F"	"2011"	"2011"	306853
	"4 years"	"4"	"Female"	"F"	"2012"	"2012"	309312
	"4 years"	"4"	"Female"	"F"	"2013"	"2013"	300229
	"4 years"	"4"	"Female"	"F"	"2014"	"2014"	298379
	"4 years"	"4"	"Female"	"F"	"2015"	"2015"	301509
	"4 years"	"4"	"Female"	"F"	"2016"	"2016"	300642
	"4 years"	"4"	"Female"	"F"	"2017"	"2017"	302173
	"4 years"	"4"	"Female"	"F"	"2018"	"2018"	304535
	"4 years"	"4"	"Female"	"F"	"2019"	"2019"	305903
	"4 years"	"4"	"Female"	"F"	"2020"	"2020"	302778
	"4 years"	"4"	"Male"	"M"	"2011"	"2011"	317329
	"4 years"	"4"	"Male"	"M"	"2012"	"2012"	317185
	"4 years"	"4"	"Male"	"M"	"2013"	"2013"	308199
	"4 years"	"4"	"Male"	"M"	"2014"	"2014"	307173
	"4 years"	"4"	"Male"	"M"	"2015"	"2015"	310534
	"4 years"	"4"	"Male"	"M"	"2016"	"2016"	309804
	"4 years"	"4"	"Male"	"M"	"2017"	"2017"	310452
	"4 years"	"4"	"Male"	"M"	"2018"	"2018"	313054
	"4 years"	"4"	"Male"	"M"	"2019"	"2019"	314163
	"4 years"	"4"	"Male"	"M"	"2020"	"2020"	308765
	"5 years"	"5"	"Female"	"F"	"2011"	"2011"	300820
	"5 years"	"5"	"Female"	"F"	"2012"	"2012"	307682
	"5 years"	"5"	"Female"	"F"	"2013"	"2013"	310188
	"5 years"	"5"	"Female"	"F"	"2014"	"2014"	301304
	"5 years"	"5"	"Female"	"F"	"2015"	"2015"	299520
	"5 years"	"5"	"Female"	"F"	"2016"	"2016"	302791
	"5 years"	"5"	"Female"	"F"	"2017"	"2017"	301928
	"5 years"	"5"	"Female"	"F"	"2018"	"2018"	303295
	"5 years"	"5"	"Female"	"F"	"2019"	"2019"	305630
	"5 years"	"5"	"Female"	"F"	"2020"	"2020"	306732
	"5 years"	"5"	"Male"	"M"	"2011"	"2011"	308397
	"5 years"	"5"	"Male"	"M"	"2012"	"2012"	318097
	"5 years"	"5"	"Male"	"M"	"2013"	"2013"	318066
	"5 years"	"5"	"Male"	"M"	"2014"	"2014"	309139
	"5 years"	"5"	"Male"	"M"	"2015"	"2015"	308259
	"5 years"	"5"	"Male"	"M"	"2016"	"2016"	311759
	"5 years"	"5"	"Male"	"M"	"2017"	"2017"	311081
	"5 years"	"5"	"Male"	"M"	"2018"	"2018"	311505
	"5 years"	"5"	"Male"	"M"	"2019"	"2019"	314060
	"5 years"	"5"	"Male"	"M"	"2020"	"2020"	314942
	"6 years"	"6"	"Female"	"F"	"2011"	"2011"	295310
	"6 years"	"6"	"Female"	"F"	"2012"	"2012"	301693
	"6 years"	"6"	"Female"	"F"	"2013"	"2013"	308594
	"6 years"	"6"	"Female"	"F"	"2014"	"2014"	311181
	"6 years"	"6"	"Female"	"F"	"2015"	"2015"	302416
	"6 years"	"6"	"Female"	"F"	"2016"	"2016"	300744
	"6 years"	"6"	"Female"	"F"	"2017"	"2017"	304078
	"6 years"	"6"	"Female"	"F"	"2018"	"2018"	303029
	"6 years"	"6"	"Female"	"F"	"2019"	"2019"	304352
	"6 years"	"6"	"Female"	"F"	"2020"	"2020"	306430
	"6 years"	"6"	"Male"	"M"	"2011"	"2011"	304804
	"6 years"	"6"	"Male"	"M"	"2012"	"2012"	309164
	"6 years"	"6"	"Male"	"M"	"2013"	"2013"	318927
	"6 years"	"6"	"Male"	"M"	"2014"	"2014"	318943
	"6 years"	"6"	"Male"	"M"	"2015"	"2015"	310145
	"6 years"	"6"	"Male"	"M"	"2016"	"2016"	309462
	"6 years"	"6"	"Male"	"M"	"2017"	"2017"	312953
	"6 years"	"6"	"Male"	"M"	"2018"	"2018"	312089
	"6 years"	"6"	"Male"	"M"	"2019"	"2019"	312468
	"6 years"	"6"	"Male"	"M"	"2020"	"2020"	314800
	"7 years"	"7"	"Female"	"F"	"2011"	"2011"	293499
	"7 years"	"7"	"Female"	"F"	"2012"	"2012"	296204
	"7 years"	"7"	"Female"	"F"	"2013"	"2013"	302666
	"7 years"	"7"	"Female"	"F"	"2014"	"2014"	309566
	"7 years"	"7"	"Female"	"F"	"2015"	"2015"	312218
	"7 years"	"7"	"Female"	"F"	"2016"	"2016"	303558
	"7 years"	"7"	"Female"	"F"	"2017"	"2017"	301936
	"7 years"	"7"	"Female"	"F"	"2018"	"2018"	305083
	"7 years"	"7"	"Female"	"F"	"2019"	"2019"	303978
	"7 years"	"7"	"Female"	"F"	"2020"	"2020"	305084
	"7 years"	"7"	"Male"	"M"	"2011"	"2011"	302395
	"7 years"	"7"	"Male"	"M"	"2012"	"2012"	305549
	"7 years"	"7"	"Male"	"M"	"2013"	"2013"	309953
	"7 years"	"7"	"Male"	"M"	"2014"	"2014"	319825
	"7 years"	"7"	"Male"	"M"	"2015"	"2015"	319906
	"7 years"	"7"	"Male"	"M"	"2016"	"2016"	311305
	"7 years"	"7"	"Male"	"M"	"2017"	"2017"	310565
	"7 years"	"7"	"Male"	"M"	"2018"	"2018"	313900
	"7 years"	"7"	"Male"	"M"	"2019"	"2019"	312956
	"7 years"	"7"	"Male"	"M"	"2020"	"2020"	313147
	"8 years"	"8"	"Female"	"F"	"2011"	"2011"	292098
	"8 years"	"8"	"Female"	"F"	"2012"	"2012"	294392
	"8 years"	"8"	"Female"	"F"	"2013"	"2013"	297193
	"8 years"	"8"	"Female"	"F"	"2014"	"2014"	303676
	"8 years"	"8"	"Female"	"F"	"2015"	"2015"	310631
	"8 years"	"8"	"Female"	"F"	"2016"	"2016"	313371
	"8 years"	"8"	"Female"	"F"	"2017"	"2017"	304684
	"8 years"	"8"	"Female"	"F"	"2018"	"2018"	302895
	"8 years"	"8"	"Female"	"F"	"2019"	"2019"	305958
	"8 years"	"8"	"Female"	"F"	"2020"	"2020"	304643
	"8 years"	"8"	"Male"	"M"	"2011"	"2011"	300401
	"8 years"	"8"	"Male"	"M"	"2012"	"2012"	303179
	"8 years"	"8"	"Male"	"M"	"2013"	"2013"	306351
	"8 years"	"8"	"Male"	"M"	"2014"	"2014"	310868
	"8 years"	"8"	"Male"	"M"	"2015"	"2015"	320822
	"8 years"	"8"	"Male"	"M"	"2016"	"2016"	321081
	"8 years"	"8"	"Male"	"M"	"2017"	"2017"	312376
	"8 years"	"8"	"Male"	"M"	"2018"	"2018"	311486
	"8 years"	"8"	"Male"	"M"	"2019"	"2019"	314736
	"8 years"	"8"	"Male"	"M"	"2020"	"2020"	313588
	"9 years"	"9"	"Female"	"F"	"2011"	"2011"	296895
	"9 years"	"9"	"Female"	"F"	"2012"	"2012"	293094
	"9 years"	"9"	"Female"	"F"	"2013"	"2013"	295442
	"9 years"	"9"	"Female"	"F"	"2014"	"2014"	298269
	"9 years"	"9"	"Female"	"F"	"2015"	"2015"	304797
	"9 years"	"9"	"Female"	"F"	"2016"	"2016"	311842
	"9 years"	"9"	"Female"	"F"	"2017"	"2017"	314542
	"9 years"	"9"	"Female"	"F"	"2018"	"2018"	305676
	"9 years"	"9"	"Female"	"F"	"2019"	"2019"	303775
	"9 years"	"9"	"Female"	"F"	"2020"	"2020"	306638
