"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Female"	"F"	"2011"	"2011"	970321
	"< 1 year"	"0"	"Female"	"F"	"2012"	"2012"	963180
	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	959992
	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	962717
	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	962904
	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	954274
	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	921091
	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	904489
	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	886378
	"< 1 year"	"0"	"Female"	"F"	"2020"	"2020"	881999
	"< 1 year"	"0"	"Male"	"M"	"2011"	"2011"	1024271
	"< 1 year"	"0"	"Male"	"M"	"2012"	"2012"	1014357
	"< 1 year"	"0"	"Male"	"M"	"2013"	"2013"	1010346
	"< 1 year"	"0"	"Male"	"M"	"2014"	"2014"	1017060
	"< 1 year"	"0"	"Male"	"M"	"2015"	"2015"	1014890
	"< 1 year"	"0"	"Male"	"M"	"2016"	"2016"	1005422
	"< 1 year"	"0"	"Male"	"M"	"2017"	"2017"	970941
	"< 1 year"	"0"	"Male"	"M"	"2018"	"2018"	951996
	"< 1 year"	"0"	"Male"	"M"	"2019"	"2019"	932001
	"< 1 year"	"0"	"Male"	"M"	"2020"	"2020"	924935
	"1 year"	"1"	"Female"	"F"	"2011"	"2011"	971834
	"1 year"	"1"	"Female"	"F"	"2012"	"2012"	971237
	"1 year"	"1"	"Female"	"F"	"2013"	"2013"	964051
	"1 year"	"1"	"Female"	"F"	"2014"	"2014"	961028
	"1 year"	"1"	"Female"	"F"	"2015"	"2015"	963610
	"1 year"	"1"	"Female"	"F"	"2016"	"2016"	963989
	"1 year"	"1"	"Female"	"F"	"2017"	"2017"	955309
	"1 year"	"1"	"Female"	"F"	"2018"	"2018"	921856
	"1 year"	"1"	"Female"	"F"	"2019"	"2019"	905240
