gender,age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
F,0,970364.837708549,963236.790076258,959950.867058093,962653.06121849,962957.711247035,954337.717872111,921010.549303236,904447.800584341,886419.917093594,881985.371744699
F,1,971671.522472919,971386.263448154,963975.367654665,961082.93287419,963631.877322637,963820.730580998,955459.472639383,921994.772362246,905094.372859225,887144.790674116
F,2,979228.687575107,970223.345433791,973767.456110718,966235.404549415,960682.524329758,964675.675780327,965989.246240196,956166.481667125,922881.665068064,904068.15601219
F,3,1011814.41789287,986956.899409438,969034.226543384,969975.449642391,970515.141953022,964363.696110324,963224.519686075,965934.806172378,957086.042546275,928112.599256205
F,4,1023962.7382389,1005923.16674207,986345.552593458,976260.101321516,970781.628128587,967127.76609374,966454.05644717,966683.386918733,967626.110498642,952344.080785623
F,5,1026008.56790919,1022119.63935447,1011964.32568359,987902.445757922,972461.530419828,972323.4811107,971531.513927243,966121.961256296,964496.686786461,968232.842257528
F,6,1038531.99697516,1033830.97013566,1023388.10317092,1006007.69442201,990285.261136993,978835.596577905,971302.164246342,968631.377811743,967539.861664809,969784.158330556
F,7,1052277.03752935,1041102.04914823,1028522.08536203,1024489.9886029,1012815.48542339,989669.083018167,974924.824895955,973690.068185325,972716.377202952,966122.775290254
F,8,1054181.24136657,1045359.75680482,1040704.63596597,1036314.4634572,1024305.69821872,1007446.87602694,992435.076330427,980143.056286868,972348.863140888,968254.764907357
F,9,1058389.98179055,1052050.81614807,1052673.35492788,1042266.68395921,1030784.40044955,1026096.43125071,1013791.19107823,990817.302785167,975556.469151292,974654.398339352
F,10,1081441.54295591,1066289.32810617,1054658.0405575,1046040.53599076,1042472.8446851,1037969.09319189,1025390.24981786,1008338.18485816,992925.189429761,981278.516783014
F,11,1106019.19938339,1084301.96188409,1059520.00019254,1052893.00649102,1053393.59691264,1043718.61108727,1032350.35814735,1026932.23004255,1014556.47076131,991262.070138431
F,12,1108666.42124693,1099574.11563626,1082300.30647015,1067223.80050496,1055489.83023795,1047210.05473263,1043812.0750692,1039024.77013889,1026296.70762258,1008548.76985839
F,13,1103437.91631642,1108116.85386482,1106579.58602523,1085225.6171497,1060713.51573954,1053859.2210204,1054413.58903357,1044884.80958177,1032989.85680719,1027378.79093255
F,14,1112969.06567063,1108828.75966421,1109459.08433106,1100424.67789571,1083316.95741894,1068289.21506142,1056635.06963189,1048096.04347994,1044159.74019213,1039555.76134674
F,15,1131971.79870136,1112139.31881653,1104462.50755349,1109137.30570437,1107691.59872766,1086631.23076468,1061968.85158619,1054484.4933362,1054923.35477108,1045345.03869973
F,16,1147340.07062201,1129628.10284669,1114364.12656932,1110491.94864452,1111208.12809452,1102101.469331,1084645.39191831,1069313.45184769,1057694.34003211,1048662.3044191
F,17,1164083.46800437,1152479.13819883,1134010.54947036,1114397.69740739,1106716.11164652,1111186.27387095,1109619.20205166,1088413.79773175,1063344.74287993,1055311.97279272
F,18,1192877.70435586,1167083.01950594,1149688.74104467,1132170.41704392,1117065.72843784,1113229.70250027,1113959.38595365,1104201.57059727,1086055.97500943,1070516.38245886
F,19,1230589.76656437,1187090.86246493,1166380.21305476,1155313.70606991,1137242.26110626,1117572.69324563,1109703.84275541,1113284.82048428,1111266.2789301,1089912.74055039
F,20,1266248.61298101,1232533.52203688,1195450.51487341,1170040.69227549,1152939.71133705,1135208.55156668,1119867.48947455,1115439.24766909,1115736.06619665,1105478.85049757
F,21,1278775.98153257,1276878.41060171,1233635.07724886,1189760.80021214,1169307.36873961,1158307.80970419,1140007.99695188,1119732.67907965,1111114.43858525,1114160.85904741
F,22,1249730.97950039,1276010.60627881,1269298.33599024,1235284.96273772,1198705.34194382,1173399.19053961,1155739.42020119,1137067.53556237,1121059.75561886,1116359.21858251
F,23,1211295.08999752,1244464.14617287,1282054.54577152,1280731.63361475,1237785.99232676,1193412.79829927,1172202.39771651,1160297.56043258,1141582.25932534,1120895.42195268
F,24,1207658.57589124,1220523.9748916,1253956.89525558,1280798.10934223,1274039.27364364,1239411.30031821,1202321.52881975,1176178.9948522,1157802.42503253,1138450.69497335
F,25,1224531.69734764,1213490.3085753,1215810.55393417,1249101.3780768,1287233.20949073,1285908.41382216,1242299.69068058,1196626.28929311,1174400.39987232,1162053.53868692
F,26,1224576.01821598,1218938.38515106,1211589.33503896,1224954.93686432,1259462.55867362,1286295.76253959,1278372.9645275,1242281.71638154,1204528.64523005,1178118.16976367
F,27,1212434.26718368,1225443.1787855,1228169.86754747,1217897.81574049,1220760.30543546,1253713.20122737,1291020.95618723,1288656.53898321,1244464.06317061,1198107.78770747
